GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,378748.9952357775,2870.7880890188108,202.37022938616008,4226.205294158782,4684.556584914912,0.09465300638103,Summary1.As1,FRANCE,1990,Total
Total national emissions and removals,403682.9902515909,2888.810427419628,202.9362660627,4850.628978974661,4344.339670619446,0.0974049346144,Summary1.As1,FRANCE,1991,Total
Total national emissions and removals,396219.2342594152,2894.8903799980976,204.81582810059095,4131.277144840744,4428.821039149436,0.0991058994441,Summary1.As1,FRANCE,1992,Total
Total national emissions and removals,373592.6448081271,2910.3295960831783,200.7340216392839,2439.4489606595275,4363.196555254186,0.10083383491098,Summary1.As1,FRANCE,1993,Total
Total national emissions and removals,366356.9212599981,3005.058711421404,198.9597520987477,1546.51491802312,3898.6047934966846,0.1073397687971,Summary1.As1,FRANCE,1994,Total
Total national emissions and removals,368576.445649398,3032.890570548001,203.0077359043605,1600.5637440640094,2757.431749123627,0.10833735138255,Summary1.As1,FRANCE,1995,Total
Total national emissions and removals,378718.6875976298,2979.404949042836,207.96238325071525,2850.2227695962515,2521.236317439067,0.10956313328736,Summary1.As1,FRANCE,1996,Total
Total national emissions and removals,370609.9265158512,2910.5864286063,207.67833239132045,3639.7395743221023,2609.019070982323,0.10873808119674,Summary1.As1,FRANCE,1997,Total
Total national emissions and removals,387499.882560604,2912.1502240122145,184.96276203154,4008.475076415376,3051.809432658088,0.11389374783827,Summary1.As1,FRANCE,1998,Total
Total national emissions and removals,381991.1557905768,2901.605704189341,164.73568468608386,5137.82798197683,3795.285345723428,0.10067824393319,Summary1.As1,FRANCE,1999,Total
Total national emissions and removals,391828.828520719,2922.6073458144974,161.07981606945478,6328.373234620216,2699.8689413802103,0.09573278825682,Summary1.As1,FRANCE,2000,Total
Total national emissions and removals,383914.0450430799,2925.290824143653,159.64176337025876,7541.68343010391,2388.8912372014456,0.080156578143,Summary1.As1,FRANCE,2001,Total
Total national emissions and removals,372444.279625612,2863.172216467315,151.10207106697942,8664.208098416468,3756.071204038517,0.07015960672252,Summary1.As1,FRANCE,2002,Total
Total national emissions and removals,372402.7379870764,2822.6833679491974,144.39308957866027,9892.474277307056,3460.4015099837397,0.0693785506582,Summary1.As1,FRANCE,2003,Total
Total national emissions and removals,373330.50501845,2777.910037718862,139.4020438868298,11298.6464337191,2368.0012363443125,0.070747704179,Summary1.As1,FRANCE,2004,Total
Total national emissions and removals,374632.09545101336,2739.209939024108,137.9808628101557,12310.141300348134,1572.709798955497,0.05950671794059,Summary1.As1,FRANCE,2005,Total
Total national emissions and removals,365085.6551691825,2713.1138316186925,132.76028560778678,13759.940459114256,1306.090291028167,0.055003486839,Summary1.As1,FRANCE,2006,Total
Total national emissions and removals,356924.7765677633,2707.403425319208,131.29012433146605,14536.326365756891,1050.403635413342,0.050477168279,Summary1.As1,FRANCE,2007,Total
Total national emissions and removals,350838.3309491791,2724.682931889919,130.77518023166155,15624.386722365747,686.393797960783,0.05237056545284,Summary1.As1,FRANCE,2008,Total
Total national emissions and removals,343594.2615247087,2676.5068022090877,125.04802850896492,15692.13676718373,488.770126875786,0.04449685871751,Summary1.As1,FRANCE,2009,Total
Total national emissions and removals,346814.9860764629,2676.344916163865,115.09136823537216,16410.87238838502,539.723571792591,0.0415356029218,Summary1.As1,FRANCE,2010,Total
Total national emissions and removals,323196.0902461741,2579.4232967906964,112.87952469587144,17102.413069682618,675.882492923311,0.03243318524504,Summary1.As1,FRANCE,2011,Total
Total national emissions and removals,320554.311215192,2550.719532260137,112.77925857765602,17313.36122971904,687.856879490238,0.03252693909856,Summary1.As1,FRANCE,2012,Total
Total national emissions and removals,324620.3393092661,2495.768673726672,110.93035612459887,17252.98544974058,581.638360916775,0.02977811658795,Summary1.As1,FRANCE,2013,Total
Total national emissions and removals,298605.6094406307,2452.5790219183405,114.77282867030117,17150.456201370016,534.5312278628413,0.02554488599392,Summary1.As1,FRANCE,2014,Total
Total national emissions and removals,307332.9698458251,2430.2983834593138,113.65635935858208,16977.63440518678,465.4084510143693,0.02688188456464,Summary1.As1,FRANCE,2015,Total
Total national emissions and removals,317569.20841149864,2428.0338093690093,110.85333332637904,16661.973802764696,580.1890510867463,0.02800792618906,Summary1.As1,FRANCE,2016,Total
Total national emissions and removals,331562.6623425706,2408.4479561625685,115.10704848667932,16050.522733414022,612.6248913479794,0.02607621640378,Summary1.As1,FRANCE,2017,Total
Total national emissions and removals,316023.6735186181,2363.2540154350027,110.60462454015422,14526.698578826235,585.736978278277,0.02491275478613,Summary1.As1,FRANCE,2018,Total
Total national emissions and removals,313127.2358656298,2368.614205783111,107.30065261168365,12659.33195677887,533.3391742724065,0.02263299723255,Summary1.As1,FRANCE,2019,Total
Total national emissions and removals,271753.79211760074,2318.3287365991164,102.32061891887926,11281.19868026826,471.5888388030058,0.02203293306318,Summary1.As1,FRANCE,2020,Total
Total national emissions and removals,301799.7485347054,2263.8236936866065,102.49210892995838,9984.618840088182,390.1839136652017,0.02290802316811,Summary1.As1,FRANCE,2021,Total
