GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,607337.2622038256,5388.815527925926,167.6798719143614,12068.457467471051,1483.661308829743,0.05288630573414,Summary1.As1,GBR,1990,Total
Total national emissions and removals,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160473,1243.0533429827867,0.05545701674504,Summary1.As1,GBR,1991,Total
Total national emissions and removals,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,0.05827520672488,Summary1.As1,GBR,1992,Total
Total national emissions and removals,583385.0584462105,5355.291009471564,137.0323899641951,13764.685728208276,538.7008464761537,0.05098350085002,Summary1.As1,GBR,1993,Total
Total national emissions and removals,577002.1620812862,5081.999547565378,139.2449717514107,14537.303027826963,546.4092799665525,0.05294168695483,Summary1.As1,GBR,1994,Total
Total national emissions and removals,569166.3775157833,5148.808197628839,134.66254722096738,15619.653424166469,533.2729159722217,0.05493050010729,Summary1.As1,GBR,1995,Total
Total national emissions and removals,588829.4196382763,5118.021418224986,134.90755768124126,16429.438360306707,531.936901170432,0.0569484059461,Summary1.As1,GBR,1996,Total
Total national emissions and removals,564783.4410595656,5019.541542898844,135.95180120376398,18356.108004685517,446.9412735815819,0.0558155329415,Summary1.As1,GBR,1997,Total
Total national emissions and removals,569367.1492088307,4881.873577704541,135.94562415593998,15373.822893074395,435.31214191674064,0.05789710508732,Summary1.As1,GBR,1998,Total
Total national emissions and removals,562016.9034296797,4656.257970000691,103.80261191427914,8525.733722629047,412.3438056658791,0.06525650286023,Summary1.As1,GBR,1999,Total
Total national emissions and removals,569664.5188886405,4440.300650440893,101.53920045003952,6964.333102360221,518.6561076267035,0.07923086141182,Summary1.As1,GBR,2000,Total
Total national emissions and removals,578183.0449040702,4264.230417310926,96.65904471149624,7638.82274626573,432.1746820816712,0.06279787276026,Summary1.As1,GBR,2001,Total
Total national emissions and removals,559951.8059813032,4169.075637858351,91.1035318049333,8021.329617994803,365.481826428161,0.06436908062207,Summary1.As1,GBR,2002,Total
Total national emissions and removals,570567.3833893036,3973.232719362052,89.62835714034085,8797.697475213592,321.2956096285321,0.0565918238966,Summary1.As1,GBR,2003,Total
Total national emissions and removals,571948.500800855,3792.249823994491,91.36188886184772,7917.718776473689,407.081950631323,0.04750396522097,Summary1.As1,GBR,2004,Total
Total national emissions and removals,568441.0823483546,3616.8859147390417,87.7989264444471,8677.174859644147,366.13838284421047,0.04480063068911,Summary1.As1,GBR,2005,Total
Total national emissions and removals,565670.0399673455,3448.0306923570392,84.13912809202536,9521.972974739245,362.0397963791365,0.03715701028218,Summary1.As1,GBR,2006,Total
Total national emissions and removals,557124.5530986828,3295.300347539717,84.18463560901452,9964.982765223727,264.93432439613827,0.03533789528807,Summary1.As1,GBR,2007,Total
Total national emissions and removals,541772.1831109255,3064.00486903141,82.10219333230248,10396.918280966562,238.15566631334545,0.02851915001348,Summary1.As1,GBR,2008,Total
Total national emissions and removals,490774.6576363848,2890.482014400067,76.75023506445102,10920.908323045656,174.2226674221379,0.02443735752603,Summary1.As1,GBR,2009,Total
Total national emissions and removals,508588.672878558,2704.6006281120312,78.20812912634254,11503.328448886346,257.10069799553,0.02887383599001,Summary1.As1,GBR,2010,Total
Total national emissions and removals,465540.5457017914,2598.7697149938194,75.51051576550616,12134.882594745202,376.3728501496623,0.02407621923136,Summary1.As1,GBR,2011,Total
Total national emissions and removals,483427.42299713567,2534.4961957293176,74.53535876362096,12755.156837064387,221.6587985790211,0.02296657471597,Summary1.As1,GBR,2012,Total
Total national emissions and removals,473376.8567655967,2366.788999797462,74.5133580379318,13176.893651548758,274.1761522509474,0.02019341537578,Summary1.As1,GBR,2013,Total
Total national emissions and removals,434008.9272177405,2287.2403627153226,76.4625576647936,13343.159754723689,219.2113751137656,0.01864851157775,Summary1.As1,GBR,2014,Total
Total national emissions and removals,417899.521751107,2248.850292344083,75.76462361336294,13349.290500012065,257.22316213203703,0.01778316379032,Summary1.As1,GBR,2015,Total
Total national emissions and removals,394833.8305490154,2176.2411266065988,74.01543319186187,13359.726126137775,267.2317828235167,0.01907751794551,Summary1.As1,GBR,2016,Total
Total national emissions and removals,382359.88176205545,2189.9158739040686,75.3843507921433,13267.85990324142,386.9175695624334,0.01930961810709,Summary1.As1,GBR,2017,Total
Total national emissions and removals,375082.01874149445,2173.640425004562,74.68778488191973,12950.550048104113,134.94397124161105,0.0236165500735,Summary1.As1,GBR,2018,Total
Total national emissions and removals,361714.4349767572,2157.8937431545505,75.10587532536039,12333.145978974677,200.8581765675987,0.02085786004888,Summary1.As1,GBR,2019,Total
Total national emissions and removals,321430.23387779394,2069.971258555041,70.70719563316965,11525.463795236754,151.13515733409065,0.01788369025218,Summary1.As1,GBR,2020,Total
Total national emissions and removals,342591.0955324837,2051.168174868067,72.43470314429108,10819.710287153594,192.87758176493475,0.01794968163969,Summary1.As1,GBR,2021,Total
