GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),519058.06775931595,,,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
                                           Sectoral approach(2),520290.20393180277,87.08299921922809,11.52374723105924,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
1.  Energy industries,198442.55957229747,7.95711931621795,3.78773511294522,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,71405.296497704,3.46010647405443,0.87198306383296,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
3.  Transport,127850.70178422405,32.50761339280048,5.78677723917551,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
4.  Other sectors,119393.33068488305,43.07257449519771,0.96320446020867,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
5.  Other,3198.315392694225,0.08558554095752,0.11404735489688,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,7506.621715465976,825.4581863042447,0.18929767629556,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
1.  Solid fuels,296.9409774467129,455.3355149183256,0.00010854,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,7209.680738019263,370.1226713859191,0.18918913629556,,,,Summary1.As1,GBR,1998,Subsector,1. Energy
