GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,991906.28580199,1647.28333406,23.11770431390087,,,,,Summary1.As1,GERMANY,1990,Sector
2.  Industrial processes and product use,59642.32880433,16.43889309,78.49300829,42.16,2752.0005,4959.6414528000005,0.19421044437,Summary1.As1,GERMANY,1990,Sector
1. Energy,958143.22753827,1545.16544936,21.9131504438138,,,,,Summary1.As1,GERMANY,1991,Sector
2.  Industrial processes and product use,55829.59281123,16.1698781,80.7095077,38.689096604,2387.4795,4565.612779,0.2081525776,Summary1.As1,GERMANY,1991,Sector
1. Energy,913683.04351803,1412.24907438,20.9764082033979,,,,,Summary1.As1,GERMANY,1992,Sector
2.  Industrial processes and product use,53095.80326188,17.23122432,88.9841482,258.891326411,2165.10375,4552.654091,0.22972838295,Summary1.As1,GERMANY,1992,Sector
1. Energy,903471.54976176,1449.08030261,20.67174244283165,,,,,Summary1.As1,GERMANY,1993,Sector
2.  Industrial processes and product use,53556.78567868,18.68876172,81.94459953,2268.27490091729,2029.906157876,4546.870572,0.26199962168,Summary1.As1,GERMANY,1993,Sector
1. Energy,884808.13929428,1307.82710377,20.24859483251552,,,,,Summary1.As1,GERMANY,1994,Sector
2.  Industrial processes and product use,56200.09531226,20.1893966,90.99640885,2445.62113384881,1726.958073717,4828.998077,0.27408894161,Summary1.As1,GERMANY,1994,Sector
1. Energy,882022.4308748,1256.75443002,20.24911850228678,,,,,Summary1.As1,GERMANY,1995,Sector
2.  Industrial processes and product use,55746.62277454,20.43920917,84.59576322,2404.00069807046,1878.7353426257,5067.8232594,0.28364690896,Summary1.As1,GERMANY,1995,Sector
1. Energy,903806.87719603,1209.61340976,20.10504254213505,,,,,Summary1.As1,GERMANY,1996,Sector
2.  Industrial processes and product use,53589.82541681,19.81966517,88.7353237,3149.86444774066,1841.1890223638,3859.6814772,0.27028475949,Summary1.As1,GERMANY,1996,Sector
1. Energy,872832.0415722401,1182.04502412,19.68071521146222,,,,,Summary1.As1,GERMANY,1997,Sector
2.  Industrial processes and product use,56298.01422267,21.25125213,79.78537016,3854.9825866894,1495.7094566017,3769.8321342,0.26793175958,Summary1.As1,GERMANY,1997,Sector
1. Energy,866208.92517048,1069.3154649,18.92278950109198,,,,,Summary1.As1,GERMANY,1998,Sector
2.  Industrial processes and product use,54774.13636022,22.16386112,36.61549887,4526.17584084564,1613.7066074724,3692.5631342,0.25828573978,Summary1.As1,GERMANY,1998,Sector
1. Energy,840280.14775026,1108.66080197,18.52204151109365,,,,,Summary1.As1,GERMANY,1999,Sector
