GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),986672.8456669344,,,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
                                           Sectoral approach(2),988065.63743838,265.81470777,23.11006625390087,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
1.  Energy industries,427842.81536305,11.20852582,10.6277896,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,184187.46345161,10.08508839,4.53860419,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
3.  Transport,161352.09999387,65.8361193,4.46024067390087,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
4.  Other sectors,202918.63772833,167.50805934,3.27911234,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
5.  Other,11764.62090152,11.17691492,0.20431945,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,3840.64836361,1381.46862629,0.00763806,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
1.  Solid fuels,1832.80316349,1022.13742493,,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2007.84520012,359.33120136,0.00763806,,,,,Summary1.As1,GERMANY,1990,Subsector,1. Energy
B.  Chemical industry,8057.63153821,15.72793418,71.59122429,,,4669.715,0.005,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,25079.88241973,0.5298,0.0890745,,2596.77,,0.0079,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2982.43784303,,0.00233723,,,,,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,42.16,155.2305,,0.0037,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,0.18115891,6.81037227,,,,0.17761044437,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,289.92645280000005,,Summary1.As1,GERMANY,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),945553.5765008676,,,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
                                           Sectoral approach(2),954523.86644136,193.18310799,21.9062166238138,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
1.  Energy industries,414135.20506188,11.60622782,10.06373137,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,162860.52959865,8.85577775,3.91962843,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
3.  Transport,164583.08094456,54.13303814,4.8706032038138,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
4.  Other sectors,204532.28687193,111.53040597,2.89662626,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
5.  Other,8412.76396434,7.05765831,0.15562736,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,3619.36109691,1351.98234137,0.00693382,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
1.  Solid fuels,1506.07956657,974.7930174,,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2113.28153034,377.18932397,0.00693382,,,,,Summary1.As1,GERMANY,1991,Subsector,1. Energy
B.  Chemical industry,7069.4771888,15.55668275,74.07722194,,,4273.117,0.0054,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,24467.714117,0.378042,0.0862635,,2221.38,,0.00795,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2942.62081418,,0.00248516,,,,,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,35.96,166.0995,,0.0039,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,2.729096604,,,,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,0.23515335,6.5435371,,,,0.1909025776,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,292.495779,,Summary1.As1,GERMANY,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),898035.6973199341,,,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
                                           Sectoral approach(2),910142.79988252,149.01350415,20.9701190033979,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
1.  Energy industries,392571.46307973,11.84159723,9.51426655,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,152332.19611169,8.4443763,3.61915151,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
3.  Transport,170521.08743929,47.3361432,5.2959731733979,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
4.  Other sectors,188317.35830014,76.75948902,2.41017503,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
5.  Other,6400.69495167,4.6318984,0.13055274,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,3540.24363551,1263.23557023,0.0062892,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
1.  Solid fuels,1417.35507926,848.09667591,,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2122.88855625,415.13889432,0.0062892,,,,,Summary1.As1,GERMANY,1992,Subsector,1. Energy
B.  Chemical industry,7049.17072681,16.6053248,82.62504604,,,4256.178,0.0059,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,21048.1788165,0.335426,0.079833,,1989.18,,0.008,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2863.39937308,,0.00264061,,,,,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,29.76,175.92375,,0.004,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,229.131326411,,,,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,0.29047352,6.27662855,,,,0.21182838295,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,296.476091,,Summary1.As1,GERMANY,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),889373.9961205008,,,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
                                           Sectoral approach(2),900153.74073961,132.74046793,20.66539575283165,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
1.  Energy industries,381565.08594344,12.31242145,9.11844504,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,141458.819812,8.09271142,3.32053563,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
3.  Transport,174970.61474197,41.55168341,5.70086295283165,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
4.  Other sectors,197020.95128337,67.77681237,2.41429272,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
5.  Other,5138.26895883,3.00683928,0.11125941,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,3317.80902215,1316.33983468,0.00634669,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
1.  Solid fuels,1179.17238575,859.5677941,,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2138.6366364,456.77204058,0.00634669,,,,,Summary1.As1,GERMANY,1993,Subsector,1. Energy
