GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,1083500.883450834,4961.992290558495,197.88509143631492,42.16,2752.0005,4959.6414528000005,0.19421044437,Summary1.As1,GERMANY,1990,Total
Total national emissions and removals,984708.3028256858,4734.156900025738,192.2809686310844,38.689096604,2387.4795,4565.612779,0.2081525776,Summary1.As1,GERMANY,1991,Total
Total national emissions and removals,928856.880097626,4590.837307514529,197.99020591383243,258.891326411,2165.10375,4552.654091,0.22972838295,Summary1.As1,GERMANY,1992,Total
Total national emissions and removals,917821.807225638,4615.652549936502,188.3001657908512,2268.27490091729,2029.906157876,4546.870572,0.26199962168,Summary1.As1,GERMANY,1993,Total
Total national emissions and removals,906668.2981800832,4455.559624596407,194.731119228476,2445.62113384881,1726.958073717,4828.998077,0.27408894161,Summary1.As1,GERMANY,1994,Total
Total national emissions and removals,909585.0601758386,4355.550082807995,188.60617833526183,2404.00069807046,1878.7353426257,5067.8232594,0.28364690896,Summary1.As1,GERMANY,1995,Total
Total national emissions and removals,935736.6867638888,4245.442718162675,193.70873029105084,3149.86444774066,1841.1890223638,3859.6814772,0.27028475949,Summary1.As1,GERMANY,1996,Total
Total national emissions and removals,908328.5024107504,4062.342345117792,183.84920347799888,3854.9825866894,1495.7094566017,3769.8321342,0.26793175958,Summary1.As1,GERMANY,1997,Total
Total national emissions and removals,900181.4326126797,3861.1316456135255,140.76094462496232,4526.17584084564,1613.7066074724,3692.5631342,0.25828573978,Summary1.As1,GERMANY,1998,Total
Total national emissions and removals,868153.8848605868,3819.2158081254224,127.63950506559225,4857.3065382502,1348.8999065101,3566.0858988,0.18814702584,Summary1.As1,GERMANY,1999,Total
Total national emissions and removals,891603.4836423346,3656.063076162633,125.78191252090976,5655.83821531692,877.6802567353,1995.8035388,0.17861832384,Summary1.As1,GERMANY,2000,Total
Total national emissions and removals,898206.2177004308,3508.940309976503,133.41719480360237,7002.54946562612,799.1202865114,1733.1599088,0.16455169668,Summary1.As1,GERMANY,2001,Total
Total national emissions and removals,913892.6719451412,3341.5144776760644,130.63871109749417,7598.21593355129,868.0692187963,1782.3152013,0.13518650351,Summary1.As1,GERMANY,2002,Total
Total national emissions and removals,909739.6178325706,3200.4152548142856,129.87391749004905,7803.65796832049,931.9817719555,1101.97139505,0.13216709156,Summary1.As1,GERMANY,2003,Total
Total national emissions and removals,890217.1063674778,2959.489893682025,135.46268363603625,8221.35245142583,899.243063015,897.5617638,0.14215101955,Summary1.As1,GERMANY,2004,Total
Total national emissions and removals,865778.1670666509,2821.4099173698605,130.06061816722777,8461.89719075486,773.231615106,956.4450493,0.14263318387,Summary1.As1,GERMANY,2005,Total
Total national emissions and removals,870903.1041325626,2664.3049446272344,127.29705296548217,8808.93460759785,621.292617866,783.6177084,0.1403790904,Summary1.As1,GERMANY,2006,Total
Total national emissions and removals,846709.9959545041,2575.88852108364,137.212338220626,9239.98791845343,547.100248504,650.688646,0.13550970554,Summary1.As1,GERMANY,2007,Total
Total national emissions and removals,843916.3353686676,2527.4706359359543,132.95050961234713,9204.69391176602,522.274601665,830.5087216,0.12906435176,Summary1.As1,GERMANY,2008,Total
Total national emissions and removals,770499.709186292,2427.441182615403,134.70675238115484,9464.58459666326,373.8950766216,1129.306933035,0.12905799632,Summary1.As1,GERMANY,2009,Total
Total national emissions and removals,820839.1244613245,2378.833622436241,107.83370901202346,9753.447801995411,317.4960753136,477.79041924,0.13168767736,Summary1.As1,GERMANY,2010,Total
Total national emissions and removals,791170.4162239868,2323.592532060037,107.85753257196924,10168.66496277824,256.1536533657,269.202105975,0.13312855827,Summary1.As1,GERMANY,2011,Total
Total national emissions and removals,787704.4965081336,2336.018806594815,108.34745938210152,10337.407863387723,221.3034250879,286.96029446,0.13520124605,Summary1.As1,GERMANY,2012,Total
Total national emissions and removals,809945.8557203199,2300.750101471333,108.83455523184824,10324.852855064457,234.168702803,292.36643206,0.13694500545,Summary1.As1,GERMANY,2013,Total
Total national emissions and removals,778061.9852030519,2246.3654090393425,110.75319019848104,10465.54619252162,213.597804426,226.9156959,0.13448016901,Summary1.As1,GERMANY,2014,Total
Total national emissions and removals,779212.834624003,2229.866841075149,110.62069078468647,10694.27710933733,222.586852238,248.2920921,0.14240100057,Summary1.As1,GERMANY,2015,Total
Total national emissions and removals,780349.6872797803,2168.5195835474256,109.9830009421688,10629.795252386972,229.570680043,185.525817605,0.15163182438,Summary1.As1,GERMANY,2016,Total
Total national emissions and removals,767605.5655786115,2138.6789320615258,108.22240978469398,10374.689738348374,233.857087177,215.75500915,0.16489354773,Summary1.As1,GERMANY,2017,Total
Total national emissions and removals,739346.3807621999,2062.944172135132,103.87176850852552,9424.784458961369,263.068359497,191.1247996,0.16976378392,Summary1.As1,GERMANY,2018,Total
Total national emissions and removals,692962.5926666213,1958.2792578002177,101.1512169975255,8743.367992130208,210.883196527,207.75738,0.17190044713,Summary1.As1,GERMANY,2019,Total
Total national emissions and removals,643741.658496492,1914.744086961956,98.37145386279936,8256.323271643594,188.230284978,141.55164754,0.13193107062,Summary1.As1,GERMANY,2020,Total
Total national emissions and removals,675066.1492539352,1866.252742071542,97.85267027163846,8069.178194318415,190.946449688,166.6412268,0.11335075514,Summary1.As1,GERMANY,2021,Total
