GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,74677.02650728969,61.66709193044524,2.75367014857465,,,,Summary1.As1,GREECE,1990,Sector
2.  Industrial processes and product use,8700.383206978793,0.05532005117533,4.02473389524515,991.008,171.0947529,0.00012846,Summary1.As1,GREECE,1990,Sector
1. Energy,74744.64885445638,62.48125576394084,2.8378747688667,,,,Summary1.As1,GREECE,1991,Sector
2.  Industrial processes and product use,8604.49909324518,0.0580630886583,3.40049814412089,1173.04,171.9319284,0.00013241,Summary1.As1,GREECE,1991,Sector
1. Energy,76672.12843400601,64.34038467386578,2.84816044698054,,,,Summary1.As1,GREECE,1992,Sector
2.  Industrial processes and product use,8247.739417252282,0.05487196534327,3.54105997568104,962.736,168.8303925,0.00013646,Summary1.As1,GREECE,1992,Sector
1. Energy,76305.9871984894,63.90627325756899,2.92685260277209,,,,Summary1.As1,GREECE,1993,Sector
2.  Industrial processes and product use,7935.010793858619,0.058253,3.38990464154164,1702.8617755,101.5613478,0.000140315,Summary1.As1,GREECE,1993,Sector
1. Energy,78476.95398535462,65.3938297988675,3.02485796850123,,,,Summary1.As1,GREECE,1994,Sector
2.  Industrial processes and product use,7912.336103351407,0.0588046,3.31295190462584,2272.3218756,63.226683,0.00014427,Summary1.As1,GREECE,1994,Sector
1. Energy,78524.10188817712,66.25948857008613,3.00099911315221,,,,Summary1.As1,GREECE,1995,Sector
2.  Industrial processes and product use,8393.85968540786,0.062362,3.30216082177178,3487.67827773665,56.5213059,0.00015,Summary1.As1,GREECE,1995,Sector
1. Energy,80680.92770108304,68.32595501170177,3.02379690364958,,,,Summary1.As1,GREECE,1996,Sector
2.  Industrial processes and product use,8387.787127288417,0.063328631,3.70734159966791,4046.990772444373,48.316986,0.000154,Summary1.As1,GREECE,1996,Sector
1. Energy,85190.98947220221,67.78185614104808,3.16867321930197,,,,Summary1.As1,GREECE,1997,Sector
2.  Industrial processes and product use,8566.607955973743,0.06477671,3.31684836269843,4344.355118704325,113.00312619,0.000156,Summary1.As1,GREECE,1997,Sector
1. Energy,89775.61964541671,70.19757253390809,3.44053327438045,,,,Summary1.As1,GREECE,1998,Sector
2.  Industrial processes and product use,8802.07023864296,0.0627629,2.81633818431522,4856.973232377744,139.86390339,0.000158,Summary1.As1,GREECE,1998,Sector
1. Energy,89184.37819099515,71.16776093110828,3.45249487695262,,,,Summary1.As1,GREECE,1999,Sector
2.  Industrial processes and product use,8708.470869709494,0.02531526,2.90882681465467,5667.029710175629,94.77554688,0.000162,Summary1.As1,GREECE,1999,Sector
