GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),74769.99628561543,,,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
                                           Sectoral approach(2),74634.32898801561,15.00969361334014,2.75308375430182,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
1.  Energy industries,43093.700532688286,0.56622285,0.486252553,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9338.4892208136,0.4856822812536,0.1819478858804,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
3.  Transport,14136.622367121943,4.41633986371154,0.91456149892142,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
4.  Other sectors,8065.516867391776,9.541448618375,1.1703218165,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,42.69751927407783,46.6573983171051,0.00058639427283,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
1.  Solid fuels,,45.201416,,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,42.69751927407783,1.4559823171051,0.00058639427283,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
A.  Mineral industry,6775.427579932335,,,,,,Summary1.As1,GREECE,1990,Subsector,1. Energy
C.  Metal industry,1012.0526343190796,0.00999101,,,171.0947529,,Summary1.As1,GREECE,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,129.78038063523232,,,,,,Summary1.As1,GREECE,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,102.4728243462,,0.44718089524515,,,0.00012846,Summary1.As1,GREECE,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,GREECE,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),75321.75642424666,,,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
                                           Sectoral approach(2),74701.49170503025,15.17973128072272,2.83727675066315,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
1.  Energy industries,41932.60845406508,0.57050483312398,0.46958541693,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9387.79710191839,0.48168898481991,0.18265706865094,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
3.  Transport,14932.09047076959,4.46002492620883,0.96440954447242,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
4.  Other sectors,8448.995678277184,9.66751253657,1.22062472060979,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,43.15714942612902,47.30152448321812,0.00059801820355,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
1.  Solid fuels,,45.897345,,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,43.15714942612902,1.40417948321812,0.00059801820355,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
A.  Mineral industry,6696.565372344483,,,,,,Summary1.As1,GREECE,1991,Subsector,1. Energy
C.  Metal industry,1049.9073636321596,0.0098,,,171.9319284,,Summary1.As1,GREECE,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,102.65878063523228,,,,,,Summary1.As1,GREECE,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,105.71803179937363,,0.45082414412089,,,0.00013241,Summary1.As1,GREECE,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,GREECE,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),77858.6886707974,,,,,,Summary1.As1,GREECE,1992,Subsector,1. Energy
                                           Sectoral approach(2),76635.83115752228,15.11369451708184,2.84766480055724,,,,Summary1.As1,GREECE,1992,Subsector,1. Energy
1.  Energy industries,44212.546378951934,0.5838284184,0.49899798547654,,,,Summary1.As1,GREECE,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,9044.656669903788,0.47974102796505,0.18045129353372,,,,Summary1.As1,GREECE,1992,Subsector,1. Energy
