GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,81114.50508820165,449.89135079481616,25.8924948569674,991.008,171.0947529,0.00012846,Summary1.As1,GREECE,1990,Total
Total national emissions and removals,80995.52011781439,448.1672132604373,25.43868197049072,1173.04,171.9319284,0.00013241,Summary1.As1,GREECE,1991,Total
Total national emissions and removals,82292.9469635508,453.2646200967045,24.89860188720986,962.736,168.8303925,0.00013646,Summary1.As1,GREECE,1992,Total
Total national emissions and removals,81129.91559804523,454.683687970946,23.03971064349312,1702.8617755,101.5613478,0.000140315,Summary1.As1,GREECE,1993,Total
Total national emissions and removals,83548.76938056972,457.1427445074041,22.57965683707739,2272.3218756,63.226683,0.00014427,Summary1.As1,GREECE,1994,Total
Total national emissions and removals,83866.00177543622,462.91896874011184,23.26333960502039,3487.67827773665,56.5213059,0.00015,Summary1.As1,GREECE,1995,Total
Total national emissions and removals,86653.87969373149,468.6577005479593,23.83423179157071,4046.990772444373,48.316986,0.000154,Summary1.As1,GREECE,1996,Total
Total national emissions and removals,91562.60433854649,468.0802128086029,23.30788796281585,4344.355118704325,113.00312619,0.000156,Summary1.As1,GREECE,1997,Total
Total national emissions and removals,96199.58101206971,480.5809113825038,23.05589265444488,4856.973232377744,139.86390339,0.000158,Summary1.As1,GREECE,1998,Total
Total national emissions and removals,95213.4251461767,473.26227706370696,22.85179570480467,5667.029710175629,94.77554688,0.000162,Summary1.As1,GREECE,1999,Total
Total national emissions and removals,100196.7508626043,481.33776650860426,22.22931502532181,4460.647964438647,110.085631416,0.000167,Summary1.As1,GREECE,2000,Total
Total national emissions and removals,102692.49124759344,446.467885311434,21.70473624838126,4079.503825496201,75.80505096,0.00017,Summary1.As1,GREECE,2001,Total
Total national emissions and removals,102024.11352459188,448.9104685294178,21.52840170489323,4375.211841858934,79.638781878,0.000178,Summary1.As1,GREECE,2002,Total
Total national emissions and removals,106337.74876106372,453.1023593341336,21.26600480650903,4112.542520607825,80.612965584,0.000178,Summary1.As1,GREECE,2003,Total
Total national emissions and removals,106763.5067492382,454.3795866386558,21.2895861777692,4309.682299727725,79.372093698,0.000187,Summary1.As1,GREECE,2004,Total
Total national emissions and removals,110335.54349097796,457.53267527955785,20.68245409486479,4503.287525711763,82.701670032,0.00027,Summary1.As1,GREECE,2005,Total
Total national emissions and removals,108791.05680153592,460.9737550441781,20.09783959664494,2568.9712782024776,78.8683878,0.00035,Summary1.As1,GREECE,2006,Total
Total national emissions and removals,111872.15247011754,468.1799218440587,20.51511343244374,3058.379945413034,93.29020892311394,0.000415,Summary1.As1,GREECE,2007,Total
Total national emissions and removals,107693.7616453686,451.99354032545006,19.6327228912092,3494.7026416578724,107.64445872488632,0.000315,Summary1.As1,GREECE,2008,Total
Total national emissions and removals,100825.00896639624,437.0933195438767,18.41285185616099,3805.7252991966566,82.832355692287,0.00022,Summary1.As1,GREECE,2009,Total
Total national emissions and removals,93927.959670171,444.6423015827014,19.05978017898114,4215.529783398233,117.3515834341606,0.000257,Summary1.As1,GREECE,2010,Total
Total national emissions and removals,90971.4684122273,438.8112686004489,18.25118623294093,4480.253136590524,100.07701136142984,0.000225,Summary1.As1,GREECE,2011,Total
Total national emissions and removals,87784.48305251809,433.4038154844647,16.82527784045265,4864.482847391902,133.83033564877482,0.00022142857143,Summary1.As1,GREECE,2012,Total
Total national emissions and removals,79658.39344574157,422.51321270082656,15.79764175931213,5403.5380194909,156.12949274420006,0.00022592857143,Summary1.As1,GREECE,2013,Total
Total national emissions and removals,78004.64487004343,414.5755853366991,15.03797675109218,5505.315957181095,121.654206489709,0.00021585714286,Summary1.As1,GREECE,2014,Total
Total national emissions and removals,70648.75100747606,406.80933081753545,14.7846380520747,5641.706189323342,108.04975333604948,0.0002219483712,Summary1.As1,GREECE,2015,Total
Total national emissions and removals,67238.55331468392,393.71927084051146,14.97339940174712,5844.571540148633,122.04713988315832,0.0002281583539,Summary1.As1,GREECE,2016,Total
Total national emissions and removals,70698.35849306088,405.17188974473646,15.21369578789745,5806.448108830668,113.58331259520278,0.000219785465,Summary1.As1,GREECE,2017,Total
Total national emissions and removals,66799.80387548519,410.1716679704076,14.87101654403702,5559.419385205423,122.0675463559094,0.000216784665,Summary1.As1,GREECE,2018,Total
Total national emissions and removals,60253.50488212285,403.4832463612128,14.85288421769109,5137.079568903206,123.62996262829203,0.00021581444102,Summary1.As1,GREECE,2019,Total
Total national emissions and removals,50168.78477170157,392.1433158349888,14.8863860562422,4816.272199897716,133.5381133972919,0.00021660579444,Summary1.As1,GREECE,2020,Total
Total national emissions and removals,51902.67726586069,409.8965143220129,14.49498030094876,4675.445632588268,111.1761546119926,0.000213906901,Summary1.As1,GREECE,2021,Total
