GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),100460.34629331947,,,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
                                           Sectoral approach(2),104262.252538254,15.64667629553224,3.39545026938688,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
1.  Energy industries,58058.169225741025,0.77049999311275,0.61637842910953,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,10134.372998539207,0.56609789640179,0.29384871285247,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
3.  Transport,21333.012570230472,4.88195627389622,1.32457048152014,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
4.  Other sectors,14214.111706873287,9.4244676843112,1.14603485466362,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
5.  Other,522.5860368700195,0.00365444781028,0.01461779124112,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
B. Fugitive emissions from fuels,5.59084231330242,63.35386250386157,7.590721524e-05,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
1.  Solid fuels,,60.44565800000001,,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,5.59084231330242,2.90820450386156,7.590721524e-05,,,,Summary1.As1,GREECE,2005,Subsector,1. Energy
