GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,74260.26739693499,176.04839783103364,1.22178540936562,,,Summary1.As1,HUNGARY,1986,Sector,
2.  Industrial processes and product use,10080.927207069337,1.27745043297186,14.94990692328661,334.30124452994903,0.00031486156367,Summary1.As1,HUNGARY,1986,Sector,
1. Energy,74990.60283765601,173.26272454383331,1.2234792503143,,,Summary1.As1,HUNGARY,1987,Sector,
2.  Industrial processes and product use,9860.305821244036,1.22992362247651,14.81818382418224,335.68128144505164,0.00036806436925,Summary1.As1,HUNGARY,1987,Sector,
1. Energy,71090.93926890192,171.14768243433053,1.16237124660433,,,Summary1.As1,HUNGARY,1988,Sector,
2.  Industrial processes and product use,9602.711135855094,1.20550100914642,14.32462249234164,326.6615487390964,0.00043359128497,Summary1.As1,HUNGARY,1988,Sector,
1. Energy,69137.44223135946,164.1602004634629,1.12537176795373,,,Summary1.As1,HUNGARY,1989,Sector,
2.  Industrial processes and product use,9172.522512278389,1.14396616789731,13.10803102239097,354.3290792400518,0.00047968424491,Summary1.As1,HUNGARY,1989,Sector,
1. Energy,64781.22072060169,156.63336813704095,1.06493385040744,,,Summary1.As1,HUNGARY,1990,Sector,
2.  Industrial processes and product use,8113.979374554063,1.01357673636147,10.81516558696781,337.53310387746734,0.00054328949975,Summary1.As1,HUNGARY,1990,Sector,0.00215273275862
1. Energy,63347.75837746354,157.9817519099158,0.98865712585829,,,Summary1.As1,HUNGARY,1991,Sector,
2.  Industrial processes and product use,5983.103235296343,1.00660268540093,5.6383695936615,290.7035206773852,0.00059080226407,Summary1.As1,HUNGARY,1991,Sector,13.75978584051724
1. Energy,56922.544537203,138.44558096757947,0.88432525376879,,,Summary1.As1,HUNGARY,1992,Sector,
2.  Industrial processes and product use,5091.983212624772,1.07601716913891,3.27523003147104,161.70628244244,0.00083726588167,Summary1.As1,HUNGARY,1992,Sector,23.19619632654
1. Energy,57795.0937856342,145.40888220385992,0.87728390386418,,,Summary1.As1,HUNGARY,1993,Sector,
2.  Industrial processes and product use,5470.992178789655,1.06646948680126,4.75543989209258,174.772034300736,0.00131744143097,Summary1.As1,HUNGARY,1993,Sector,23.88866054251588
1. Energy,55347.81056564995,147.85262402540857,0.84600098541962,,,Summary1.As1,HUNGARY,1994,Sector,
2.  Industrial processes and product use,6285.4041150101375,1.09756376944693,6.93746028807856,190.5819628813056,0.00167258069789,Summary1.As1,HUNGARY,1994,Sector,27.94062770285124
1. Energy,54914.160989014046,144.9826464014047,0.8433162089601,,,Summary1.As1,HUNGARY,1995,Sector,
2.  Industrial processes and product use,6473.313473417618,1.08113320749471,4.75792087995833,200.0415415665216,0.00223892678746,Summary1.As1,HUNGARY,1995,Sector,32.77435109837728
1. Energy,56686.691409981366,147.09474554651518,0.85058077762482,,,Summary1.As1,HUNGARY,1996,Sector,
2.  Industrial processes and product use,6269.413185390248,1.08901819718889,6.60297211210779,191.1368737938,0.00276041836626,Summary1.As1,HUNGARY,1996,Sector,38.30980762902727
1. Energy,55850.43890070664,145.5201458343534,0.86011834535941,,,Summary1.As1,HUNGARY,1997,Sector,
2.  Industrial processes and product use,5669.088300630257,1.1069156524247,6.35365735291206,190.59214215617837,0.00341838594929,Summary1.As1,HUNGARY,1997,Sector,60.78501328373431
1. Energy,55688.02267960642,139.0907700022432,0.87440459330964,,,Summary1.As1,HUNGARY,1998,Sector,
2.  Industrial processes and product use,5431.972345485845,1.17409707910832,5.38168246371094,234.28854194603548,0.00397601999637,Summary1.As1,HUNGARY,1998,Sector,85.72062236998843
1. Energy,56217.64562550388,135.61105050555318,0.89652477588301,,,Summary1.As1,HUNGARY,1999,Sector,
2.  Industrial processes and product use,5396.991805313983,1.14440710447269,4.74565303749253,254.4112687752465,0.00316463368877,Summary1.As1,HUNGARY,1999,Sector,175.0624469538381
