GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
A. Fuel combustion     Reference approach(2),73432.62486437551,,,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
                                           Sectoral approach(2),73676.32710074812,44.48980799584375,1.21747510072521,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
1.  Energy industries,26388.33762641536,0.50590262640097,0.27242225960145,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,16208.92288672071,0.62745353257934,0.1073067501084,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
3.  Transport,8498.983329039953,2.23068918330003,0.47194188352128,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
4.  Other sectors,22565.58188464161,41.12566291602341,0.36540525733408,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
5.  Other,14.50137393049576,9.973754e-05,0.00039895016,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
B. Fugitive emissions from fuels,583.9402961868603,131.55858983518988,0.00431030864041,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
1.  Solid fuels,3.146,62.444385,,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,580.7942961868604,69.11420483518988,0.00431030864041,,,Summary1.As1,HUNGARY,1986,Subsector,1. Energy,
B.  Chemical industry,2248.953744878393,0.819490132,14.4149585,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4790.190799765474,0.45796030097186,,334.30124452994903,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,224.3861825995983,,,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.53494842328661,,0.00031486156367,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,1986,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),74305.30395777272,,,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
                                           Sectoral approach(2),74423.7579773763,44.33530701059746,1.21932609367389,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
1.  Energy industries,25567.05320432303,0.49036176327616,0.27125024491424,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,16404.247718306604,0.62659375996687,0.10934083490779,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
3.  Transport,8846.145327454788,2.36389509485385,0.46615981650676,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
4.  Other sectors,23591.810353361387,40.85435665496058,0.3721762471851,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
5.  Other,14.50137393049576,9.973754e-05,0.00039895016,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
B. Fugitive emissions from fuels,566.8448602797174,128.92741753323585,0.00415315664041,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
1.  Solid fuels,3.3165,57.837549,,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,563.5283602797175,71.08986853323586,0.00415315664041,,,Summary1.As1,HUNGARY,1987,Subsector,1. Energy,
B.  Chemical industry,2239.6742517386942,0.821290132,14.279122,,,Summary1.As1,HUNGARY,1987,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4395.20520848396,0.40863349047651,,335.68128144505164,,Summary1.As1,HUNGARY,1987,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,224.30119795324083,,,,,Summary1.As1,HUNGARY,1987,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.53906182418224,,0.00036806436925,Summary1.As1,HUNGARY,1987,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,1987,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),71488.1924447585,,,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
                                           Sectoral approach(2),70549.83899154727,45.02748515686659,1.15821514239491,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
1.  Energy industries,22308.46237392406,0.39615814906972,0.24147572360459,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,15366.218924867586,0.55925322229363,0.09979266793366,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
3.  Transport,8890.620525415645,2.48709752079276,0.45159954038995,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
4.  Other sectors,23970.035793409483,41.58487652717048,0.36494826030671,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
5.  Other,14.50137393049576,9.973754e-05,0.00039895016,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
B. Fugitive emissions from fuels,541.1002773546528,126.12019727746392,0.00415610420942,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
1.  Solid fuels,4.14425,53.537051,,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,536.9560273546529,72.58314627746392,0.00415610420942,,,Summary1.As1,HUNGARY,1988,Subsector,1. Energy,
B.  Chemical industry,2006.1228415440823,0.802600132,13.744705,,,Summary1.As1,HUNGARY,1988,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4411.261239011213,0.40290087714642,,326.6615487390964,,Summary1.As1,HUNGARY,1988,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,217.23469117208765,,,,,Summary1.As1,HUNGARY,1988,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,0.57991749234164,,0.00043359128497,Summary1.As1,HUNGARY,1988,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,Summary1.As1,HUNGARY,1988,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),70244.88315875005,,,,,Summary1.As1,HUNGARY,1989,Subsector,1. Energy,
                                           Sectoral approach(2),68592.57742464164,40.47276353985848,1.12120815964049,,,Summary1.As1,HUNGARY,1989,Subsector,1. Energy,
