GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
Total national emissions and removals,81697.38817149907,517.3977949102606,37.31400737700221,334.30124452994903,0.00031486156367,Summary1.As1,HUNGARY,1986,Total,
Total national emissions and removals,81776.52122692986,515.6815979282225,37.51978546185044,335.68128144505164,0.00036806436925,Summary1.As1,HUNGARY,1987,Total,
Total national emissions and removals,77378.89874495119,515.3558221544903,36.39524209965463,326.6615487390964,0.00043359128497,Summary1.As1,HUNGARY,1988,Total,
Total national emissions and removals,76004.01110439407,506.3091561776983,34.51316758854545,354.3290792400518,0.00047968424491,Summary1.As1,HUNGARY,1989,Total,
Total national emissions and removals,69959.84495619065,493.7244647139091,28.26058130780323,337.53310387746734,0.00054328949975,Summary1.As1,HUNGARY,1990,Total,0.00215273275862
Total national emissions and removals,67134.79866746998,486.0228374745503,19.23229825688865,290.7035206773852,0.00059080226407,Summary1.As1,HUNGARY,1991,Total,13.75978584051724
Total national emissions and removals,59211.8465722474,441.5182133939472,15.0416272330792,161.70628244244,0.00083726588167,Summary1.As1,HUNGARY,1992,Total,23.19619632654
Total national emissions and removals,57732.14275224333,427.812162289522,15.69200465090195,174.772034300736,0.00131744143097,Summary1.As1,HUNGARY,1993,Total,23.88866054251588
Total national emissions and removals,55411.94364564869,416.2855406766548,18.91531263695639,190.5819628813056,0.00167258069789,Summary1.As1,HUNGARY,1994,Total,27.94062770285124
Total national emissions and removals,55181.31263734139,412.7823680805369,16.0848361772344,200.0415415665216,0.00223892678746,Summary1.As1,HUNGARY,1995,Total,32.77435109837728
Total national emissions and removals,60412.61263468194,415.4008887926088,18.03550493866855,191.1368737938,0.00276041836626,Summary1.As1,HUNGARY,1996,Total,38.30980762902727
Total national emissions and removals,58500.29678056513,412.3862528508773,18.03481011436674,190.59214215617837,0.00341838594929,Summary1.As1,HUNGARY,1997,Total,60.78501328373431
Total national emissions and removals,57030.49754523072,407.8349050230745,17.7504024048008,234.28854194603548,0.00397601999637,Summary1.As1,HUNGARY,1998,Total,85.72062236998843
Total national emissions and removals,59753.2837161484,408.76293651651287,17.13807548300131,254.4112687752465,0.00316463368877,Summary1.As1,HUNGARY,1999,Total,175.0624469538381
