GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),43616.95254336123,,,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
                                           Sectoral approach(2),44023.45610653173,26.1566156031765,1.12253683236913,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
1.  Energy industries,13763.468898295792,1.01809228067983,0.20457276510766,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4910.21923338503,0.40358018866305,0.08331443515704,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
3.  Transport,12947.873806241316,0.94134778527767,0.47576236983035,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
4.  Other sectors,12334.279221942925,23.78979146855595,0.35809982227408,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
5.  Other,67.61494666666667,0.00380388,0.00078744,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
B. Fugitive emissions from fuels,142.541585821006,67.37373795568082,0.00089036816358,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
1.  Solid fuels,8.9058852,1.2278254325,1.245672e-08,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,133.635700621006,66.14591252318083,0.00089035570686,,,,Summary1.As1,HUNGARY,2017,Subsector,1. Energy
