GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,1807.1943196159496,0.34869785690441,0.08897146636616,,,,Summary1.As1,ICELAND,1990,Sector
2.  Industrial processes and product use,407.83547584193656,0.064673168374,0.176443773453,0.31364363459,444.815895079545,4.80875e-05,Summary1.As1,ICELAND,1990,Sector
1. Energy,1722.760882814141,0.34436540876007,0.08653582184536,,,,Summary1.As1,ICELAND,1991,Sector
2.  Industrial processes and product use,373.4310045446858,0.052264150434,0.16958240468301,0.62991539767,369.24743678661,5.455e-05,Summary1.As1,ICELAND,1991,Sector
1. Energy,1865.9311180451928,0.35602741362361,0.08755302335398,,,,Summary1.As1,ICELAND,1992,Sector
2.  Industrial processes and product use,376.69461350499193,0.056477055413,0.151744818426,0.63747209916,164.597827826004,5.455e-05,Summary1.As1,ICELAND,1992,Sector
1. Energy,1968.862383481441,0.35499014571291,0.09436751507265,,,,Summary1.As1,ICELAND,1993,Sector
2.  Industrial processes and product use,425.6417731681144,0.069154711775,0.158474965865,1.43536060187,79.351429820436,5.455e-05,Summary1.As1,ICELAND,1993,Sector
1. Energy,1917.3908935416569,0.34633614345257,0.09646369903341,,,,Summary1.As1,ICELAND,1994,Sector
2.  Industrial processes and product use,426.7384895143396,0.067858907884,0.158018436848,1.84891720435,47.241737491419,5.455e-05,Summary1.As1,ICELAND,1994,Sector
1. Energy,2017.883092376016,0.34289297327111,0.11212098162644,,,,Summary1.As1,ICELAND,1995,Sector
2.  Industrial processes and product use,444.1428880276988,0.073240521176,0.151038644917,3.148353757446,62.37562987269,5.455e-05,Summary1.As1,ICELAND,1995,Sector
1. Energy,2072.872567669906,0.3392149052541,0.11422313055113,,,,Summary1.As1,ICELAND,1996,Sector
2.  Industrial processes and product use,443.5037656500335,0.074373456295,0.1754636834,10.087963492376,26.658043535334,5.455e-05,Summary1.As1,ICELAND,1996,Sector
1. Energy,2109.292702380566,0.33012835320785,0.12835831794498,,,,Summary1.As1,ICELAND,1997,Sector
2.  Industrial processes and product use,502.7140882169032,0.07335292406,0.149134612405,16.137108341974,87.301129472373,5.455e-05,Summary1.As1,ICELAND,1997,Sector
1. Energy,2102.004908427063,0.32664924482327,0.1320825447585,,,,Summary1.As1,ICELAND,1998,Sector
2.  Industrial processes and product use,530.5602851387032,0.064157131837,0.132654734169,25.465406809238,190.943906648385,5.455e-05,Summary1.As1,ICELAND,1998,Sector
1. Energy,2156.229977938808,0.33322348009601,0.13962236621515,,,,Summary1.As1,ICELAND,1999,Sector
2.  Industrial processes and product use,679.4373130549018,0.074443777457,0.134249547969,36.9988970870346,183.606241689087,5.455e-05,Summary1.As1,ICELAND,1999,Sector
1. Energy,2138.3898287887514,0.32388411083572,0.14080482799584,,,,Summary1.As1,ICELAND,2000,Sector
2.  Industrial processes and product use,789.2547158251338,0.110512621693,0.076630486411,42.9882725468099,134.794913997225,5.7525e-05,Summary1.As1,ICELAND,2000,Sector
1. Energy,2028.6464135565325,0.30406505054729,0.13735316180451,,,,Summary1.As1,ICELAND,2001,Sector
2.  Industrial processes and product use,831.4800616962394,0.114755262576,0.067795268717,39.8262150475428,97.156804878423,5.7525e-05,Summary1.As1,ICELAND,2001,Sector
1. Energy,2138.8056283652204,0.30326707473362,0.13659557269548,,,,Summary1.As1,ICELAND,2002,Sector
2.  Industrial processes and product use,848.7885275210265,0.120805405808,0.014623658786,44.6470728028209,76.900232239188,5.7525e-05,Summary1.As1,ICELAND,2002,Sector
1. Energy,2129.467896547665,0.29333821959012,0.13192794300968,,,,Summary1.As1,ICELAND,2003,Sector
2.  Industrial processes and product use,849.6630327955164,0.120783290427,0.014487701174,45.1354746608285,63.37664432592,5.7525e-05,Summary1.As1,ICELAND,2003,Sector
1. Energy,2224.184251171243,0.30030119571877,0.14680025139473,,,,Summary1.As1,ICELAND,2004,Sector
2.  Industrial processes and product use,873.3999153240263,0.120397753144,0.013579982933,52.1723742786578,40.896874266642,5.76625e-05,Summary1.As1,ICELAND,2004,Sector
1. Energy,2111.118216649609,0.28542810869508,0.14808509339071,,,,Summary1.As1,ICELAND,2005,Sector
2.  Industrial processes and product use,856.3453063696863,0.112715204009,0.013030839918,57.2375457648722,27.662885537739,0.0001104194413,Summary1.As1,ICELAND,2005,Sector
1. Energy,2180.033985313016,0.31023154315361,0.12449259445824,,,,Summary1.As1,ICELAND,2006,Sector
2.  Industrial processes and product use,965.3650016795656,0.110868512881,0.013843454957,66.3089070458212,353.22269867136,0.0001144194413,Summary1.As1,ICELAND,2006,Sector
1. Energy,2319.5755932513,0.34285553948244,0.12765444500002,,,,Summary1.As1,ICELAND,2007,Sector
2.  Industrial processes and product use,1163.1722005508386,0.116376461383,0.015398138831,66.9835276147672,298.005145116651,0.0001269194413,Summary1.As1,ICELAND,2007,Sector
1. Energy,2193.7883831381755,0.32238888570627,0.12099799199631,,,,Summary1.As1,ICELAND,2008,Sector
2.  Industrial processes and product use,1604.8348542400824,0.098105617941,0.013732175282,68.572581947606,369.944229898524,0.0001318654413,Summary1.As1,ICELAND,2008,Sector
1. Energy,2102.6694490180976,0.3009799679489,0.09773682970932,,,,Summary1.As1,ICELAND,2009,Sector
2.  Industrial processes and product use,1616.2640881502098,0.099588124266,0.012060933537,81.822478436647,161.91487348626,0.0001331783933,Summary1.As1,ICELAND,2009,Sector
1. Energy,1993.7734187738777,0.37204622050568,0.08492512636938,,,,Summary1.As1,ICELAND,2010,Sector
