GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),1767.1120866666683,,,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
                                           Sectoral approach(2),1745.8360748303137,0.32140488044041,0.08897146636616,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
1.  Energy industries,13.4590528807,0.0005299668,0.0001059934,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,294.8979996671,0.0154913074,0.0245734597,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
3.  Transport,607.3442802904685,0.22724223306041,0.02776945602616,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
4.  Other sectors,830.012843072045,0.07813664638,0.03652161184,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
5.  Other,0.12189892,4.7268e-06,9.454e-07,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,61.358244785636,0.027292976464,,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,61.358244785636,0.027292976464,,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
A.  Mineral industry,52.2563396873,,,,,,Summary1.As1,ICELAND,1990,Subsector,1. Energy
C.  Metal industry,348.0071320779,0.06279169,,,444.815895079545,,Summary1.As1,ICELAND,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.20677623119413,,,,,,Summary1.As1,ICELAND,1990,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.31364363459,,,Summary1.As1,ICELAND,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00492595875,0.001881478374,0.020443773453,,,4.80875e-05,Summary1.As1,ICELAND,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1550.1751100000015,,,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
                                           Sectoral approach(2),1652.8108870883332,0.32056737801107,0.08653582184536,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
1.  Energy industries,15.0540898592,0.0005924376,0.0001184875,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,221.3049505102,0.0123046824,0.0229622403,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
3.  Transport,613.2420966902711,0.23243753693107,0.02835331202536,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
4.  Other sectors,803.072223041962,0.07522738828,0.03510071542,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
5.  Other,0.1375269867,5.3328e-06,1.0666e-06,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,69.949995725808,0.023798030749,,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,69.949995725808,0.023798030749,,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
A.  Mineral industry,48.6277779459,,,,,,Summary1.As1,ICELAND,1991,Subsector,1. Energy
C.  Metal industry,317.4232635131,0.05030464,,,369.24743678661,,Summary1.As1,ICELAND,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.06306605536033,,,,,,Summary1.As1,ICELAND,1991,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.62991539767,,,Summary1.As1,ICELAND,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00391589825,0.001959510434,0.01858240468301,,,5.455e-05,Summary1.As1,ICELAND,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1660.631536666668,,,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
                                           Sectoral approach(2),1798.3142124829717,0.33005621057561,0.08755302335398,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
1.  Energy industries,14.0591706407,0.0005532372,0.0001106474,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,280.7139008319,0.0137130188,0.0219003896,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
3.  Transport,623.9781116382088,0.23325779531561,0.02935019294398,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
4.  Other sectors,878.769123585463,0.08250137446,0.03618563641,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
5.  Other,0.7939057867,3.07848e-05,6.157e-06,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,67.616905562221,0.025971203048,,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,67.616905562221,0.025971203048,,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
A.  Mineral industry,45.6701259735,,,,,,Summary1.As1,ICELAND,1992,Subsector,1. Energy
C.  Metal industry,323.5470805699,0.05441307,,,164.597827826004,,Summary1.As1,ICELAND,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.21710504958253,,,,,,Summary1.As1,ICELAND,1992,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.63747209916,,,Summary1.As1,ICELAND,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0066792705,0.002063985413,0.016744818426,,,5.455e-05,Summary1.As1,ICELAND,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1821.0209042991185,,,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
                                           Sectoral approach(2),1883.484933929572,0.32863568399791,0.09436751507265,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
1.  Energy industries,14.4214828866,0.0013690428,0.0003197986,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,303.4897408477,0.0149457696,0.0236630322,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
3.  Transport,627.1749886090579,0.22432679819791,0.03149125797265,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
4.  Other sectors,936.960939452914,0.0879383214,0.0388822759,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
5.  Other,1.4377821333,5.5752e-05,1.11504e-05,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,85.377449551869,0.026354461715,,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,85.377449551869,0.026354461715,,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
A.  Mineral industry,39.6546771622,,,,,,Summary1.As1,ICELAND,1993,Subsector,1. Energy
C.  Metal industry,378.2717065533,0.06737419,,,79.351429820436,,Summary1.As1,ICELAND,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.46722723586433,,,,,,Summary1.As1,ICELAND,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1.43536060187,,,Summary1.As1,ICELAND,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00616221675,0.001780521775,0.016474965865,,,5.455e-05,Summary1.As1,ICELAND,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1798.466430965785,,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
                                           Sectoral approach(2),1847.2700012623568,0.31964072088157,0.09646369903341,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
1.  Energy industries,14.2808302866,0.0013635888,0.0003187078,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,284.0512411754,0.0141568138,0.0239093168,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
3.  Transport,628.3103420926097,0.21777888404157,0.03350972132341,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
4.  Other sectors,920.524442467747,0.08633743464,0.03872515321,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
5.  Other,0.10314524,3.9996e-06,7.999e-07,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,70.1208922793,0.026695422571,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,70.1208922793,0.026695422571,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
A.  Mineral industry,37.3530683415,,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
C.  Metal industry,381.6389353773,0.066003,,,47.241737491419,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.38828904119993,,,,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1.84891720435,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00578166,0.001855907884,0.015018436848,,,5.455e-05,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1756.75176217686,,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
                                           Sectoral approach(2),1935.64680036606,0.31503834666011,0.11212098162644,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
1.  Energy industries,15.096794278,0.0016159638,0.0003817828,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,286.6593231969,0.0137938401,0.0293687703,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
3.  Transport,639.4545897687125,0.20680732489011,0.03794179030644,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
4.  Other sectors,992.823253275747,0.09275583347,0.04441556132,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
5.  Other,1.6128398467,6.53844e-05,1.30769e-05,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,82.236292009956,0.027854626611,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,82.236292009956,0.027854626611,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
A.  Mineral industry,37.8420611646,,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
C.  Metal industry,397.9327486291,0.07141,,,62.37562987269,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.90661340568273,,,,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,3.148353757446,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00610633775,0.001830521176,0.015038644917,,,5.455e-05,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1987.69506453916,,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
                                           Sectoral approach(2),1991.604864902939,0.3080937933101,0.11422313055113,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
1.  Energy industries,12.1134615508,0.0018096588,0.0004381618,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,331.4892831167,0.015145436,0.0288587052,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
3.  Transport,629.6179234195919,0.1954848871301,0.04045241391113,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
4.  Other sectors,1018.000043132847,0.09563848678,0.04447078474,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
5.  Other,0.384153683,1.53246e-05,3.0649e-06,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,81.267702766967,0.031121111944,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,81.267702766967,0.031121111944,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
A.  Mineral industry,41.7556405603,,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
C.  Metal industry,393.4741996645,0.072478,,,26.658043535334,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.86441837247873,,,,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,10.087963492376,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.007695732,0.001895456295,0.0164636834,,,5.455e-05,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1916.0230612058267,,,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
                                           Sectoral approach(2),2042.440783455802,0.29816550391685,0.12835831794498,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
1.  Energy industries,6.9963777234,0.0016076922,0.0003977684,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,383.6845921759,0.018078319,0.0347012024,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
3.  Transport,646.2570199174891,0.18472803119685,0.04530689471498,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
