GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,7984.14424158895,163.06972993876067,1.11429862183892,0.31364363459,444.815895079545,4.80875e-05,Summary1.As1,ICELAND,1990,Total
Total national emissions and removals,7869.720555271007,162.97267901296925,1.09098375894756,0.62991539767,369.24743678661,5.455e-05,Summary1.As1,ICELAND,1991,Total
Total national emissions and removals,8008.975031704687,163.03426530302934,1.04961313971602,0.63747209916,164.597827826004,5.455e-05,Summary1.As1,ICELAND,1992,Total
Total national emissions and removals,8153.6765047825,163.49240731941453,1.07759018861653,1.43536060187,79.351429820436,5.455e-05,Summary1.As1,ICELAND,1993,Total
Total national emissions and removals,8098.959155641131,163.6589833558815,1.09662510832522,1.84891720435,47.241737491419,5.455e-05,Summary1.As1,ICELAND,1994,Total
Total national emissions and removals,8209.550361154495,163.50752275043197,1.08409518258362,3.148353757446,62.37562987269,5.455e-05,Summary1.As1,ICELAND,1995,Total
Total national emissions and removals,8260.52430462527,164.26346582853515,1.13983403850058,10.087963492376,26.658043535334,5.455e-05,Summary1.As1,ICELAND,1996,Total
Total national emissions and removals,8357.129569271827,164.22846271770757,1.11862640158577,16.137108341974,87.301129472373,5.455e-05,Summary1.As1,ICELAND,1997,Total
Total national emissions and removals,8383.090569714945,164.08589067716534,1.12075403078533,25.465406809238,190.943906648385,5.455e-05,Summary1.As1,ICELAND,1998,Total
Total national emissions and removals,8598.969355689958,163.97987979443934,1.14724874007397,36.9988970870346,183.606241689087,5.455e-05,Summary1.As1,ICELAND,1999,Total
Total national emissions and removals,8707.90218540537,163.70862432887438,1.08363405056108,42.9882725468099,134.794913997225,5.7525e-05,Summary1.As1,ICELAND,2000,Total
Total national emissions and removals,8656.87071652739,163.84974674039512,1.06868201859764,39.8262150475428,97.156804878423,5.7525e-05,Summary1.As1,ICELAND,2001,Total
Total national emissions and removals,8807.174261556165,163.7969341640395,0.98624556566906,44.6470728028209,76.900232239188,5.7525e-05,Summary1.As1,ICELAND,2002,Total
Total national emissions and removals,8803.874180707777,163.2036784171246,0.96933246891756,45.1354746608285,63.37664432592,5.7525e-05,Summary1.As1,ICELAND,2003,Total
Total national emissions and removals,8933.03243165716,162.79319061329784,0.98144304976474,52.1723742786578,40.896874266642,5.76625e-05,Summary1.As1,ICELAND,2004,Total
Total national emissions and removals,8807.747200220736,162.14506141462368,0.97877480748111,57.2375457648722,27.662885537739,0.0001104194413,Summary1.As1,ICELAND,2005,Total
Total national emissions and removals,9046.313221080987,163.37817104594308,1.0361701517474,66.3089070458212,353.22269867136,0.0001144194413,Summary1.As1,ICELAND,2006,Total
Total national emissions and removals,9310.263398254903,163.13314003176674,1.05799563532978,66.9835276147672,298.005145116651,0.0001269194413,Summary1.As1,ICELAND,2007,Total
Total national emissions and removals,9677.458347876434,162.30534107390133,1.08212182279976,68.572581947606,369.944229898524,0.0001318654413,Summary1.As1,ICELAND,2008,Total
Total national emissions and removals,9587.922896849135,161.95864856649027,0.99923507820856,81.822478436647,161.91487348626,0.0001331783933,Summary1.As1,ICELAND,2009,Total
Total national emissions and removals,9449.55476171128,161.74164538322006,0.96291191112018,109.9186944407367,154.368756837754,0.000204567755,Summary1.As1,ICELAND,2010,Total
Total national emissions and removals,9301.960546592934,160.83219315421775,0.949137161279,134.7219031002423,67.014875922215,0.0001335700688,Summary1.As1,ICELAND,2011,Total
Total national emissions and removals,9294.330318058364,159.58981045345757,0.96963408619794,140.1614116444271,84.532016056389,0.0002344598453,Summary1.As1,ICELAND,2012,Total
Total national emissions and removals,9271.573194070856,159.57173740044956,0.94884442464385,170.5403393698384,79.28447233614,0.0001414718258,Summary1.As1,ICELAND,2013,Total
Total national emissions and removals,9209.7224218028,159.79369626788468,1.0285490267419,168.563164258772,89.054703903899,0.000104611877,Summary1.As1,ICELAND,2014,Total
Total national emissions and removals,9285.09497953866,159.93096081038615,0.97788667282616,161.3711704009821,93.249968112662,6.95530063e-05,Summary1.As1,ICELAND,2015,Total
Total national emissions and removals,9210.049331457836,159.35745397412518,0.96894151655007,179.2121876936576,82.564137009662,5.8972911e-05,Summary1.As1,ICELAND,2016,Total
Total national emissions and removals,9288.611684647583,158.77732131190518,1.00835988089254,170.4505007060629,61.116994403634,0.0001196235773,Summary1.As1,ICELAND,2017,Total
Total national emissions and removals,9321.008490012906,158.63884287475196,0.96591922803058,188.5334350385061,68.698466074041,0.0001712912523,Summary1.As1,ICELAND,2018,Total
Total national emissions and removals,9214.284376795227,156.65496862958958,0.92226764789888,199.6409281513937,87.221526969784,9.97652128e-05,Summary1.As1,ICELAND,2019,Total
Total national emissions and removals,9005.714100282348,157.34419493045172,0.92703797507792,195.6120405681644,85.959553243963,0.0001383682979,Summary1.As1,ICELAND,2020,Total
Total national emissions and removals,9152.175739398432,157.4602891465613,0.94276934469204,157.2481617964441,88.949232285101,0.00012658,Summary1.As1,ICELAND,2021,Total
