GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),1481.5754305000014,,,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
                                           Sectoral approach(2),1465.4006708669606,0.09585519740227,0.06042798314631,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
1.  Energy industries,1.7806894593,7.1904e-05,1.43808e-05,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,52.2307032065,0.0027544739,0.0081311977,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
3.  Transport,874.1591266229487,0.04214615034097,0.02938383560121,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
4.  Other sectors,536.8686153593117,0.0508495029613,0.0228943349451,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
5.  Other,0.3615362189,3.31662e-05,4.2341e-06,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
B. Fugitive emissions from fuels,174.872710702055,0.172023882644,,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,174.872710702055,0.172023882644,,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
A.  Mineral industry,0.8949984572,,,,,,Summary1.As1,ICELAND,2020,Subsector,1. Energy
