GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,30148.213774174557,24.73627213978307,0.85569799827837,,,,Summary1.As1,IRELAND,1990,Sector
2.  Industrial processes and product use,2248.907026013603,,3.445174,0.496,0.10869,0.00148593604698,Summary1.As1,IRELAND,1990,Sector
1. Energy,31013.43713629142,24.01238962038681,0.87103498487475,,,,Summary1.As1,IRELAND,1991,Sector
2.  Industrial processes and product use,2150.3951523546966,,2.726571,0.63984,8.960529,0.00170475001984,Summary1.As1,IRELAND,1991,Sector
1. Energy,30963.458953172023,21.21882672040465,0.90597987145824,,,,Summary1.As1,IRELAND,1992,Sector
2.  Industrial processes and product use,2061.759769364289,,2.727435,0.78368,17.812368,0.00192355585298,Summary1.As1,IRELAND,1992,Sector
1. Energy,31135.135483317517,20.89652437819224,0.95856354687249,,,,Summary1.As1,IRELAND,1993,Sector
2.  Industrial processes and product use,2026.9079911092208,,2.728023,6.51653993513589,35.516046,0.00232035362778,Summary1.As1,IRELAND,1993,Sector
1. Energy,32107.08334280856,19.12185351062665,1.10348105381671,,,,Summary1.As1,IRELAND,1994,Sector
2.  Industrial processes and product use,2265.259173673666,,2.728377,18.23682410500214,53.219724,0.00271714342483,Summary1.As1,IRELAND,1994,Sector
1. Energy,32995.0596917388,17.93117418956979,1.29528735726043,,,,Summary1.As1,IRELAND,1995,Sector
2.  Industrial processes and product use,2178.9046841905047,,2.728839,31.43241348107162,88.62708,0.00346992532392,Summary1.As1,IRELAND,1995,Sector
1. Energy,34539.00777731642,17.97634224486569,1.54137811270683,,,,Summary1.As1,IRELAND,1996,Sector
2.  Industrial processes and product use,2260.856588437112,,2.729583,72.83432645410542,121.01112,0.00427469940401,Summary1.As1,IRELAND,1996,Sector
1. Energy,35626.43431412575,16.39408541201328,1.76332580863299,,,,Summary1.As1,IRELAND,1997,Sector
2.  Industrial processes and product use,2589.9007824467803,,2.730729,114.92990788741652,153.43278,0.00553146574331,Summary1.As1,IRELAND,1997,Sector
1. Energy,37763.65907384586,16.54643659592225,2.01136057707417,,,,Summary1.As1,IRELAND,1998,Sector
2.  Industrial processes and product use,2479.6164422919637,,2.731893,141.32320002625306,71.859,0.00389386877869,Summary1.As1,IRELAND,1998,Sector
1. Energy,39452.59712023676,14.110289485514,1.23441083691779,,,,Summary1.As1,IRELAND,1999,Sector
2.  Industrial processes and product use,2428.834357168255,,2.733048,185.01166078878896,231.465477,0.00281780683875,Summary1.As1,IRELAND,1999,Sector
