GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),30852.83481122434,,,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
                                           Sectoral approach(2),30148.20776503342,20.50293236925456,0.85569799827837,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
1.  Energy industries,11145.005786696194,0.26500379147863,0.23991894803355,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4046.6007240392105,0.27093008721683,0.04263340214443,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
3.  Transport,5029.631862631818,1.94235231091162,0.22377801893603,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
4.  Other sectors,9926.969391666198,18.02464617964748,0.34936762916436,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00600914112989,4.23333977052851,,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
1.  Solid fuels,,2.2222627,,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00600914112989,2.01107707052851,,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
A.  Mineral industry,1116.725408501433,,,,,,Summary1.As1,IRELAND,1990,Subsector,1. Energy
C.  Metal industry,26.08,,,,,,Summary1.As1,IRELAND,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,94.63572588677764,,,,,,Summary1.As1,IRELAND,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,0.496,0.10869,2e-05,Summary1.As1,IRELAND,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0745289946808,,0.105174,,,0.00146593604698,Summary1.As1,IRELAND,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),21.15786479151668,,,,,,Summary1.As1,IRELAND,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),30945.46541150677,,,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
                                           Sectoral approach(2),31013.43097755617,20.15415929896061,0.87103498487475,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
1.  Energy industries,11604.430865667691,0.26513826696418,0.24549277585977,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4130.967512628017,0.27278753728182,0.0428942839465,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
3.  Transport,5207.468234662089,1.99648504011876,0.22546298979252,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
4.  Other sectors,10070.564364598376,17.61974845459585,0.35718493527596,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,0.00615873524599,3.8582303214262,,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
1.  Solid fuels,,1.7973755,,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.00615873524599,2.0608548214262,,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
A.  Mineral industry,992.3893966173152,,,,,,Summary1.As1,IRELAND,1991,Subsector,1. Energy
C.  Metal industry,23.44,,,,,,Summary1.As1,IRELAND,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,82.69272861314116,,,,,,Summary1.As1,IRELAND,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,0.63984,8.960529,0.000198,Summary1.As1,IRELAND,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0803731489484,,0.105771,,,0.00150675001984,Summary1.As1,IRELAND,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),21.47615304634186,,,,,,Summary1.As1,IRELAND,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),31022.393102051283,,,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
                                           Sectoral approach(2),30963.45286188712,17.54986739884519,0.90597987145824,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
1.  Energy industries,12263.687310170842,0.26740007277416,0.25254790073314,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3807.816088677851,0.22862407493278,0.03680234812221,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
3.  Transport,5621.828023076361,2.04450105218914,0.27104522939396,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
4.  Other sectors,9270.121439962066,15.00934219894911,0.34558439320893,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0060912849021,3.66895932155946,,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
1.  Solid fuels,,1.6296879,,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0060912849021,2.03927142155946,,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
A.  Mineral industry,932.9680850665194,,,,,,Summary1.As1,IRELAND,1992,Subsector,1. Energy
C.  Metal industry,20.56,,,,,,Summary1.As1,IRELAND,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,82.79834636536714,,,,,,Summary1.As1,IRELAND,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,0.78368,17.812368,0.000376,Summary1.As1,IRELAND,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.076625347898,,0.106635,,,0.00154755585298,Summary1.As1,IRELAND,1992,Subsector,2.  Industrial processes and product use
