GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Unspecified mix of HFCs and PFCs(1)
1. Energy,408579.17908053385,460.0045231879378,15.43019379964257,,,,Summary1.As1,ITALY,1990,Sector,
2.  Industrial processes and product use,29303.23759322649,5.159712785416,24.15689553288878,372.0,2614.985604703423,0.01791013946622,Summary1.As1,ITALY,1990,Sector,
1. Energy,408361.1316205271,464.3085273628065,15.82666219537255,,,,Summary1.As1,ITALY,1991,Sector,
2.  Industrial processes and product use,28910.21214494657,4.947530574354,25.2794505656249,376.47,2257.6191041068773,0.01889455894338,Summary1.As1,ITALY,1991,Sector,
1. Energy,408160.8656069143,466.6182813670288,15.82207964755036,,,,Summary1.As1,ITALY,1992,Sector,
2.  Industrial processes and product use,29476.350437565216,4.833121020062,23.57197006321653,426.4460337222222,1635.011953405495,0.01897510151841,Summary1.As1,ITALY,1992,Sector,
1. Energy,403529.63755731855,461.566700357193,15.74035335883965,,,,Summary1.As1,ITALY,1993,Sector,
2.  Industrial processes and product use,26467.46830773486,4.86897031931945,24.14843719868298,479.0222826194444,1502.7546191222073,0.01948624437429,Summary1.As1,ITALY,1993,Sector,
1. Energy,398774.66539002827,451.8140292510596,16.31636233437261,,,,Summary1.As1,ITALY,1994,Sector,
2.  Industrial processes and product use,25507.86810099948,5.06583384536729,22.82077851451976,588.8981973069687,1278.2294380472542,0.0213824998957,Summary1.As1,ITALY,1994,Sector,
1. Energy,421144.6821906125,442.4005571626128,17.96627575699982,,,,Summary1.As1,ITALY,1995,Sector,
2.  Industrial processes and product use,27259.828972196203,5.35966666509311,25.84149471488462,860.8214976247934,1350.879998875973,0.02979282439782,Summary1.As1,ITALY,1995,Sector,24.428296784
1. Energy,417886.718412872,434.550283917656,19.21459706714091,,,,Summary1.As1,ITALY,1996,Sector,
