GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,Unspecified mix of HFCs and PFCs(1)
A. Fuel combustion     Reference approach(2),396623.0300443736,,,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
                                           Sectoral approach(2),404531.5445816104,97.68305441365388,15.39050059447824,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
1.  Energy industries,136941.4603637647,9.07469046650765,1.60221960319011,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,90771.74831221222,6.68640328168585,4.49345031155822,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
3.  Transport,100319.07681329489,36.15975350934934,3.24678190140497,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
4.  Other sectors,75428.07338029772,45.58927068434633,5.82302811126612,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
5.  Other,1071.185712040878,0.17293647176471,0.22502066705882,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
B. Fugitive emissions from fuels,4047.63449892349,362.321468774284,0.03969320516433,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
1.  Solid fuels,0.43289510466052,5.282001,,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,4047.201603818829,357.03946777428393,0.03969320516433,,,,Summary1.As1,ITALY,1990,Subsector,1. Energy,
B.  Chemical industry,2524.159426,2.45081569,21.53681145327613,372.0,836.5197841203692,0.005,Summary1.As1,ITALY,1990,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4377.866827858575,2.708897095416,,,1778.465820583054,,Summary1.As1,ITALY,1990,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1680.758524894247,,,,,,Summary1.As1,ITALY,1990,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.62008407961265,,,0.01291013946622,Summary1.As1,ITALY,1990,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1990,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),395819.05672069656,,,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
                                           Sectoral approach(2),404381.2174599875,106.15474188512702,15.78697088437219,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
1.  Energy industries,131336.0087843053,8.69363713714618,1.51589562593275,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88059.93100408858,6.58711151155583,4.62738944397687,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
3.  Transport,102839.13463683918,38.1927354469211,3.43178492683355,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
4.  Other sectors,80914.7669721622,52.4955293577392,5.9763429005702,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
5.  Other,1231.3760625922127,0.18572843176471,0.23555798705882,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
B. Fugitive emissions from fuels,3979.914160539585,358.1537854776795,0.03969131100036,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
1.  Solid fuels,0.33783270165003,4.670536,,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3979.5763278379354,353.4832494776795,0.03969131100036,,,,Summary1.As1,ITALY,1991,Subsector,1. Energy,
B.  Chemical industry,2442.904232,2.43349407,22.80943174974522,376.47,856.2031504857897,0.005,Summary1.As1,ITALY,1991,Subsector,2.  Industrial processes and product use,
C.  Metal industry,4124.275816439377,2.514036504354,,,1401.4159536210875,,Summary1.As1,ITALY,1991,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1660.7028025335276,,,,,,Summary1.As1,ITALY,1991,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.47001881587968,,,0.01389455894338,Summary1.As1,ITALY,1991,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1991,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),397793.7240925549,,,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
                                           Sectoral approach(2),404204.78050951805,105.08060275691072,15.78092337947421,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
1.  Energy industries,130561.43063637176,8.37063349455008,1.49020732966601,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88113.21730198961,6.43990962326686,4.48810714101906,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
3.  Transport,107833.79545659904,41.67173338251001,3.72128728016079,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
4.  Other sectors,76375.80208955075,48.40155047423082,5.83957489921659,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
5.  Other,1320.5350250069168,0.19677578235294,0.24174672941176,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
B. Fugitive emissions from fuels,3956.0850973962,361.5376786101181,0.04115626807615,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
1.  Solid fuels,0.50883750288921,5.1795735,,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3955.576259893311,356.3581051101181,0.04115626807615,,,,Summary1.As1,ITALY,1992,Subsector,1. Energy,
B.  Chemical industry,2393.914842,2.39817194,21.10888088462368,379.64,875.8865168512101,0.005,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3922.942107267989,2.434949080062,,,759.1254365542848,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1682.8954453235558,,,,,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,46.8060337222222,,,Summary1.As1,ITALY,1992,Subsector,2.  Industrial processes and product use,
