GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Unspecified mix of HFCs and PFCs(1)
Total national emissions and removals,433213.975217677,2014.8440026429585,94.1665264679274,372.0,2614.985604703423,0.01791013946622,Summary1.As1,ITALY,1990,Total,
Total national emissions and removals,417975.8743852332,2022.702087656891,98.3817323904969,376.47,2257.6191041068773,0.01889455894338,Summary1.As1,ITALY,1991,Total,
Total national emissions and removals,420264.72304790776,2017.096600738108,97.31620969319307,426.4460337222222,1635.011953405495,0.01897510151841,Summary1.As1,ITALY,1992,Total,
Total national emissions and removals,424683.2366792492,2055.266026084664,99.5819138639812,479.0222826194444,1502.7546191222073,0.01948624437429,Summary1.As1,ITALY,1993,Total,
Total national emissions and removals,406524.9365320171,2049.576433275653,97.90809529231078,588.8981973069687,1278.2294380472542,0.0213824998957,Summary1.As1,ITALY,1994,Total,
Total national emissions and removals,424390.7442847005,2049.023186403748,101.72810614910864,860.8214976247934,1350.879998875973,0.02979282439782,Summary1.As1,ITALY,1995,Total,24.428296784
Total national emissions and removals,417235.8326011279,2072.5431667963944,101.69792521302476,743.8886730350335,1119.275149458539,0.03338338963778,Summary1.As1,ITALY,1996,Total,24.428296784
Total national emissions and removals,430901.1000355053,2108.8765174120977,105.09152638517158,1193.8658507361615,1163.2441936512903,0.03563947549985,Summary1.As1,ITALY,1997,Total,24.428296784
Total national emissions and removals,445294.02277295967,2100.6788011854333,106.19423777533544,1779.2740107747736,1209.1289835416003,0.0301043206111,Summary1.As1,ITALY,1998,Total,24.428296784
Total national emissions and removals,440993.50985399017,2081.914529558517,107.75085747052712,2272.202141959115,1210.1193211044238,0.02027180391719,Summary1.As1,ITALY,1999,Total,24.428296784
Total national emissions and removals,447552.33618015616,2089.509543138159,103.9279559128247,2802.5523068047105,1363.2840751426245,0.0264240961662,Summary1.As1,ITALY,2000,Total,24.428296784
Total national emissions and removals,437668.9048320868,2096.0676595362097,104.48835665606936,3706.216972594596,1370.9071889372494,0.0373352816721,Summary1.As1,ITALY,2001,Total,24.428296784
Total national emissions and removals,441060.0836005664,2020.2960609233216,102.16941250623256,4754.017281604864,1361.5038693804413,0.03241813750018,Summary1.As1,ITALY,2002,Total,24.428296784
Total national emissions and removals,466621.5567620889,2043.2177645148688,101.29026148607976,6106.396344859199,1712.925771168079,0.02403913269782,Summary1.As1,ITALY,2003,Total,24.428296784
Total national emissions and removals,466208.7197577857,1948.766505419285,104.4245561440704,7562.328759027369,1770.456345974643,0.02554666450821,Summary1.As1,ITALY,2004,Total,24.428296784
Total national emissions and removals,465893.3018717645,1965.6358933226195,100.40821407524224,8718.322843171522,1759.4409914343826,0.0240481165177,Summary1.As1,ITALY,2005,Total,24.428296784
Total national emissions and removals,459748.5204634256,1908.060328056983,83.62118476515155,9970.989851079708,1749.680737929618,0.02495632377235,Summary1.As1,ITALY,2006,Total,24.428296784
Total national emissions and removals,474905.9938055189,1981.5438732312975,82.71425540648872,10876.023823664924,1703.2088917335284,0.01980849543067,Summary1.As1,ITALY,2007,Total,24.428296784
Total national emissions and removals,445994.3905584286,1924.2292394986405,76.65238884967943,12040.539856594329,1547.3863661543835,0.02171185263591,Summary1.As1,ITALY,2008,Total,24.428296784
Total national emissions and removals,388364.8348016243,1923.3245595341848,73.03319018411425,13114.507485431455,1099.479271744554,0.02067602515718,Summary1.As1,ITALY,2009,Total,24.428296784
Total national emissions and removals,394075.3436548023,1895.8115832996996,69.70596077733875,14324.793284500474,1376.6356630605335,0.01723143478553,Summary1.As1,ITALY,2010,Total,24.428296784
Total national emissions and removals,389318.6152908486,1857.9258099164292,67.55907084827749,15223.140454534088,1503.7556127768405,0.01929196921294,Summary1.As1,ITALY,2011,Total,24.428296784
Total national emissions and removals,377520.9912194297,1905.0496634572733,69.38411874170923,15922.603303791588,1356.997696441696,0.01948370109245,Summary1.As1,ITALY,2012,Total,24.428296784
Total national emissions and removals,328547.463975663,1803.8306961384044,65.91757904144437,16692.345131464153,1543.5336666666667,0.01844663193129,Summary1.As1,ITALY,2013,Total,24.428296784
Total national emissions and removals,307584.39994348946,1770.5491606532505,65.02046142504344,17252.8500485942,1419.9443333333334,0.01570294304471,Summary1.As1,ITALY,2014,Total,24.428296784
Total national emissions and removals,317384.54682452435,1771.8387635410656,64.44921263714593,15629.738658776036,1528.7256666666667,0.02065069120228,Summary1.As1,ITALY,2015,Total,24.428296784
Total national emissions and removals,314926.3792234656,1755.6854728000772,66.2759049405422,16223.313968006183,1460.205,0.0174763563707,Summary1.As1,ITALY,2016,Total,24.428296784
Total national emissions and removals,327933.6813299885,1802.7278678899213,65.85825045418264,16513.647361543575,1191.0504633333337,0.01822496164659,Summary1.As1,ITALY,2017,Total,24.428296784
Total national emissions and removals,304086.0834122828,1719.4119267057515,65.25249537632705,16927.94851523843,1501.849,0.01974711553541,Summary1.As1,ITALY,2018,Total,22.73782
Total national emissions and removals,297929.32320381986,1677.3270940262107,64.62064905908531,17019.378514522123,915.4043333333334,0.01890762155364,Summary1.As1,ITALY,2019,Total,23.152635
Total national emissions and removals,269900.2142351753,1710.160776939934,67.21110023645554,16035.050426389906,498.66,0.01094395616596,Summary1.As1,ITALY,2020,Total,22.366025
Total national emissions and removals,308306.1332835485,1716.616570766165,66.66308848360114,15387.77477291772,395.3216666666667,0.01095748584059,Summary1.As1,ITALY,2021,Total,25.331
