GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),386883.1438594232,,,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
                                           Sectoral approach(2),394704.50763451826,104.90796160185084,16.27622838349185,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
1.  Energy industries,127171.53088831049,8.19498501454756,1.44775478768984,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,88604.85965422927,6.531943494344,3.90037831467911,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
3.  Transport,109131.67809036917,41.04809652310352,4.66990494677354,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
4.  Other sectors,68285.03746574126,48.92121751867929,6.00815279964348,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
5.  Other,1511.4015358680679,0.21171905117647,0.25003753470588,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,4070.157755510013,346.90606764920875,0.04013395088076,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
1.  Solid fuels,0.09999748715752,3.253088,,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,4070.0577580228555,343.65297964920876,0.04013395088076,,,,Summary1.As1,ITALY,1994,Subsector,1. Energy
