GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),433367.2815295119,,,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
                                           Sectoral approach(2),447951.7559231563,73.69403139321867,17.41350898227276,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
1.  Energy industries,153803.994705657,5.55513569601265,1.73999059175831,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,88118.52971497712,5.71831520561268,4.52137205652839,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
3.  Transport,125920.24269573773,27.50503575478894,5.36864515086446,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
4.  Other sectors,79781.12805372813,34.84316656915733,5.76104376253336,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
5.  Other,327.8607530563084,0.07237816764706,0.02245742058824,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,2842.9681799605423,300.9940843326676,0.04233814517677,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
1.  Solid fuels,0.46063082897277,4.271305,,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,2842.5075491315697,296.72277933266764,0.04233814517677,,,,,Summary1.As1,ITALY,2002,Subsector,1. Energy
