GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,1078855.618735282,258.2620598497131,22.08074354395956,,,,Summary1.As1,JAPAN,1990,Sector
2.  Industrial processes and product use,64586.4301957309,2.421347558312,33.2572436772309,15940.023373810553,6555.480337172234,0.56359955597035,Summary1.As1,JAPAN,1990,Sector
1. Energy,1089331.1626651746,244.26040098497813,22.95574983333371,,,,Summary1.As1,JAPAN,1991,Sector
2.  Industrial processes and product use,65879.14511326408,2.330294405472,31.65479718958286,17356.794476754167,7521.98713051031,0.62307203284988,Summary1.As1,JAPAN,1991,Sector
1. Energy,1098143.599740623,210.30016631494792,23.36263441032918,,,,Summary1.As1,JAPAN,1992,Sector
2.  Industrial processes and product use,65838.96413139241,2.195661793648,31.53977994041165,17773.13874590156,7629.700677812583,0.68578178404536,Summary1.As1,JAPAN,1992,Sector
1. Energy,1092617.383785984,188.33752220611703,23.7787964529274,,,,Summary1.As1,JAPAN,1993,Sector
2.  Industrial processes and product use,64559.325065492056,2.085998496896,30.64138211372251,18134.59447508907,10954.48901884397,0.68868291975713,Summary1.As1,JAPAN,1993,Sector
1. Energy,1143587.8248926944,178.52607027197917,24.62209091511887,,,,Summary1.As1,JAPAN,1994,Sector
2.  Industrial processes and product use,66238.62298595892,2.230499589464,34.25714908460511,21057.226749185706,13455.17634551448,0.65876999073535,Summary1.As1,JAPAN,1994,Sector
1. Energy,1155360.8679651883,166.14766801474582,26.60201525124981,,,,Summary1.As1,JAPAN,1995,Sector
2.  Industrial processes and product use,66536.48593414045,2.337289316288,33.93974608738354,25219.348804735037,17690.561913510763,0.72138266204169,Summary1.As1,JAPAN,1995,Sector
1. Energy,1166948.9976102177,153.12010920001254,27.23848159052951,,,,Summary1.As1,JAPAN,1996,Sector
2.  Industrial processes and product use,67098.56494959761,2.221324632512,37.30647350870143,24604.215826774303,18335.04118478027,0.74658718265234,Summary1.As1,JAPAN,1996,Sector
1. Energy,1161576.4076629828,143.92267049551216,27.93299308850199,,,,Summary1.As1,JAPAN,1997,Sector
2.  Industrial processes and product use,64534.25148468847,2.200690411944,39.33242206685487,24444.48966070209,20058.34234107929,0.63642721396298,Summary1.As1,JAPAN,1997,Sector
1. Energy,1127779.1452499055,135.35862933168573,27.42040224654797,,,,Summary1.As1,JAPAN,1998,Sector
2.  Industrial processes and product use,58508.90715078568,2.104543004992,34.99397390010204,23749.430269680608,16632.22980548331,0.58000444069298,Summary1.As1,JAPAN,1998,Sector
1. Energy,1164262.6755907098,132.89545428709954,27.85326387754408,,,,Summary1.As1,JAPAN,1999,Sector
2.  Industrial processes and product use,58901.657163758384,2.079221376304,14.15634061002262,24375.03579154199,13162.14405991428,0.40248318815796,Summary1.As1,JAPAN,1999,Sector
