GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),1070661.9546995156,,,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
                                           Sectoral approach(2),1078663.4709176407,53.96220997081305,22.07372114997556,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
1.  Energy industries,368529.7327460945,18.37398620809863,2.98481586229895,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,349815.6552570601,14.39052836367617,4.22755327983693,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
3.  Transport,202140.1153410307,11.6517878297081,12.54788784783671,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
4.  Other sectors,158177.96757345545,9.54590756933015,2.31346416000297,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,192.14781764136333,204.2998498789001,0.007022393984,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
1.  Solid fuels,5.89746389623658,195.78867524416785,0.006658,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,186.25035374512677,8.51117463473224,0.000364393984,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
A.  Mineral industry,48713.79995155714,,,,,,Summary1.As1,JAPAN,1990,Subsector,1. Energy
C.  Metal industry,7265.676441612892,0.92185293312,,,203.66146500777,0.00642731166541,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2039.820747421464,,,,,,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,0.73211221483305,1454.7808709911842,0.01836425157767,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1.34193513513514,4549.938520870882,,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.97603,7.71351280405065,16.18100411192078,0.38658072,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),64.61320700000003,,,,,,Summary1.As1,JAPAN,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1091160.641498949,,,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
                                           Sectoral approach(2),1089115.453023518,53.78208337348951,22.94869772404371,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
1.  Energy industries,369427.9211473417,17.82310863425604,3.04738294712332,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,346341.4768088483,14.2869163984121,4.4769912098745,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
3.  Transport,213934.08222977704,11.94210949646721,13.02397142345157,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
4.  Other sectors,159411.97283755074,9.72994884435416,2.40035214359432,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,215.70964165665185,190.47831761148865,0.00705210929,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
1.  Solid fuels,5.64196342559977,181.4223249722104,0.00652472,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,210.0676782310521,9.05599263927827,0.00052738929,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
A.  Mineral industry,50055.727509006254,,,,,,Summary1.As1,JAPAN,1991,Subsector,1. Energy
C.  Metal industry,7119.07059796129,0.87330553344,,,170.9203462050546,0.00554547745024,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2135.9254287863546,,,,,,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,1684.4831137792658,0.02052475176328,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,,5268.349866271547,,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.21112,7.18153189097908,15.06504234967998,0.42686544,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),66.80369900000002,,,,,,Summary1.As1,JAPAN,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1103077.8921606666,,,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
                                           Sectoral approach(2),1097934.7386957044,53.33635802718574,23.35525035301918,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
1.  Energy industries,374332.7284248577,16.55427133451854,3.02226830707536,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,341232.47345939744,14.1898341569975,4.62214769227494,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
3.  Transport,220526.06623127253,12.09094954592065,13.26774406971849,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
4.  Other sectors,161843.47058017668,10.50130298974905,2.44309028395039,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,208.861044918514,156.96380828776216,0.00738405731,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
1.  Solid fuels,4.83235277697378,147.8965529154492,0.0068256,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,204.02869214154023,9.06725537231297,0.00055845731,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
A.  Mineral industry,50515.74217705322,,,,,,Summary1.As1,JAPAN,1992,Subsector,1. Energy
C.  Metal industry,6828.885050682021,0.845891712,,,114.5640534246054,0.00469387755102,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2108.693688305545,,,,,,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,21.96336644499142,1722.7668209106128,0.02268525194889,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,119.83006571904932,5388.085090504992,,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.395295,5.91471025462974,12.40757011523001,0.4703572,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),65.36848000000003,,,,,,Summary1.As1,JAPAN,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1089295.749665892,,,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
                                           Sectoral approach(2),1092404.9861362714,54.06204861302813,23.7716860617974,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
1.  Energy industries,357045.6231541696,16.47767264888635,3.14212172939057,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,342142.5398346416,14.37466327162282,4.97500485703324,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
3.  Transport,224286.24647361104,11.9451012141088,13.16195592630244,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
4.  Other sectors,168930.57667384925,11.26461147841016,2.49260354907115,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,212.39764971252708,134.27547359308892,0.00711039113,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
1.  Solid fuels,4.33361704195011,124.9082713727203,0.00658688,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,208.06403267057695,9.36720222036862,0.00052351113,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
A.  Mineral industry,49824.5604880122,,,,,,Summary1.As1,JAPAN,1993,Subsector,1. Energy
C.  Metal industry,6692.837365385838,0.79529315328,,,105.5217232773396,0.00492945326279,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,2093.7183811230925,,,,,,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,142.76188189244417,2488.440963537552,0.02268525194889,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,898.9312900270054,7782.789575173877,,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.39995,5.57359432896154,11.69199495043888,0.47302276,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),59.67944300000001,,,,,,Summary1.As1,JAPAN,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1151167.674551451,,,,,,Summary1.As1,JAPAN,1994,Subsector,1. Energy
                                           Sectoral approach(2),1143355.715719667,53.86064205278227,24.61472746325887,,,,Summary1.As1,JAPAN,1994,Subsector,1. Energy
1.  Energy industries,391464.95035016,16.10431284076175,3.32203488021734,,,,Summary1.As1,JAPAN,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,350936.29236004665,14.75752245324744,5.41851819541631,,,,Summary1.As1,JAPAN,1994,Subsector,1. Energy
3.  Transport,233490.66505129784,12.08374548753918,13.39651969942332,,,,Summary1.As1,JAPAN,1994,Subsector,1. Energy
