GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,1092853.4927755697,1785.8574349355167,111.35481606087642,15940.023373810553,6555.480337172234,0.56359955597035,Summary1.As1,JAPAN,1990,Total
Total national emissions and removals,1095781.7374846516,1759.222159177497,110.19709501212,17356.794476754167,7521.98713051031,0.62307203284988,Summary1.As1,JAPAN,1991,Total
Total national emissions and removals,1101895.2085993942,1756.3141588866956,110.63461657335657,17773.13874590156,7629.700677812583,0.68578178404536,Summary1.As1,JAPAN,1992,Total
Total national emissions and removals,1091644.9861830515,1721.133786164029,110.22765322914653,18134.59447508907,10954.48901884397,0.68868291975713,Summary1.As1,JAPAN,1993,Total
Total national emissions and removals,1146884.2930955263,1722.0725355146017,114.21432028759035,21057.226749185706,13455.17634551448,0.65876999073535,Summary1.As1,JAPAN,1994,Total
Total national emissions and removals,1159554.437127726,1674.0349392293786,115.08029875698824,25219.348804735037,17690.561913510763,0.72138266204169,Summary1.As1,JAPAN,1995,Total
Total national emissions and removals,1168341.5992498607,1624.2951877685778,118.73156305422133,24604.215826774303,18335.04118478027,0.74658718265234,Summary1.As1,JAPAN,1996,Total
Total national emissions and removals,1160034.7548035928,1605.4982068726415,121.3896273939326,24444.48966070209,20058.34234107929,0.63642721396298,Summary1.As1,JAPAN,1997,Total
Total national emissions and removals,1119758.434683322,1536.611233279133,116.06315291508268,23749.430269680608,16632.22980548331,0.58000444069298,Summary1.As1,JAPAN,1998,Total
Total national emissions and removals,1157184.0318343234,1520.9320056411475,95.46461678368836,24375.03579154199,13162.14405991428,0.40248318815796,Summary1.As1,JAPAN,1999,Total
Total national emissions and removals,1178807.9715212004,1494.9574799587465,103.8726939738015,22858.35689957306,11906.43517158199,0.30839293555943,Summary1.As1,JAPAN,2000,Total
Total national emissions and removals,1163578.0657667636,1448.3160544768716,91.64161101529903,19465.97160567428,9905.395432059,0.26605336754394,Summary1.As1,JAPAN,2001,Total
Total national emissions and removals,1191437.979987455,1415.5876646485326,89.63653216863986,16236.404782603391,9225.12062296604,0.25155617539941,Summary1.As1,JAPAN,2002,Total
Total national emissions and removals,1188448.8382094826,1378.5057839667763,89.16689876737583,16228.080733517449,8879.613124972584,0.23711889568827,Summary1.As1,JAPAN,2003,Total
Total national emissions and removals,1187269.212627201,1366.3459068539908,88.50725688118341,12418.368101688444,9242.08598290166,0.23064483898788,Summary1.As1,JAPAN,2004,Total
Total national emissions and removals,1200536.2445548077,1365.6023276219314,87.31534308536997,12778.809711884283,8648.444248813395,0.22049786996805,Summary1.As1,JAPAN,2005,Total
Total national emissions and removals,1182418.0532046538,1342.3780942997416,86.8512153977069,14626.241737249622,9023.904078406533,0.22817491578216,Summary1.As1,JAPAN,2006,Total
Total national emissions and removals,1222224.422272285,1317.2532296371414,84.88859329421821,16709.812962491073,7942.035263427801,0.2064930759603,Summary1.As1,JAPAN,2007,Total
Total national emissions and removals,1161190.0300678615,1286.243485504653,81.8272586723681,19265.318500624053,5767.691255821051,0.18205701696626,Summary1.As1,JAPAN,2008,Total
Total national emissions and removals,1095378.544077715,1264.150632593541,79.82626311030701,20927.106001019867,4064.625805586853,0.1061294269743,Summary1.As1,JAPAN,2009,Total
Total national emissions and removals,1143221.4967614673,1246.025363770511,78.13188603154734,23331.8155395902,4267.6756250679455,0.10518139352137,Summary1.As1,JAPAN,2010,Total
Total national emissions and removals,1194907.0679083855,1197.4166470049631,76.7073258444002,26124.54040982982,3772.7556571422815,0.09746241049919,Summary1.As1,JAPAN,2011,Total
Total national emissions and removals,1233418.5224475453,1170.9819826669668,75.34256507312818,29381.77241768102,3452.332249838658,0.09681020610887,Summary1.As1,JAPAN,2012,Total
Total national emissions and removals,1249990.2603791708,1168.6825886759725,75.085802913179,32129.23656459397,3292.049209595889,0.09101977169493,Summary1.As1,JAPAN,2013,Total
Total national emissions and removals,1201787.143374204,1149.4796742714796,73.54579777321364,35805.2600872984,3368.7845883193186,0.08942364280131,Summary1.As1,JAPAN,2014,Total
Total national emissions and removals,1166520.479419623,1133.9255227992137,72.45508572515946,39283.25034009043,3314.1325228122896,0.09101339122045,Summary1.As1,JAPAN,2015,Total
Total national emissions and removals,1149673.6305341905,1132.1164111054547,70.68699384455485,42645.36109403088,3381.608191878453,0.09466075609854,Summary1.As1,JAPAN,2016,Total
Total national emissions and removals,1130047.293120026,1125.3788974653503,71.5040757596906,44956.35273843564,3521.3092456541726,0.09082253811536,Summary1.As1,JAPAN,2017,Total
Total national emissions and removals,1085378.313549741,1109.2011705374132,69.94078442553636,47087.14218441784,3500.969478091288,0.09012916075661,Summary1.As1,JAPAN,2018,Total
Total national emissions and removals,1053358.9193113896,1102.2459095320369,68.52274785357216,49968.00752387335,3443.9857021783514,0.08776442083946,Summary1.As1,JAPAN,2019,Total
Total national emissions and removals,987725.1388247964,1097.9821897635409,67.40762206104003,52210.28053694702,3500.842505880948,0.08896116911675,Summary1.As1,JAPAN,2020,Total
Total national emissions and removals,1009951.4016032774,1097.512936985941,66.66613721613552,53561.03804528498,3155.5413451373797,0.08980046007146,Summary1.As1,JAPAN,2021,Total
