GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),1257825.677158893,,,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
                                           Sectoral approach(2),1211471.5868126478,54.14500172914116,25.3570950316466,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
1.  Energy industries,430228.40156764525,9.27443423204559,6.34033032619922,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,344067.08216866705,17.41879030810032,6.31873340636748,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
3.  Transport,243582.04554075835,10.54446568013664,10.22803718700975,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
4.  Other sectors,193594.05753557716,16.90731150885861,2.46999411207015,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,478.7448831439945,41.17975262506371,0.004140366786,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
1.  Solid fuels,2.2917684108102,28.98402924897163,0.00378456,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,476.4531147331843,12.19572337609208,0.000355806786,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
A.  Mineral industry,39745.12483284246,,,,,,Summary1.As1,JAPAN,2004,Subsector,1. Energy
