GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
1. Energy,245363.6474591145,2768.0973322653685,5.63217498784359,Summary1.As1,KAZAKHSTAN,1990,Sector,,,
2.  Industrial processes and product use,22705.0464337376,1.29412,,Summary1.As1,KAZAKHSTAN,1990,Sector,,,
1. Energy,239289.55148050791,2457.0704329414457,5.28545562785573,Summary1.As1,KAZAKHSTAN,1991,Sector,,,
2.  Industrial processes and product use,21685.02141542616,1.15096,,Summary1.As1,KAZAKHSTAN,1991,Sector,,,
1. Energy,216281.3825702059,2363.4731532734354,3.8222611578754,Summary1.As1,KAZAKHSTAN,1992,Sector,,,
2.  Industrial processes and product use,19771.3828310336,0.9788,,Summary1.As1,KAZAKHSTAN,1992,Sector,,,
1. Energy,191350.11190184465,2081.1384211034806,3.26998362160183,Summary1.As1,KAZAKHSTAN,1993,Sector,,,
2.  Industrial processes and product use,16801.40567891176,0.75482,,Summary1.As1,KAZAKHSTAN,1993,Sector,0.37351553525,,
1. Energy,162209.17003109504,1773.372479658098,2.73411133885813,Summary1.As1,KAZAKHSTAN,1994,Sector,,,
2.  Industrial processes and product use,12672.0352931904,0.47538,,Summary1.As1,KAZAKHSTAN,1994,Sector,1.2485225324,,
1. Energy,154273.25780796976,1518.2856455141855,2.55313544058588,Summary1.As1,KAZAKHSTAN,1995,Sector,,,
2.  Industrial processes and product use,13973.4778316224,0.4863,,Summary1.As1,KAZAKHSTAN,1995,Sector,4.4521980673,,
1. Energy,142235.74981441745,1601.676586802919,2.29812971701341,Summary1.As1,KAZAKHSTAN,1996,Sector,,,
2.  Industrial processes and product use,12243.128616,0.3348,,Summary1.As1,KAZAKHSTAN,1996,Sector,5.6889962332,,
1. Energy,130660.45924469388,1724.918573135706,2.15292253620788,Summary1.As1,KAZAKHSTAN,1997,Sector,,,
2.  Industrial processes and product use,15751.8148485184,0.4061,,Summary1.As1,KAZAKHSTAN,1997,Sector,9.31180170640001,,
1. Energy,128053.01565742826,1999.866501989697,2.10588153811708,Summary1.As1,KAZAKHSTAN,1998,Sector,,,
2.  Industrial processes and product use,16229.595,0.3882,,Summary1.As1,KAZAKHSTAN,1998,Sector,99.4711814811823,,
1. Energy,102610.54102794924,1626.8285298750327,1.75299522103297,Summary1.As1,KAZAKHSTAN,1999,Sector,,,
2.  Industrial processes and product use,16654.57631,0.4753,,Summary1.As1,KAZAKHSTAN,1999,Sector,130.63619178326505,,
1. Energy,126324.10413786463,1680.120584746317,2.12363339428831,Summary1.As1,KAZAKHSTAN,2000,Sector,,,
2.  Industrial processes and product use,17056.0138,0.4919,,Summary1.As1,KAZAKHSTAN,2000,Sector,273.007918634398,,
1. Energy,120917.15435887412,1597.3851325769415,2.25771018023157,Summary1.As1,KAZAKHSTAN,2001,Sector,,,
2.  Industrial processes and product use,17851.311617,0.5104,,Summary1.As1,KAZAKHSTAN,2001,Sector,295.7065195159079,,
1. Energy,139461.52755580173,1745.98128460973,2.54657938998756,Summary1.As1,KAZAKHSTAN,2002,Sector,,,
2.  Industrial processes and product use,18063.260832,0.49555,,Summary1.As1,KAZAKHSTAN,2002,Sector,337.73537295422454,,
1. Energy,156135.75026523307,1797.4361325396455,2.79258257992643,Summary1.As1,KAZAKHSTAN,2003,Sector,,,
2.  Industrial processes and product use,19718.909021,0.5217,,Summary1.As1,KAZAKHSTAN,2003,Sector,462.58838286039503,,
1. Energy,166630.11369371775,1802.3699880374056,2.88689212216051,Summary1.As1,KAZAKHSTAN,2004,Sector,,,
2.  Industrial processes and product use,19725.332123,0.5153,,Summary1.As1,KAZAKHSTAN,2004,Sector,587.9990230154365,3.192e-07,
1. Energy,179845.49075616678,1673.227142288701,3.00246752085337,Summary1.As1,KAZAKHSTAN,2005,Sector,,,
2.  Industrial processes and product use,20196.228939,0.4858,,Summary1.As1,KAZAKHSTAN,2005,Sector,643.6403828884838,7.2524e-05,
1. Energy,199054.36246013988,1636.9384047536269,3.42686164109328,Summary1.As1,KAZAKHSTAN,2006,Sector,,,
2.  Industrial processes and product use,21520.208652,0.4681,0.0724,Summary1.As1,KAZAKHSTAN,2006,Sector,889.5305189840897,7.4011e-05,
1. Energy,204467.68413158093,1457.4927204948524,3.77471577559147,Summary1.As1,KAZAKHSTAN,2007,Sector,,,
2.  Industrial processes and product use,22276.254011,0.4959,0.4038,Summary1.As1,KAZAKHSTAN,2007,Sector,946.838495246044,7.4347e-05,29.7897
1. Energy,206613.03847265636,1320.1872644795417,3.69745484324266,Summary1.As1,KAZAKHSTAN,2008,Sector,,,
2.  Industrial processes and product use,20216.49436,0.3917,0.39497,Summary1.As1,KAZAKHSTAN,2008,Sector,1019.573977135523,7.5234e-05,448.50552
1. Energy,204757.89270558968,1177.5403151991536,3.77791773279427,Summary1.As1,KAZAKHSTAN,2009,Sector,,,
