GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
A. Fuel combustion     Reference approach(2),267276.5212516669,,,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
                                           Sectoral approach(2),238899.4625575228,61.49450012674745,5.57350008077565,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
1.  Energy industries,141770.89,2.277093,1.814764,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,18763.847,1.38552,0.21624,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
3.  Transport,21580.903497002808,6.75990089442145,2.67153428941665,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
4.  Other sectors,47904.69006052,50.047786232326,0.773861791359,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
5.  Other,8879.132,1.0242,0.0971,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6464.184901591671,2706.602832138621,0.05867490706794,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
1.  Solid fuels,2156.1440220245795,1255.868750039755,0.0295238096325,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,4308.040879567092,1450.734082098866,0.02915109743544,Summary1.As1,KAZAKHSTAN,1990,Subsector,1. Energy,,,
B.  Chemical industry,1270.4177,,,Summary1.As1,KAZAKHSTAN,1990,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,18530.5125,1.29412,,Summary1.As1,KAZAKHSTAN,1990,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,2.358,,,Summary1.As1,KAZAKHSTAN,1990,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),266024.85482144024,,,Summary1.As1,KAZAKHSTAN,1991,Subsector,1. Energy,,,
                                           Sectoral approach(2),232612.67173163453,64.3120703868643,5.22443986580167,Summary1.As1,KAZAKHSTAN,1991,Subsector,1. Energy,,,
1.  Energy industries,139498.61,2.228594,1.782268,Summary1.As1,KAZAKHSTAN,1991,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,18380.2,1.37363,0.21166,Summary1.As1,KAZAKHSTAN,1991,Subsector,1. Energy,,,
3.  Transport,18683.168903974543,5.5878553590693,2.37451516973467,Summary1.As1,KAZAKHSTAN,1991,Subsector,1. Energy,,,
