GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
Total national emissions and removals,261307.75389285208,4034.577912265369,60.45094498784359,Summary1.As1,KAZAKHSTAN,1990,Total,,,
Total national emissions and removals,254451.81956260072,3694.232722941445,72.12286562785573,Summary1.As1,KAZAKHSTAN,1991,Total,,,
Total national emissions and removals,229622.54206790612,3575.539893273436,88.9720611578754,Summary1.As1,KAZAKHSTAN,1992,Total,,,
Total national emissions and removals,201875.93424742308,3264.2717111034804,97.83030362160184,Summary1.As1,KAZAKHSTAN,1993,Total,0.37351553525,,
Total national emissions and removals,178274.0286576188,2731.103839658098,104.72049133885812,Summary1.As1,KAZAKHSTAN,1994,Total,1.2485225324,,
Total national emissions and removals,184710.8589729255,2365.8680755141854,115.87863544058588,Summary1.As1,KAZAKHSTAN,1995,Total,4.4521980673,,
Total national emissions and removals,176798.53843041748,2282.837376802919,125.6830197170134,Summary1.As1,KAZAKHSTAN,1996,Total,5.6889962332,,
Total national emissions and removals,187262.6640932123,2328.336613135706,140.21144253620787,Summary1.As1,KAZAKHSTAN,1997,Total,9.31180170640001,,
Total national emissions and removals,185334.50399076164,2559.5262019896973,153.8152015381171,Summary1.As1,KAZAKHSTAN,1998,Total,99.4711814811823,,
Total national emissions and removals,159110.4373379493,2214.1268898750327,170.05510522103296,Summary1.As1,KAZAKHSTAN,1999,Total,130.63619178326505,,
Total national emissions and removals,185480.2279378647,2274.838754746317,203.0895933942883,Summary1.As1,KAZAKHSTAN,2000,Total,273.007918634398,,
Total national emissions and removals,195051.3593092075,2207.7279225769416,180.7182301802316,Summary1.As1,KAZAKHSTAN,2001,Total,295.7065195159079,,
Total national emissions and removals,216502.32505446847,2382.81305460973,158.41792938998756,Summary1.As1,KAZAKHSTAN,2002,Total,337.73537295422454,,
Total national emissions and removals,243524.87928623316,2478.1882525396454,136.89336257992642,Summary1.As1,KAZAKHSTAN,2003,Total,462.58838286039503,,
Total national emissions and removals,259127.8458167178,2512.907708037405,112.47051212216051,Summary1.As1,KAZAKHSTAN,2004,Total,587.9990230154365,3.192e-07,
Total national emissions and removals,282893.4463618335,2412.104352288701,89.87803752085337,Summary1.As1,KAZAKHSTAN,2005,Total,643.6403828884838,7.2524e-05,
Total national emissions and removals,316377.0017788066,2414.3820775736267,68.40316446109328,Summary1.As1,KAZAKHSTAN,2006,Total,889.5305189840897,7.4011e-05,
Total national emissions and removals,311143.773142581,2255.8524064948524,67.53321177559147,Summary1.As1,KAZAKHSTAN,2007,Total,946.838495246044,7.4347e-05,29.7897
Total national emissions and removals,304433.04949932307,2136.688044479541,64.14646484324265,Summary1.As1,KAZAKHSTAN,2008,Total,1019.573977135523,7.5234e-05,448.50552
Total national emissions and removals,295007.2201602564,2013.7612331991536,62.49225573279427,Summary1.As1,KAZAKHSTAN,2009,Total,1068.8977082153804,7.6089e-05,348.18343
Total national emissions and removals,314270.1544539857,1906.055614180328,59.71841706524587,Summary1.As1,KAZAKHSTAN,2010,Total,1072.9936927894878,7.6089e-05,622.50439
Total national emissions and removals,288068.69669954054,1928.032554810367,58.03799333761108,Summary1.As1,KAZAKHSTAN,2011,Total,1144.648974385153,7.6728e-05,529.87043
Total national emissions and removals,280818.98418102966,1892.0649050162692,54.6213444002405,Summary1.As1,KAZAKHSTAN,2012,Total,1259.5725250986548,8.0115e-05,530.26025
Total national emissions and removals,274291.7946765668,1942.5601800509248,52.27985289923831,Summary1.As1,KAZAKHSTAN,2013,Total,1328.2196652793807,8.4442e-05,236.45209
Total national emissions and removals,293547.3697237008,1995.8890019264877,54.98347557742557,Summary1.As1,KAZAKHSTAN,2014,Total,1619.8685950891506,8.8108e-05,199.76373
Total national emissions and removals,299371.4415429486,1980.9737223565912,56.72595053379255,Summary1.As1,KAZAKHSTAN,2015,Total,1698.5359490201456,8.8284e-05,196.66117
Total national emissions and removals,296722.7673514316,1990.02630414058,58.41693156660096,Summary1.As1,KAZAKHSTAN,2016,Total,1740.314641299654,9.0424e-05,209.06524
Total national emissions and removals,318247.5627041024,2124.767282021296,61.88687421902691,Summary1.As1,KAZAKHSTAN,2017,Total,1968.387042175841,9.196926e-05,84.05921
Total national emissions and removals,327738.04442266613,2224.394442691944,63.44776034455074,Summary1.As1,KAZAKHSTAN,2018,Total,2119.4987393635147,9.439933e-05,127.77904
Total national emissions and removals,289542.06825293065,2243.0791259067378,64.31241641425973,Summary1.As1,KAZAKHSTAN,2019,Total,2258.3613396222704,0.0001017,12.66969
Total national emissions and removals,263474.2598420218,2240.7831639721094,67.32037261665086,Summary1.As1,KAZAKHSTAN,2020,Total,2529.750826065392,0.0001011,10.75381
Total national emissions and removals,257747.30418851503,2399.108112414789,68.43692287837764,Summary1.As1,KAZAKHSTAN,2021,Total,2706.490723278512,0.000104,9.64584
