GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),147363.57916199346,,,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
                                           Sectoral approach(2),125090.08635150621,34.70393962806081,2.10735898001487,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
1.  Energy industries,81746.28,1.405047,1.025281,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,13757.25,0.94981,0.148561,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
3.  Transport,7145.031396136206,2.17306082015461,0.61085938201187,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
4.  Other sectors,20973.24795537,30.0246218079062,0.310637598003,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
5.  Other,1468.277,0.1514,0.01202,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,5570.372893187678,1690.2146335076452,0.04556355619301,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
1.  Solid fuels,1219.2431115908576,461.23363857262,0.01660600893,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,4351.12978159682,1228.9809949350251,0.02895754726301,,Summary1.As1,KAZAKHSTAN,1997,Subsector,1. Energy
