GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),215263.77767666953,,,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
                                           Sectoral approach(2),193456.3705868098,32.94495424115422,3.59268136278098,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
1.  Energy industries,89336.288,1.376571,1.14923256,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,28713.484,2.4469249,0.41940578,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
3.  Transport,22170.558575209794,6.25627419960322,1.36328831512198,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
4.  Other sectors,14789.3520116,18.460884141551,0.271654707659,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
5.  Other,38446.688,4.4043,0.3891,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
B. Fugitive emissions from fuels,13156.667885846546,1287.2423102383873,0.10477348046168,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
1.  Solid fuels,1952.0933507818063,360.11874512273005,0.026695684095,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,11204.57453506474,927.1235651156574,0.07807779636668,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy
