GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
1. Energy,18645.269462139568,21.91332780489477,1.02618016611897,Summary1.As1,LATVIA,1990,Sector,,
2.  Industrial processes and product use,652.0351475319565,0.00275,0.01623528309605,Summary1.As1,LATVIA,1990,Sector,,
1. Energy,17105.982239736608,22.78386709324394,1.19150694688192,Summary1.As1,LATVIA,1991,Sector,,
2.  Industrial processes and product use,584.4555860504581,0.00186746,0.0161745621856,Summary1.As1,LATVIA,1991,Sector,,
1. Energy,13853.596767568692,20.6585675873457,0.90190889178186,Summary1.As1,LATVIA,1992,Sector,,
2.  Industrial processes and product use,304.2063943094091,0.001229175,0.01608230948259,Summary1.As1,LATVIA,1992,Sector,,
1. Energy,11772.360221052388,20.99059864531376,0.79035215925934,Summary1.As1,LATVIA,1993,Sector,,
2.  Industrial processes and product use,145.83131766628978,0.00150197,0.01573349435164,Summary1.As1,LATVIA,1993,Sector,,
1. Energy,10174.937038606213,20.70906972625861,0.4907202653215,Summary1.As1,LATVIA,1994,Sector,,
2.  Industrial processes and product use,193.2166094717625,0.001659775,0.01546106866952,Summary1.As1,LATVIA,1994,Sector,,
1. Energy,8926.235552608729,20.96113535108675,0.44139627751403,Summary1.As1,LATVIA,1995,Sector,,
2.  Industrial processes and product use,206.15846063903177,0.00139663,0.01521570240105,Summary1.As1,LATVIA,1995,Sector,16.35314669980441,7.60296e-06
1. Energy,8993.541730860525,20.99480481289926,0.44508348813933,Summary1.As1,LATVIA,1996,Sector,,
2.  Industrial processes and product use,216.95251187260692,0.001465835,0.01502677329506,Summary1.As1,LATVIA,1996,Sector,28.18195707097739,7.75424e-06
1. Energy,8446.660057631174,19.82437608620393,0.44457458242718,Summary1.As1,LATVIA,1997,Sector,,
2.  Industrial processes and product use,232.21679440658693,0.00232265,0.01487696989848,Summary1.As1,LATVIA,1997,Sector,37.42437048075134,1.62092e-05
1. Energy,8066.418596865803,18.69583484265128,0.41536444068379,Summary1.As1,LATVIA,1998,Sector,,
2.  Industrial processes and product use,236.5467169248901,0.002354175,0.01473018459707,Summary1.As1,LATVIA,1998,Sector,45.79555792305244,2.261104e-05
1. Energy,7445.651445046762,18.14624837450334,0.40646315219268,Summary1.As1,LATVIA,1999,Sector,,
2.  Industrial processes and product use,269.05388888764946,0.00241872,0.0145991104281,Summary1.As1,LATVIA,1999,Sector,53.81920568044546,3.104088e-05
1. Energy,6857.808052749479,16.94857802387255,0.39922068410598,Summary1.As1,LATVIA,2000,Sector,,
2.  Industrial processes and product use,217.55412735291705,0.00250146,0.0144660647615,Summary1.As1,LATVIA,2000,Sector,62.10987004016148,3.87358e-05
1. Energy,7254.001403999332,17.92516484348854,0.42991144154246,Summary1.As1,LATVIA,2001,Sector,,
2.  Industrial processes and product use,238.89614113343032,0.002511385,0.01432003398387,Summary1.As1,LATVIA,2001,Sector,69.99325825119932,6.081916e-05
1. Energy,7253.0844657558355,17.89522982768895,0.43238603119907,Summary1.As1,LATVIA,2002,Sector,,
