GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
A. Fuel combustion     Reference approach(2),18852.51671971251,,,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),18645.25797013957,12.01003480489477,1.02618016611897,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
1.  Energy industries,6301.716638646669,0.1899765,0.03773067,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3909.778461965217,0.2394351675,0.18430881,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
3.  Transport,2940.3148614208303,0.87671630767841,0.27748614611897,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
4.  Other sectors,5493.44800810685,10.70390682971636,0.52665454,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.011492,9.903293,,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.011492,9.903293,,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
A.  Mineral industry,537.2381589579945,,,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
C.  Metal industry,69.55524295638027,0.00275,,Summary1.As1,LATVIA,1990,Subsector,1. Energy,,
G.  Other product manufacture and use ,,,0.01623528309605,Summary1.As1,LATVIA,1990,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,Summary1.As1,LATVIA,1990,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),17201.635828374277,,,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),17105.971170736608,13.24483209324394,1.19150694688192,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
1.  Energy industries,5790.013469092,0.1728147,0.03354437,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,2944.0888622139323,0.1326947225,0.17462804,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
3.  Transport,2754.478070303605,0.79897795475407,0.26746284688192,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
4.  Other sectors,5617.390769127071,12.14034471598987,0.71587169,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.011069,9.539035,,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.011069,9.539035,,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
A.  Mineral industry,493.5424601068532,,,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
C.  Metal industry,54.29576345850468,0.00186746,,Summary1.As1,LATVIA,1991,Subsector,1. Energy,,
G.  Other product manufacture and use ,,,0.0161745621856,Summary1.As1,LATVIA,1991,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,Summary1.As1,LATVIA,1991,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),14035.931420041268,,,Summary1.As1,LATVIA,1992,Subsector,1. Energy,,
                                           Sectoral approach(2),13853.586675568691,11.9618825873457,0.90190889178186,Summary1.As1,LATVIA,1992,Subsector,1. Energy,,
1.  Energy industries,4924.6352475715,0.15050855,0.030890945,Summary1.As1,LATVIA,1992,Subsector,1. Energy,,
