GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
Total national emissions and removals,6263.774251632,163.73219435584917,10.50695759887044,Summary1.As1,LATVIA,1990,Total,,
Total national emissions and removals,4088.2179310126257,161.5929294466671,10.22359977245172,Summary1.As1,LATVIA,1991,Total,,
Total national emissions and removals,-117.58165534252092,144.85949468355506,8.3951001985554,Summary1.As1,LATVIA,1992,Total,,
Total national emissions and removals,-2179.000893912725,113.12092120311452,6.94744659250995,Summary1.As1,LATVIA,1993,Total,,
Total national emissions and removals,-6627.270560616957,106.1267050979236,6.18191845372362,Summary1.As1,LATVIA,1994,Total,,
Total national emissions and removals,-6736.54076304314,106.00647128093448,5.67320001009034,Summary1.As1,LATVIA,1995,Total,16.35314669980441,7.60296e-06
Total national emissions and removals,-6826.708557427557,104.53531304272074,5.68365760591965,Summary1.As1,LATVIA,1996,Total,28.18195707097739,7.75424e-06
Total national emissions and removals,-5592.150962740884,103.18865684293137,5.69716584138929,Summary1.As1,LATVIA,1997,Total,37.42437048075134,1.62092e-05
Total national emissions and removals,-5017.097333730184,99.67679284861762,5.54745147526938,Summary1.As1,LATVIA,1998,Total,45.79555792305244,2.261104e-05
Total national emissions and removals,-1961.310398278967,95.3796093705668,5.34990132313715,Summary1.As1,LATVIA,1999,Total,53.81920568044546,3.104088e-05
Total national emissions and removals,-5818.785529989241,94.38326580752224,5.39505635026163,Summary1.As1,LATVIA,2000,Total,62.10987004016148,3.87358e-05
Total national emissions and removals,-5879.174028500227,96.75116060788926,5.64719950174766,Summary1.As1,LATVIA,2001,Total,69.99325825119932,6.081916e-05
Total national emissions and removals,-4176.358251000037,96.7496535197812,5.54200894917976,Summary1.As1,LATVIA,2002,Total,77.43568845805923,0.00011485908
Total national emissions and removals,-3538.363215151443,93.94064225275908,5.69482646252969,Summary1.As1,LATVIA,2003,Total,84.82827312181908,0.00012086312
Total national emissions and removals,180.58304442206227,91.82818437191068,5.64453634253115,Summary1.As1,LATVIA,2004,Total,92.5963080011024,0.0001426306
Total national emissions and removals,839.3840415884094,92.31181485914884,5.76322992135832,Summary1.As1,LATVIA,2005,Total,100.5914154696608,0.00016569784
Total national emissions and removals,502.7891082763929,91.9467003675388,5.79349039777829,Summary1.As1,LATVIA,2006,Total,127.17728290749086,0.00017853372
Total national emissions and removals,1301.0072233685116,92.40927628617683,5.94451260419865,Summary1.As1,LATVIA,2007,Total,147.58006726164763,0.00019957124
Total national emissions and removals,471.2453396447712,91.67713649191224,5.86791763347271,Summary1.As1,LATVIA,2008,Total,170.7628389582385,0.00022952588
Total national emissions and removals,2601.8372441456645,93.23253074499566,5.95742326708133,Summary1.As1,LATVIA,2009,Total,181.29537529607404,0.00032141068
Total national emissions and removals,5468.014970491568,90.6686035932316,6.07048810333328,Summary1.As1,LATVIA,2010,Total,205.96120038326688,0.00032241974
Total national emissions and removals,4311.153189252698,89.35106563353227,6.07133149232979,Summary1.As1,LATVIA,2011,Total,207.6518692100839,0.00032760858
Total national emissions and removals,2638.6033574479807,91.722293379268,6.31274118309356,Summary1.As1,LATVIA,2012,Total,207.83569276895687,0.00034109092
Total national emissions and removals,3749.512388250824,93.49501847502128,6.42631786404858,Summary1.As1,LATVIA,2013,Total,220.32153007705685,0.000372945532
Total national emissions and removals,7415.639033674832,97.17775698004344,6.5575803319624,Summary1.As1,LATVIA,2014,Total,233.52308189242083,0.000376223844
Total national emissions and removals,6211.814944779367,94.59788400399178,6.75291742762961,Summary1.As1,LATVIA,2015,Total,243.1638057524871,0.00044377500208
Total national emissions and removals,4289.052898934005,97.0740850053026,6.79667889973992,Summary1.As1,LATVIA,2016,Total,263.49534593423243,0.000433819764
Total national emissions and removals,2792.2423032371094,99.5863308325725,6.861690817254,Summary1.As1,LATVIA,2017,Total,256.7997723456961,0.000452695904
Total national emissions and removals,5839.774536949666,99.12195490209103,6.71838594936216,Summary1.As1,LATVIA,2018,Total,251.5943777826354,0.000462428884
Total national emissions and removals,3962.752332340921,98.51054082326073,7.02009287783595,Summary1.As1,LATVIA,2019,Total,243.3504905558012,0.000606205564
Total national emissions and removals,6393.766335391377,97.96657747385024,7.16452237221826,Summary1.As1,LATVIA,2020,Total,236.9032146764107,0.000523542384
Total national emissions and removals,8196.790956113678,98.495498263987,7.17975770138363,Summary1.As1,LATVIA,2021,Total,250.3414404580486,0.000514995504
