GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),11871.582961872353,,,Summary1.As1,LATVIA,1993,Subsector,1. Energy
                                           Sectoral approach(2),11772.350569052387,12.67334964531376,0.79035215925934,Summary1.As1,LATVIA,1993,Subsector,1. Energy
1.  Energy industries,4019.9497171792923,0.13678462410708,0.02981823241071,Summary1.As1,LATVIA,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2159.657031133135,0.15248058196007,0.12699814474601,Summary1.As1,LATVIA,1993,Subsector,1. Energy
3.  Transport,2265.9726426488164,0.70397408922959,0.16152243647258,Summary1.As1,LATVIA,1993,Subsector,1. Energy
4.  Other sectors,3326.7711780911436,11.68011035001702,0.47201334563004,Summary1.As1,LATVIA,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,0.009652,8.317249,,Summary1.As1,LATVIA,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.009652,8.317249,,Summary1.As1,LATVIA,1993,Subsector,1. Energy
A.  Mineral industry,61.17473047493878,,,Summary1.As1,LATVIA,1993,Subsector,1. Energy
C.  Metal industry,47.9763400501027,0.00150197,,Summary1.As1,LATVIA,1993,Subsector,1. Energy
