GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),7254.071466755271,,,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
                                           Sectoral approach(2),8024.510948774624,9.52657653433023,0.52275718303378,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
1.  Energy industries,2260.900938446921,0.203582,0.026621,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1073.7096626120904,0.367245810846,0.0869494879128,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
3.  Transport,3224.0155599604727,0.32112295797069,0.16198851345358,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
4.  Other sectors,1458.0172255182395,8.63400887629504,0.2469844048674,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
5.  Other,7.8675622369,0.0006168892185,0.0002137768,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
B. Fugitive emissions from fuels,0.004252,3.664205,,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.004252,3.664205,,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
A.  Mineral industry,452.959270715811,,,,,Summary1.As1,LATVIA,2010,Subsector,1. Energy
