GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,PFCs(1),SF6 (kt)
1. Energy,198.69536400712275,0.0511416878851,0.004329208111,,Summary1.As1,LIECHTENSTEIN,1990,Sector,,
2.  Industrial processes and product use,0.20327774899356,,0.001509664,9.605405272e-05,Summary1.As1,LIECHTENSTEIN,1990,Sector,,
1. Energy,206.06988058642935,0.0531193589537,0.00498621246911,,Summary1.As1,LIECHTENSTEIN,1991,Sector,,
2.  Industrial processes and product use,0.19037181471906,,0.00145458645035,0.00588221700509,Summary1.As1,LIECHTENSTEIN,1991,Sector,7.398669288e-05,
1. Energy,206.6984987518104,0.05393437969744,0.00554281645239,,Summary1.As1,LIECHTENSTEIN,1992,Sector,,
2.  Industrial processes and product use,0.18179077436928,,0.00140375422658,0.06572200758347,Summary1.As1,LIECHTENSTEIN,1992,Sector,0.00023316690472,
1. Energy,214.79016440492535,0.0539311294537,0.00582364586836,,Summary1.As1,LIECHTENSTEIN,1993,Sector,,
2.  Industrial processes and product use,0.1746869641891,,0.00134873141259,0.1465914427783,Summary1.As1,LIECHTENSTEIN,1993,Sector,0.00052171736205,
1. Energy,200.8876036248097,0.05150756905499,0.00572618528087,,Summary1.As1,LIECHTENSTEIN,1994,Sector,,
2.  Industrial processes and product use,0.1626510819547,,0.00128633232447,0.35904257438202,Summary1.As1,LIECHTENSTEIN,1994,Sector,0.00100503865417,
1. Energy,203.9839981906222,0.05228369923987,0.00600364834622,,Summary1.As1,LIECHTENSTEIN,1995,Sector,,
2.  Industrial processes and product use,0.15880477356376,,0.00122135037763,1.07061959552763,Summary1.As1,LIECHTENSTEIN,1995,Sector,0.00134634112724,
1. Energy,205.73599708853104,0.05367121216833,0.00618393550772,,Summary1.As1,LIECHTENSTEIN,1996,Sector,,
2.  Industrial processes and product use,0.16519749744061,,0.00115216033007,1.36882774269091,Summary1.As1,LIECHTENSTEIN,1996,Sector,0.00148053852208,
1. Energy,218.1418847579716,0.05550475753828,0.00655510412822,,Summary1.As1,LIECHTENSTEIN,1997,Sector,,
2.  Industrial processes and product use,0.17605346214135,,0.00108038668532,1.71781403389809,Summary1.As1,LIECHTENSTEIN,1997,Sector,0.00147757276644,
1. Energy,229.02780649675583,0.05754107800732,0.0063475922487,,Summary1.As1,LIECHTENSTEIN,1998,Sector,,
2.  Industrial processes and product use,0.15793753270886,,0.0010243008951,2.23876920339353,Summary1.As1,LIECHTENSTEIN,1998,Sector,0.00296566543248,
1. Energy,226.346678811692,0.05876734381393,0.00634489648468,,Summary1.As1,LIECHTENSTEIN,1999,Sector,,
2.  Industrial processes and product use,0.16570413315543,,0.00095636292028,2.804153964918,Summary1.As1,LIECHTENSTEIN,1999,Sector,0.00537605960401,2e-07
1. Energy,216.6342318516004,0.0608805418669,0.00647051960112,,Summary1.As1,LIECHTENSTEIN,2000,Sector,,
2.  Industrial processes and product use,0.16934063099844,,0.00088707118881,3.52292392372673,Summary1.As1,LIECHTENSTEIN,2000,Sector,0.00908399274015,3.83e-06
1. Energy,214.46096731590143,0.06222316820573,0.00595433015932,,Summary1.As1,LIECHTENSTEIN,2001,Sector,,
2.  Industrial processes and product use,0.1536178569863,,0.00082110461538,4.25515673909395,Summary1.As1,LIECHTENSTEIN,2001,Sector,0.01184597613113,7.25e-06
1. Energy,219.80872163634385,0.06478933173684,0.0054792399278,,Summary1.As1,LIECHTENSTEIN,2002,Sector,,
2.  Industrial processes and product use,0.14978466605277,,0.00081766120769,4.85649623923306,Summary1.As1,LIECHTENSTEIN,2002,Sector,0.01474489483383,1.068e-05
1. Energy,229.09814756338176,0.0671711939866,0.00523616025616,,Summary1.As1,LIECHTENSTEIN,2003,Sector,,
2.  Industrial processes and product use,0.1973814940756,,0.0008299148,5.42264720052845,Summary1.As1,LIECHTENSTEIN,2003,Sector,0.02994456064596,1.088e-05
1. Energy,229.12963746546808,0.06882694846022,0.00348748160666,,Summary1.As1,LIECHTENSTEIN,2004,Sector,,
2.  Industrial processes and product use,0.20397951592963,,0.000813965,6.01622310078797,Summary1.As1,LIECHTENSTEIN,2004,Sector,0.03785354243314,1.153e-05
1. Energy,228.72862220656577,0.07058239483085,0.00343517970957,,Summary1.As1,LIECHTENSTEIN,2005,Sector,,
2.  Industrial processes and product use,0.20031520389189,,0.00082899375,6.32493339376045,Summary1.As1,LIECHTENSTEIN,2005,Sector,0.05274995478164,1.119e-05
1. Energy,230.876715920548,0.07208052417488,0.00339104934792,,Summary1.As1,LIECHTENSTEIN,2006,Sector,,
2.  Industrial processes and product use,0.18747158574452,,0.000751716,6.89757647089003,Summary1.As1,LIECHTENSTEIN,2006,Sector,0.06297275300535,2.47e-06
1. Energy,200.5426019081004,0.07154756960266,0.00335462303398,,Summary1.As1,LIECHTENSTEIN,2007,Sector,,
2.  Industrial processes and product use,0.1953788723278,,0.0007106556,7.58738221443647,Summary1.As1,LIECHTENSTEIN,2007,Sector,0.06725469039549,5e-06
1. Energy,219.2978350321608,0.07311593325555,0.00362840930353,,Summary1.As1,LIECHTENSTEIN,2008,Sector,,
2.  Industrial processes and product use,0.17990523914184,,0.000705551925,7.9163032190913,Summary1.As1,LIECHTENSTEIN,2008,Sector,0.06474732169437,1.52e-05
1. Energy,205.17750637098757,0.06959479275491,0.00372224310078,,Summary1.As1,LIECHTENSTEIN,2009,Sector,,
2.  Industrial processes and product use,0.14139433820682,,0.0006766019,7.72963885529535,Summary1.As1,LIECHTENSTEIN,2009,Sector,0.05482225495956,5.96e-06
1. Energy,190.6258707158495,0.06894311300412,0.0036762219153,,Summary1.As1,LIECHTENSTEIN,2010,Sector,,
2.  Industrial processes and product use,0.1506949465598,,0.000675082575,8.28485611655202,Summary1.As1,LIECHTENSTEIN,2010,Sector,0.05221463264463,1.03e-06
1. Energy,176.57583525305074,0.06723301337658,0.00363269568451,,Summary1.As1,LIECHTENSTEIN,2011,Sector,,
2.  Industrial processes and product use,0.14572857118807,,0.0006601975,8.71078972109846,Summary1.As1,LIECHTENSTEIN,2011,Sector,0.05699523667325,5.9e-07
1. Energy,185.1321753218496,0.06720290024005,0.00376914837836,,Summary1.As1,LIECHTENSTEIN,2012,Sector,,
2.  Industrial processes and product use,0.13858283317744,,0.00063975326667,9.05613851259445,Summary1.As1,LIECHTENSTEIN,2012,Sector,0.04086814021105,2e-08
1. Energy,192.3470451363169,0.06748060011751,0.00376778844488,,Summary1.As1,LIECHTENSTEIN,2013,Sector,,
2.  Industrial processes and product use,0.14471125839595,,0.00055074683333,9.01864083634787,Summary1.As1,LIECHTENSTEIN,2013,Sector,0.04001482504104,7.66e-06
1. Energy,161.06279315927176,0.06328433932654,0.00330361607437,,Summary1.As1,LIECHTENSTEIN,2014,Sector,,
2.  Industrial processes and product use,0.14452643878198,,0.0005530168,9.25818538753473,Summary1.As1,LIECHTENSTEIN,2014,Sector,0.02455475901572,5.09e-06
1. Energy,159.57789052824623,0.06511129492229,0.00327369296698,,Summary1.As1,LIECHTENSTEIN,2015,Sector,,
2.  Industrial processes and product use,0.13838664612084,,0.0005254679,9.365332282589,Summary1.As1,LIECHTENSTEIN,2015,Sector,0.01323838176036,1.64e-06
1. Energy,149.64946061490775,0.06421777762,0.00325519266084,,Summary1.As1,LIECHTENSTEIN,2016,Sector,,
2.  Industrial processes and product use,0.13618215688809,,0.00048522833333,9.01613791089874,Summary1.As1,LIECHTENSTEIN,2016,Sector,0.0049377579294,6.3e-07
1. Energy,155.58185772425094,0.06509930889362,0.00337709095353,,Summary1.As1,LIECHTENSTEIN,2017,Sector,,
2.  Industrial processes and product use,0.13285661234662,,0.0004688022,9.25101705198165,Summary1.As1,LIECHTENSTEIN,2017,Sector,0.00250620179079,1.98e-06
1. Energy,142.7702008717124,0.0652069601252,0.00344281463655,,Summary1.As1,LIECHTENSTEIN,2018,Sector,,
2.  Industrial processes and product use,0.12171208836796,,0.00047036822222,9.37918776818102,Summary1.As1,LIECHTENSTEIN,2018,Sector,0.00220785896,3.02e-06
1. Energy,148.84848967645377,0.06625342564704,0.00342811554688,,Summary1.As1,LIECHTENSTEIN,2019,Sector,,
2.  Industrial processes and product use,0.11809529340875,,0.00047316834444,9.06434913405222,Summary1.As1,LIECHTENSTEIN,2019,Sector,0.00196996120235,2.07e-06
1. Energy,141.77246012534738,0.06379041190272,0.0032024291792,,Summary1.As1,LIECHTENSTEIN,2020,Sector,,
2.  Industrial processes and product use,0.10643351477527,,0.00047593929497,8.62848437619377,Summary1.As1,LIECHTENSTEIN,2020,Sector,0.00109975136152,2.35e-06
1. Energy,145.71969300807706,0.06510954564894,0.00331954943492,,Summary1.As1,LIECHTENSTEIN,2021,Sector,,
2.  Industrial processes and product use,0.11276111785227,,0.00047849378354,7.99348229998211,Summary1.As1,LIECHTENSTEIN,2021,Sector,0.00105014666657,2.26e-06
3.  Agriculture,0.05830724614753,0.67407470734191,0.02681104839248,,Summary1.As2,LIECHTENSTEIN,1990,Sector,,
"4.  Land use, land-use change and forestry  (4)",7.26789745959815,,0.0010040199187,,Summary1.As2,LIECHTENSTEIN,1990,Sector,,
5.  Waste,0.01390679683014,0.0442424361654,0.00179909343112,,Summary1.As2,LIECHTENSTEIN,1990,Sector,,
3.  Agriculture,0.05512209025174,0.66990684639759,0.02722133222712,,Summary1.As2,LIECHTENSTEIN,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-8.35844897836081,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1991,Sector,,
5.  Waste,0.01377696550533,0.04359874419049,0.00170656528962,,Summary1.As2,LIECHTENSTEIN,1991,Sector,,
3.  Agriculture,0.05553703911146,0.6513082424395,0.02649730007442,,Summary1.As2,LIECHTENSTEIN,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",2.47412029608441,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1992,Sector,,
5.  Waste,0.01466449180678,0.04327431984773,0.00181213922109,,Summary1.As2,LIECHTENSTEIN,1992,Sector,,
3.  Agriculture,0.05563728490636,0.61818719590634,0.02560721416015,,Summary1.As2,LIECHTENSTEIN,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.77281340129594,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1993,Sector,,
5.  Waste,0.01393158135898,0.04277497371929,0.00176460032842,,Summary1.As2,LIECHTENSTEIN,1993,Sector,,
3.  Agriculture,0.05202951637247,0.62313075605438,0.02558164491885,,Summary1.As2,LIECHTENSTEIN,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",18.35156851978028,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1994,Sector,,
5.  Waste,0.00880610298446,0.04272592408829,0.00183209118174,,Summary1.As2,LIECHTENSTEIN,1994,Sector,,
3.  Agriculture,0.04926841020183,0.62281032238818,0.02509438336597,,Summary1.As2,LIECHTENSTEIN,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",5.03534083454286,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1995,Sector,,
5.  Waste,0.00954284381264,0.04190399893718,0.00188307174058,,Summary1.As2,LIECHTENSTEIN,1995,Sector,,
3.  Agriculture,0.04950389497151,0.63341773209497,0.0247699597487,,Summary1.As2,LIECHTENSTEIN,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3.206964122315,,0.00098502835564,,Summary1.As2,LIECHTENSTEIN,1996,Sector,,
