GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector,PFCs(1),SF6 (kt)
A. Fuel combustion     Reference approach(2),198.72021660103795,,,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),198.69524943794775,0.03656790129762,0.004329208111,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
1.  Energy industries,0.121176,0.00014744249856,0.00017152724736,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,36.1885295530881,0.00063072343949,0.00028523599009,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
3.  Transport,75.36134025764201,0.02508059002929,0.0030012412401,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
4.  Other sectors,87.02420362721767,0.01070914533028,0.00087120363345,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00011456917495,0.01457378658748,,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00011456917495,0.01457378658748,,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.20327774899356,,,,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,9.605405272e-05,Summary1.As1,LIECHTENSTEIN,1990,Subsector,1. Energy,,
A. Fuel combustion     Reference approach(2),206.10209176773824,,,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),206.0697453888335,0.03592153143954,0.00498621246911,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
1.  Energy industries,0.787644,0.00044893529856,0.00018095204736,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,35.83141462867402,0.00064759570652,0.00029112679295,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
3.  Transport,88.52479663042021,0.02528839671377,0.0037463382351,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
4.  Other sectors,80.92589012973929,0.00953660372069,0.0007677953937,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00013519759586,0.01719782751416,,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00013519759586,0.01719782751416,,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.19037181471906,,,,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,0.00588221700509,Summary1.As1,LIECHTENSTEIN,1991,Subsector,1. Energy,7.398669288e-05,
A. Fuel combustion     Reference approach(2),206.73666795587013,,,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
                                           Sectoral approach(2),206.698348217308,0.03478561902477,0.00554281645239,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
1.  Energy industries,1.81764,0.0009136820736,0.0001933238016,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,36.21225529202473,0.0006585145573,0.00029061303165,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
3.  Transport,87.75001099924133,0.02319738918841,0.0042349119277,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
4.  Other sectors,80.91844192604196,0.01001603320546,0.00082396769144,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00015053450237,0.01914876067267,,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00015053450237,0.01914876067267,,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.18179077436928,,,,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,0.06572200758347,Summary1.As1,LIECHTENSTEIN,1992,Subsector,1. Energy,0.00023316690472,
A. Fuel combustion     Reference approach(2),214.8328024399414,,,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
                                           Sectoral approach(2),214.7900004274181,0.03307234962409,0.00582364586836,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
1.  Energy industries,1.878228,0.00094066437888,0.00019339936128,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,37.47223917477489,0.00066013714912,0.00028142264747,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
3.  Transport,85.64304520672484,0.02072674134034,0.00447258570197,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
4.  Other sectors,89.79648804591842,0.01074480675575,0.00087623815764,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00016397750723,0.02085877982961,,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00016397750723,0.02085877982961,,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.1746869641891,,,,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,0.1465914427783,Summary1.As1,LIECHTENSTEIN,1993,Subsector,1. Energy,0.00052171736205,
A. Fuel combustion     Reference approach(2),200.9355288902988,,,,Summary1.As1,LIECHTENSTEIN,1994,Subsector,1. Energy,,
                                           Sectoral approach(2),200.88742972516036,0.02938664185549,0.00572618528087,,Summary1.As1,LIECHTENSTEIN,1994,Subsector,1. Energy,,
