GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,PFCs(1),SF6 (kt)
Total national emissions and removals,206.23875325869213,0.76945883139241,0.0354530338533,9.605405272e-05,Summary1.As1,LIECHTENSTEIN,1990,Total,,
Total national emissions and removals,197.9707024785447,0.76662494954178,0.03635372479184,0.00588221700509,Summary1.As1,LIECHTENSTEIN,1991,Total,7.398669288e-05,
Total national emissions and removals,209.4246113531823,0.74851694198467,0.03624103833012,0.06572200758347,Summary1.As1,LIECHTENSTEIN,1992,Total,0.00023316690472,
Total national emissions and removals,214.26160683408384,0.71489329907933,0.03552922012516,0.1465914427783,Summary1.As1,LIECHTENSTEIN,1993,Total,0.00052171736205,
Total national emissions and removals,219.46265884590164,0.71736424919766,0.03541128206157,0.35904257438202,Summary1.As1,LIECHTENSTEIN,1994,Total,0.00100503865417,
Total national emissions and removals,209.2369550527433,0.71699802056523,0.03518748218604,1.07061959552763,Summary1.As1,LIECHTENSTEIN,1995,Total,0.00134634112724,
Total national emissions and removals,202.75340327214505,0.72896834106475,0.0349155886853,1.36882774269091,Summary1.As1,LIECHTENSTEIN,1996,Total,0.00148053852208,
Total national emissions and removals,226.49914136656315,0.71744306781397,0.03518257792526,1.71781403389809,Summary1.As1,LIECHTENSTEIN,1997,Total,0.00147757276644,
Total national emissions and removals,229.68810432046047,0.71277310693842,0.03406554900435,2.23876920339353,Summary1.As1,LIECHTENSTEIN,1998,Total,0.00296566543248,
Total national emissions and removals,225.9084532453521,0.68509927962209,0.03330318644727,2.804153964918,Summary1.As1,LIECHTENSTEIN,1999,Total,0.00537605960401,2e-07
Total national emissions and removals,241.65850008550123,0.66778148753567,0.03304186688102,3.52292392372673,Summary1.As1,LIECHTENSTEIN,2000,Total,0.00908399274015,3.83e-06
Total national emissions and removals,216.54830658130297,0.70372492395661,0.0330811809319,4.25515673909395,Summary1.As1,LIECHTENSTEIN,2001,Total,0.01184597613113,7.25e-06
Total national emissions and removals,222.8080326624,0.71197749882736,0.03345597555527,4.85649623923306,Summary1.As1,LIECHTENSTEIN,2002,Total,0.01474489483383,1.068e-05
Total national emissions and removals,236.13921766820928,0.71871549596445,0.03343842678228,5.42264720052845,Summary1.As1,LIECHTENSTEIN,2003,Total,0.02994456064596,1.088e-05
Total national emissions and removals,238.34161137586128,0.72253947400672,0.03149457233125,6.01622310078797,Summary1.As1,LIECHTENSTEIN,2004,Total,0.03785354243314,1.153e-05
Total national emissions and removals,237.98994066335268,0.74212756798009,0.03193333580679,6.32493339376045,Summary1.As1,LIECHTENSTEIN,2005,Total,0.05274995478164,1.119e-05
Total national emissions and removals,244.9054160722843,0.77654919716916,0.03258974989727,6.89757647089003,Summary1.As1,LIECHTENSTEIN,2006,Total,0.06297275300535,2.47e-06
Total national emissions and removals,223.63551354792733,0.78710150639085,0.0328159100463,7.58738221443647,Summary1.As1,LIECHTENSTEIN,2007,Total,0.06725469039549,5e-06
Total national emissions and removals,244.49059156922084,0.7935750413947,0.03348251002241,7.9163032190913,Summary1.As1,LIECHTENSTEIN,2008,Total,0.06474732169437,1.52e-05
Total national emissions and removals,227.38984463893183,0.78784051131483,0.03324971933865,7.72963885529535,Summary1.As1,LIECHTENSTEIN,2009,Total,0.05482225495956,5.96e-06
Total national emissions and removals,211.42298651265435,0.76373058939756,0.03253089255824,8.28485611655202,Summary1.As1,LIECHTENSTEIN,2010,Total,0.05221463264463,1.03e-06
Total national emissions and removals,201.09645643986053,0.7781043255895,0.03380901221736,8.71078972109846,Summary1.As1,LIECHTENSTEIN,2011,Total,0.05699523667325,5.9e-07
Total national emissions and removals,209.91293599356237,0.79491049196299,0.03337703495987,9.05613851259445,Summary1.As1,LIECHTENSTEIN,2012,Total,0.04086814021105,2e-08
Total national emissions and removals,209.68162766643545,0.76148710377905,0.03236320349733,9.01864083634787,Summary1.As1,LIECHTENSTEIN,2013,Total,0.04001482504104,7.66e-06
Total national emissions and removals,178.31648091056846,0.76704950795801,0.03204741524959,9.25818538753473,Summary1.As1,LIECHTENSTEIN,2014,Total,0.02455475901572,5.09e-06
Total national emissions and removals,171.5548451693146,0.76020125734318,0.03222447654322,9.365332282589,Summary1.As1,LIECHTENSTEIN,2015,Total,0.01323838176036,1.64e-06
Total national emissions and removals,159.83808325006888,0.76477085844062,0.03170452038914,9.01613791089874,Summary1.As1,LIECHTENSTEIN,2016,Total,0.0049377579294,6.3e-07
Total national emissions and removals,167.06693061368037,0.74515167259535,0.0315269453388,9.25101705198165,Summary1.As1,LIECHTENSTEIN,2017,Total,0.00250620179079,1.98e-06
Total national emissions and removals,164.92890170699104,0.75581108725537,0.03210918488851,9.37918776818102,Summary1.As1,LIECHTENSTEIN,2018,Total,0.00220785896,3.02e-06
Total national emissions and removals,161.01846194459665,0.78265946048594,0.03255559195848,9.06434913405222,Summary1.As1,LIECHTENSTEIN,2019,Total,0.00196996120235,2.07e-06
Total national emissions and removals,146.3771377042966,0.78851718635016,0.03217163608366,8.62848437619377,Summary1.As1,LIECHTENSTEIN,2020,Total,0.00109975136152,2.35e-06
Total national emissions and removals,145.83255800701608,0.7788478993988,0.03208576528584,7.99348229998211,Summary1.As1,LIECHTENSTEIN,2021,Total,0.00105014666657,2.26e-06
