GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),200.79005811525428,,,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
                                           Sectoral approach(2),200.54224574270393,0.02624150467758,0.00335462303398,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
1.  Energy industries,2.484108,0.00125257390848,0.00027131349888,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33.78998828428198,0.00060018218567,0.00026171336569,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
3.  Transport,82.67960645530916,0.01164293624821,0.00164372660703,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
4.  Other sectors,81.58854300311278,0.01274581233522,0.00117786956238,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0003561653965,0.04530606492508,,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0003561653965,0.04530606492508,,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.1953788723278,,,,,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,7.58738221443647,0.06725469039549,,Summary1.As1,LIECHTENSTEIN,2007,Subsector,1. Energy
