GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
1. Energy,32240.34988472172,21.25557961694828,1.16866811578877,Summary1.As1,LITHUANIA,1990,Sector,,
2.  Industrial processes and product use,3414.466343064802,0.20976,3.31897515915941,Summary1.As1,LITHUANIA,1990,Sector,,
1. Energy,34326.70875162476,21.42302353916583,1.04611218864158,Summary1.As1,LITHUANIA,1991,Sector,,
2.  Industrial processes and product use,3400.689697813809,0.22908,3.46108849988489,Summary1.As1,LITHUANIA,1991,Sector,,
1. Energy,19290.370665405757,15.8497245678424,0.76546298669715,Summary1.As1,LITHUANIA,1992,Sector,,
2.  Industrial processes and product use,1831.994712001322,0.13087,2.60612500361606,Summary1.As1,LITHUANIA,1992,Sector,,
1. Energy,15423.04482961835,16.35137556928734,0.69556413358073,Summary1.As1,LITHUANIA,1993,Sector,,
2.  Industrial processes and product use,879.7406738892211,0.0115,2.71848627286617,Summary1.As1,LITHUANIA,1993,Sector,0.026132208,
1. Energy,14515.49872255988,15.9471034246642,0.66225549124944,Summary1.As1,LITHUANIA,1994,Sector,,
2.  Industrial processes and product use,1236.1746715841714,0.0736,2.18244647128777,Summary1.As1,LITHUANIA,1994,Sector,0.088520076,
1. Energy,13585.070370732565,15.7759468034501,0.60370097472786,Summary1.As1,LITHUANIA,1995,Sector,,
2.  Industrial processes and product use,1454.485619634785,0.0896333,2.39079347929251,Summary1.As1,LITHUANIA,1995,Sector,6.13589132834831,2e-06
1. Energy,14092.22551159352,15.66801630985983,0.52339810993522,Summary1.As1,LITHUANIA,1996,Sector,,
2.  Industrial processes and product use,1611.296372460008,0.0418324,3.16725240007209,Summary1.As1,LITHUANIA,1996,Sector,7.50929878370439,2e-06
1. Energy,13641.54310751299,15.70140750793256,0.51477070940758,Summary1.As1,LITHUANIA,1997,Sector,,
2.  Industrial processes and product use,1484.540999909986,0.0540454,3.46109299053629,Summary1.As1,LITHUANIA,1997,Sector,9.95559609803042,3.4e-06
1. Energy,14346.6984545692,15.44205083138273,0.51174491212773,Summary1.As1,LITHUANIA,1998,Sector,,
2.  Industrial processes and product use,1612.1400176349744,0.0249849,4.38583100130522,Summary1.As1,LITHUANIA,1998,Sector,13.5489621296626,2.22e-05
1. Energy,11930.970824559285,15.04531864182802,0.45822829122752,Summary1.As1,LITHUANIA,1999,Sector,,
2.  Industrial processes and product use,1482.0237053360388,,4.59711077018119,Summary1.As1,LITHUANIA,1999,Sector,17.03778475174132,2.3677e-05
1. Energy,10396.885685856509,15.29031123703525,0.45295881629303,Summary1.As1,LITHUANIA,2000,Sector,,
2.  Industrial processes and product use,1409.7877420078887,0.0185311,5.34546775953347,Summary1.As1,LITHUANIA,2000,Sector,21.45239745965635,3.1727e-05
1. Energy,11063.462945116376,15.37429068678518,0.49168621302716,Summary1.As1,LITHUANIA,2001,Sector,,
2.  Industrial processes and product use,1494.4663371933336,0.0745062,5.86289985571751,Summary1.As1,LITHUANIA,2001,Sector,27.55691458820388,2.8777e-05
1. Energy,11098.6636512602,15.92035388556378,0.54314903564897,Summary1.As1,LITHUANIA,2002,Sector,,
2.  Industrial processes and product use,1524.5964264007575,0.0678868,6.31339264572535,Summary1.As1,LITHUANIA,2002,Sector,34.88536069927263,3.2677e-05
1. Energy,11093.423713161186,16.15939769582975,0.58864432226458,Summary1.As1,LITHUANIA,2003,Sector,,
2.  Industrial processes and product use,1521.545860433503,0.0944955,6.55576021268606,Summary1.As1,LITHUANIA,2003,Sector,45.83990826459321,0.000103127
1. Energy,11719.202096448513,16.93554704711197,0.47997983839507,Summary1.As1,LITHUANIA,2004,Sector,,
2.  Industrial processes and product use,1492.25871404259,0.09775,7.22377745923264,Summary1.As1,LITHUANIA,2004,Sector,66.08040778973661,5.0577e-05
1. Energy,12518.50576164036,18.66459789908245,0.49748286708915,Summary1.As1,LITHUANIA,2005,Sector,,
2.  Industrial processes and product use,1288.668731857315,0.0901508,8.01763929322753,Summary1.As1,LITHUANIA,2005,Sector,86.46129798155519,7.3877e-05
1. Energy,12574.095324878312,18.41204222877057,0.5036708400905,Summary1.As1,LITHUANIA,2006,Sector,,
2.  Industrial processes and product use,1578.4615396789536,0.1098687,7.94680723059284,Summary1.As1,LITHUANIA,2006,Sector,114.646892912255,6.5952e-05
1. Energy,12820.062699853986,17.5965051407581,0.5153112812853,Summary1.As1,LITHUANIA,2007,Sector,,
2.  Industrial processes and product use,2601.7540053586526,0.1122883,10.14285889430128,Summary1.As1,LITHUANIA,2007,Sector,148.80641907128535,5.3452e-05
1. Energy,12693.713464574155,17.68548209365046,0.51782475887177,Summary1.As1,LITHUANIA,2008,Sector,,
2.  Industrial processes and product use,2182.566794590558,0.12679371,9.39890883074964,Summary1.As1,LITHUANIA,2008,Sector,185.24145112133243,0.000149902
1. Energy,11558.068334736276,17.05634337152544,0.42528744699804,Summary1.As1,LITHUANIA,2009,Sector,,
2.  Industrial processes and product use,1224.3742364128868,,2.15830529296233,Summary1.As1,LITHUANIA,2009,Sector,206.09334409748152,0.000130829
1. Energy,12508.810829496324,18.20316575746808,0.4318390581172,Summary1.As1,LITHUANIA,2010,Sector,,
2.  Industrial processes and product use,1254.9609055551596,,1.88267675877903,Summary1.As1,LITHUANIA,2010,Sector,246.99558626265707,0.000259079
1. Energy,11714.134982411715,15.94744238178582,0.42925706960936,Summary1.As1,LITHUANIA,2011,Sector,,
2.  Industrial processes and product use,2203.70908161573,,2.87412678977476,Summary1.As1,LITHUANIA,2011,Sector,292.6974032624906,0.000334899
1. Energy,11685.83362724032,18.26654715318355,0.44118890952616,Summary1.As1,LITHUANIA,2012,Sector,,
2.  Industrial processes and product use,2328.019532060757,,1.93933658362485,Summary1.As1,LITHUANIA,2012,Sector,337.86694464145506,0.000169672
1. Energy,11071.367873496016,18.06342352119037,0.44217229241397,Summary1.As1,LITHUANIA,2013,Sector,,
2.  Industrial processes and product use,2033.8543888754232,,1.14322782513718,Summary1.As1,LITHUANIA,2013,Sector,392.1192948813466,0.000271872
1. Energy,10653.602473930276,19.29678546204282,0.46343163101283,Summary1.As1,LITHUANIA,2014,Sector,,
2.  Industrial processes and product use,2120.3406235545444,,1.13068924506252,Summary1.As1,LITHUANIA,2014,Sector,445.9986800436933,0.000256672
1. Energy,10599.09746292791,20.0654430279868,0.4813004155681,Summary1.As1,LITHUANIA,2015,Sector,,
2.  Industrial processes and product use,2389.1309191159094,,0.88181471840971,Summary1.As1,LITHUANIA,2015,Sector,550.8239357454202,0.000224872
1. Energy,10912.595616862556,20.0368447128824,0.50685489843185,Summary1.As1,LITHUANIA,2016,Sector,,
2.  Industrial processes and product use,2151.498284875848,,0.71875533054291,Summary1.As1,LITHUANIA,2016,Sector,691.0086924605965,0.000195672
1. Energy,10850.96779987573,19.90549875711122,0.52735812503936,Summary1.As1,LITHUANIA,2017,Sector,,
2.  Industrial processes and product use,2381.373546597776,,0.7808932635433,Summary1.As1,LITHUANIA,2017,Sector,680.6809264433513,0.000334072
1. Energy,11230.823618422944,18.70775511721575,0.56134876167354,Summary1.As1,LITHUANIA,2018,Sector,,
2.  Industrial processes and product use,2147.7814244901224,,0.6060704643666,Summary1.As1,LITHUANIA,2018,Sector,529.8880684863414,0.00027646
1. Energy,11237.78271318229,19.31937615183514,0.55963965594865,Summary1.As1,LITHUANIA,2019,Sector,,
2.  Industrial processes and product use,2370.811940491057,,0.61722182182369,Summary1.As1,LITHUANIA,2019,Sector,532.7375975440591,0.00021981
1. Energy,11206.315057335962,17.62214145092106,0.55537550931884,Summary1.As1,LITHUANIA,2020,Sector,,
2.  Industrial processes and product use,2225.978485297056,,0.53109315420583,Summary1.As1,LITHUANIA,2020,Sector,501.5851796428732,0.000427593
1. Energy,11623.617028622715,17.61107257171925,0.59429604448076,Summary1.As1,LITHUANIA,2021,Sector,,
2.  Industrial processes and product use,2088.4218885715104,,0.53591971302524,Summary1.As1,LITHUANIA,2021,Sector,512.8539225394364,0.000537463
3.  Agriculture,80.19743226427248,199.3280619694822,12.6006816790464,Summary1.As2,LITHUANIA,1990,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5464.134631590594,0.1201815604319,0.4259787772635,Summary1.As2,LITHUANIA,1990,Sector,,
5.  Waste,2.65931973034567,58.08129675052058,0.22630890897217,Summary1.As2,LITHUANIA,1990,Sector,,
3.  Agriculture,90.3191094412244,190.30801806766877,12.96631047725806,Summary1.As2,LITHUANIA,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5782.688938647804,0.10995827297494,0.42313638337621,Summary1.As2,LITHUANIA,1991,Sector,,
5.  Waste,2.65931973034567,59.09716257937994,0.22728772399795,Summary1.As2,LITHUANIA,1991,Sector,,
3.  Agriculture,45.33387754366021,163.1510698192947,8.5284155285075,Summary1.As2,LITHUANIA,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5522.288667927872,0.24242286902444,0.43744087328812,Summary1.As2,LITHUANIA,1992,Sector,,
5.  Waste,0.74187476346368,58.17911184232099,0.22748415077714,Summary1.As2,LITHUANIA,1992,Sector,,
3.  Agriculture,14.78685581822033,131.8164222555311,6.8345894603946,Summary1.As2,LITHUANIA,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6472.98573777033,0.15245793940317,0.42802982151233,Summary1.As2,LITHUANIA,1993,Sector,,
5.  Waste,2.14070119363217,59.1761777743762,0.22717316335857,Summary1.As2,LITHUANIA,1993,Sector,,
3.  Agriculture,14.71138895972033,113.7733121547196,6.2834709306328,Summary1.As2,LITHUANIA,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6003.859090385211,0.15245793940317,0.47744843386993,Summary1.As2,LITHUANIA,1994,Sector,,
5.  Waste,0.65746700067957,58.41099500453945,0.22603878904412,Summary1.As2,LITHUANIA,1994,Sector,,
3.  Agriculture,15.277207517391,103.39888253686796,6.00477984020787,Summary1.As2,LITHUANIA,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4721.849135045422,0.15245793940317,0.43909756332306,Summary1.As2,LITHUANIA,1995,Sector,,
5.  Waste,2.50958338066286,58.52319845927769,0.2251016652424,Summary1.As2,LITHUANIA,1995,Sector,,
3.  Agriculture,35.58849705000557,100.34158995261288,6.7732977314704,Summary1.As2,LITHUANIA,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",814.899608015609,0.15245793940317,0.43420133844123,Summary1.As2,LITHUANIA,1996,Sector,,
5.  Waste,0.85258462384007,58.56749342931839,0.22386608281366,Summary1.As2,LITHUANIA,1996,Sector,,
3.  Agriculture,35.90803536291109,100.58752551815309,6.86017020184216,Summary1.As2,LITHUANIA,1997,Sector,,
"4.  Land use, land-use change and forestry  (4)",-402.7224364662004,0.15245793940317,0.42668505268598,Summary1.As2,LITHUANIA,1997,Sector,,
5.  Waste,0.85424541302665,59.30062190777229,0.22286315465363,Summary1.As2,LITHUANIA,1997,Sector,,
3.  Agriculture,37.27107052860524,95.70297729365775,6.75250653445035,Summary1.As2,LITHUANIA,1998,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7987.661784592377,0.10849780333823,0.41618911278805,Summary1.As2,LITHUANIA,1998,Sector,,
5.  Waste,0.9430773549008,58.66889738163612,0.22192067367289,Summary1.As2,LITHUANIA,1998,Sector,,
3.  Agriculture,36.19197885607553,88.05618377486654,6.47314669550503,Summary1.As2,LITHUANIA,1999,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7311.801520257217,0.15069369208203,0.44786728266056,Summary1.As2,LITHUANIA,1999,Sector,,
5.  Waste,0.40921853177535,58.23669992992216,0.22096284741375,Summary1.As2,LITHUANIA,1999,Sector,,
3.  Agriculture,35.22730642277463,81.49821706870866,6.39425923768325,Summary1.As2,LITHUANIA,2000,Sector,,
