GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
A. Fuel combustion     Reference approach(2),32517.69476000003,,,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),32216.464962413083,10.65333588601393,1.16865815564809,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
1.  Energy industries,13521.915394999998,0.399012,0.0695949,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6105.817028273085,0.24916450616745,0.16913009761674,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
3.  Transport,5685.046664139998,1.59954497984648,0.30514365803135,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
4.  Other sectors,6903.324675,8.4056119,0.6247795,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
5.  Other,0.3612,2.5e-06,1e-05,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,23.88492230863724,10.60224373093435,9.96014068e-06,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,23.88492230863724,10.60224373093435,9.96014068e-06,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
A.  Mineral industry,2129.613416978334,,,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy,,
C.  Metal industry,16.98430752582315,,,Summary1.As1,LITHUANIA,1990,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,6.93733333333333,,,Summary1.As1,LITHUANIA,1990,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.32230662605981,Summary1.As1,LITHUANIA,1990,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.022748,,,Summary1.As1,LITHUANIA,1990,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),34507.0192066667,,,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),34298.49063967375,11.17270748927728,1.04608479825471,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy,,
1.  Energy industries,14590.0348905,0.457633,0.0802962,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6160.439430377756,0.2498109180482,0.14515797380482,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy,,
3.  Transport,6251.569588795995,1.81734172122908,0.33538832444989,Summary1.As1,LITHUANIA,1991,Subsector,1. Energy,,
