GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
Total national emissions and removals,30273.538348190545,278.994879897383,17.74061264023025,Summary1.As1,LITHUANIA,1990,Total,,
Total national emissions and removals,32037.687939962336,271.1672424591895,18.12393527315869,Summary1.As1,LITHUANIA,1991,Total,,
Total national emissions and removals,15646.152461786329,237.5531990984825,12.56492854288597,Summary1.As1,LITHUANIA,1992,Total,,
Total national emissions and removals,9846.727322749091,207.50793353859785,10.9038428517124,Summary1.As1,LITHUANIA,1993,Total,0.026132208,
Total national emissions and removals,9763.18315971924,188.3574685233264,9.83166011608406,Summary1.As1,LITHUANIA,1994,Total,0.088520076,
Total national emissions and removals,10335.493646219978,177.94011903899892,9.6634735227937,Summary1.As1,LITHUANIA,1995,Total,6.13589132834831,2e-06
Total national emissions and removals,16554.862573742983,174.77139003119427,11.1220156627326,Summary1.As1,LITHUANIA,1996,Total,7.50929878370439,2e-06
Total national emissions and removals,14760.123951732714,175.79605827326108,11.48558210912564,Summary1.As1,LITHUANIA,1997,Total,9.95559609803042,3.4e-06
Total national emissions and removals,8009.390835495304,169.94740821001486,12.28819223434424,Summary1.As1,LITHUANIA,1998,Total,13.5489621296626,2.22e-05
Total national emissions and removals,6137.794207025955,161.48889603869875,12.19731588698805,Summary1.As1,LITHUANIA,1999,Total,17.03778475174132,2.3677e-05
Total national emissions and removals,2248.891583937136,155.11292802855456,12.82790770277954,Summary1.As1,LITHUANIA,2000,Total,21.45239745965635,3.1727e-05
Total national emissions and removals,5174.533883919673,151.6176775827343,13.24073395994897,Summary1.As1,LITHUANIA,2001,Total,27.55691458820388,2.8777e-05
Total national emissions and removals,6198.810927501488,154.22294480401726,14.0240048875778,Summary1.As1,LITHUANIA,2002,Total,34.88536069927263,3.2677e-05
Total national emissions and removals,6950.115795232927,156.68536082217395,14.39019163113487,Summary1.As1,LITHUANIA,2003,Total,45.83990826459321,0.000103127
Total national emissions and removals,8082.631427377549,157.3400159849389,15.05624412491965,Summary1.As1,LITHUANIA,2004,Total,66.08040778973661,5.0577e-05
Total national emissions and removals,9599.36650199868,156.8462959885364,15.87821550424954,Summary1.As1,LITHUANIA,2005,Total,86.46129798155519,7.3877e-05
Total national emissions and removals,10331.204011535565,157.53381416208302,15.73948402483583,Summary1.As1,LITHUANIA,2006,Total,114.646892912255,6.5952e-05
Total national emissions and removals,9832.109299106103,155.62434961228718,18.33626569196407,Summary1.As1,LITHUANIA,2007,Total,148.80641907128535,5.3452e-05
Total national emissions and removals,8549.62294707136,150.53133704911832,17.47307855178935,Summary1.As1,LITHUANIA,2008,Total,185.24145112133243,0.000149902
Total national emissions and removals,5436.8563949769405,147.1711338659565,10.56270922563925,Summary1.As1,LITHUANIA,2009,Total,206.09334409748152,0.000130829
Total national emissions and removals,3305.9591933482307,146.2197451191797,10.27551667799138,Summary1.As1,LITHUANIA,2010,Total,246.99558626265707,0.000259079
Total national emissions and removals,3264.87518497423,140.70296358271614,11.4545773683224,Summary1.As1,LITHUANIA,2011,Total,292.6974032624906,0.000334899
Total national emissions and removals,3737.3471089159375,141.07735238657523,10.80871081224871,Summary1.As1,LITHUANIA,2012,Total,337.86694464145506,0.000169672
Total national emissions and removals,3442.8744732081195,138.43267492201974,10.02386570881092,Summary1.As1,LITHUANIA,2013,Total,392.1192948813466,0.000271872
Total national emissions and removals,3934.453559553007,138.99941461755185,10.5391141305498,Summary1.As1,LITHUANIA,2014,Total,445.9986800436933,0.000256672
Total national emissions and removals,4970.037468449083,137.97895276346506,10.61072439913995,Summary1.As1,LITHUANIA,2015,Total,550.8239357454202,0.000224872
Total national emissions and removals,5845.6308039300375,134.57659597106854,10.4728351312468,Summary1.As1,LITHUANIA,2016,Total,691.0086924605965,0.000195672
Total national emissions and removals,6592.765382778688,131.7712320635394,10.65049325883416,Summary1.As1,LITHUANIA,2017,Total,680.6809264433513,0.000334072
Total national emissions and removals,7700.232498643608,124.56775391683352,10.21122483009631,Summary1.As1,LITHUANIA,2018,Total,529.8880684863414,0.00027646
Total national emissions and removals,7642.70890341948,122.37549699142048,10.39557048594441,Summary1.As1,LITHUANIA,2019,Total,532.7375975440591,0.00021981
Total national emissions and removals,6767.640384473042,118.6488435855848,11.04989361867703,Summary1.As1,LITHUANIA,2020,Total,501.5851796428732,0.000427593
Total national emissions and removals,7591.6084780883,117.8996460734379,10.34843401417467,Summary1.As1,LITHUANIA,2021,Total,512.8539225394364,0.000537463
