GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),32517.69476000003,,,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
                                           Sectoral approach(2),32216.464962413083,10.65333588601393,1.16865815564809,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
1.  Energy industries,13521.915394999998,0.399012,0.0695949,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,6105.817028273085,0.24916450616745,0.16913009761674,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
3.  Transport,5685.046664139998,1.59954497984648,0.30514365803135,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
4.  Other sectors,6903.324675,8.4056119,0.6247795,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
5.  Other,0.3612,2.5e-06,1e-05,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,23.88492230863724,10.60224373093435,9.96014068e-06,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,23.88492230863724,10.60224373093435,9.96014068e-06,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
A.  Mineral industry,2129.613416978334,,,Summary1.As1,LITHUANIA,1990,Subsector,1. Energy
