GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),15615.812390000016,,,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
                                           Sectoral approach(2),15375.008367457198,6.92470707451054,0.69550354272492,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
1.  Energy industries,7264.037612,0.253211,0.0463008,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1977.4493612492565,0.11592959420837,0.08532114442084,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
3.  Transport,3140.9313592079407,0.87541103030217,0.22680869830408,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
4.  Other sectors,2992.012115,5.68015145,0.3370569,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
5.  Other,0.57792,4e-06,1.6e-05,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,48.03646216115275,9.4266684947768,6.059085581e-05,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,48.03646216115275,9.4266684947768,6.059085581e-05,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
A.  Mineral industry,498.63350636803364,,,,Summary1.As1,LITHUANIA,1993,Subsector,1. Energy
