GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10553.437444362495,,,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
                                           Sectoral approach(2),10391.903984112623,7.84485943407637,0.48123974171113,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
1.  Energy industries,3100.17059,0.845869,0.1133566,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1167.4249093552942,0.16624063892907,0.03843651573897,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
3.  Transport,5025.72634475733,0.3264010951473,0.19072032597216,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
4.  Other sectors,1062.56866,6.5060977,0.1377223,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
5.  Other,36.01348,0.000251,0.001004,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
B. Fugitive emissions from fuels,207.1934788152868,12.22058359391043,6.067385697e-05,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,207.1934788152868,12.22058359391043,6.067385697e-05,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
A.  Mineral industry,576.4404420375063,,,,,Summary1.As1,LITHUANIA,2015,Subsector,1. Energy
