GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,10211.042675215416,1.92987881347735,0.11775103318183,,,Summary1.As1,LUXEMBOURG,1990,Sector
2.  Industrial processes and product use,1598.3834244898471,,0.03159313799065,6.5e-05,3.843027547e-05,Summary1.As1,LUXEMBOURG,1990,Sector
1. Energy,10906.939175025296,2.04440918397564,0.13650210217717,,,Summary1.As1,LUXEMBOURG,1991,Sector
2.  Industrial processes and product use,1521.4635209187832,,0.03052259292437,0.0010692986535,4.278542242e-05,Summary1.As1,LUXEMBOURG,1991,Sector
1. Energy,10745.175412986808,2.00337087197823,0.1500243629743,,,Summary1.As1,LUXEMBOURG,1992,Sector
2.  Industrial processes and product use,1450.0954731961922,,0.02937127453563,4.98903447646941,4.730132582e-05,Summary1.As1,LUXEMBOURG,1992,Sector
1. Energy,10912.313385566857,1.96977884116803,0.15973856371059,,,Summary1.As1,LUXEMBOURG,1993,Sector
2.  Industrial processes and product use,1432.5984768531955,,0.02832464281395,11.7640888116693,5.198964133e-05,Summary1.As1,LUXEMBOURG,1993,Sector
1. Energy,10198.94804271319,1.88874975384897,0.17034687071488,,,Summary1.As1,LUXEMBOURG,1994,Sector
2.  Industrial processes and product use,1336.7468802894043,,0.02731414501415,12.9122161673956,5.685580126e-05,Summary1.As1,LUXEMBOURG,1994,Sector
1. Energy,8169.425711266729,1.91032958933251,0.16390074149151,,,Summary1.As1,LUXEMBOURG,1995,Sector
2.  Industrial processes and product use,979.725126221845,,0.02627530866709,13.81148588944935,6.09414162e-05,Summary1.As1,LUXEMBOURG,1995,Sector
1. Energy,8276.687752465768,1.96550526537328,0.1662282605628,,,Summary1.As1,LUXEMBOURG,1996,Sector
2.  Industrial processes and product use,924.0618973936296,,0.02519211575832,15.79596988567786,6.831677728e-05,Summary1.As1,LUXEMBOURG,1996,Sector
1. Energy,7743.249212139125,1.9539028873703,0.16900522128225,,,Summary1.As1,LUXEMBOURG,1997,Sector
2.  Industrial processes and product use,813.5546874420463,,0.02411488527427,18.31389293932369,7.443517534e-05,Summary1.As1,LUXEMBOURG,1997,Sector
1. Energy,7002.223230960498,1.92106792956325,0.16618330353558,,,Summary1.As1,LUXEMBOURG,1998,Sector
2.  Industrial processes and product use,653.4523593196399,,0.02302708655024,20.91834175529767,7.636022518e-05,Summary1.As1,LUXEMBOURG,1998,Sector
1. Energy,7421.172469041989,1.94335718703642,0.17152438232489,,,Summary1.As1,LUXEMBOURG,1999,Sector
2.  Industrial processes and product use,689.6385885744955,,0.02190842339476,23.89060727315932,8.009900291e-05,Summary1.As1,LUXEMBOURG,1999,Sector
1. Energy,7981.988876126968,1.97361932314463,0.17748705176219,,,Summary1.As1,LUXEMBOURG,2000,Sector
2.  Industrial processes and product use,714.0959341782138,,0.02072710886015,28.33038062645627,8.446102198e-05,Summary1.As1,LUXEMBOURG,2000,Sector
1. Energy,8538.373357672423,2.13207326960632,0.17823914826576,,,Summary1.As1,LUXEMBOURG,2001,Sector
2.  Industrial processes and product use,659.9545719362561,,0.01947830679359,34.86432432891961,0.00011297943749,Summary1.As1,LUXEMBOURG,2001,Sector
1. Energy,9296.084874635622,2.68249333180937,0.17754037493709,,,Summary1.As1,LUXEMBOURG,2002,Sector
2.  Industrial processes and product use,676.5171407819909,,0.01964644710968,37.84290561662344,0.0001395093809,Summary1.As1,LUXEMBOURG,2002,Sector
1. Energy,9821.561757715092,2.69841223743478,0.17727171550345,,,Summary1.As1,LUXEMBOURG,2003,Sector
2.  Industrial processes and product use,623.9294247281991,,0.01910972634939,38.08555100030627,0.00016507415783,Summary1.As1,LUXEMBOURG,2003,Sector
1. Energy,11134.467918026285,2.9351802208945,0.18053613567212,,,Summary1.As1,LUXEMBOURG,2004,Sector
2.  Industrial processes and product use,679.5886735471005,,0.01751054765532,38.26481734367285,0.0001892135597,Summary1.As1,LUXEMBOURG,2004,Sector
1. Energy,11418.61696954029,2.88617052568733,0.18020120450309,,,Summary1.As1,LUXEMBOURG,2005,Sector
2.  Industrial processes and product use,652.1271954306541,,0.01640529785452,36.95364066618648,0.00021425118275,Summary1.As1,LUXEMBOURG,2005,Sector
1. Energy,11200.316975366606,2.96649331938007,0.17979537447059,,,Summary1.As1,LUXEMBOURG,2006,Sector
2.  Industrial processes and product use,702.7938852795627,,0.01741731906498,39.61132811921588,0.00023252482901,Summary1.As1,LUXEMBOURG,2006,Sector
1. Energy,10605.452084774137,2.76939485124873,0.18851920757233,,,Summary1.As1,LUXEMBOURG,2007,Sector
2.  Industrial processes and product use,693.863571290516,,0.01854378632628,43.76590165399258,0.00025103906872,Summary1.As1,LUXEMBOURG,2007,Sector
1. Energy,10523.99059533926,2.68208079107624,0.19814853136158,,,Summary1.As1,LUXEMBOURG,2008,Sector
2.  Industrial processes and product use,641.1310580261095,,0.02008225615647,46.09135343950444,0.000268777378,Summary1.As1,LUXEMBOURG,2008,Sector
1. Energy,10051.63024228136,2.6992041714573,0.19576724612136,,,Summary1.As1,LUXEMBOURG,2009,Sector
2.  Industrial processes and product use,570.0816350766555,,0.01796632115899,47.15639593136106,0.00028625124428,Summary1.As1,LUXEMBOURG,2009,Sector
1. Energy,10596.251446020096,2.86664041494012,0.2132940950894,,,Summary1.As1,LUXEMBOURG,2010,Sector
2.  Industrial processes and product use,593.3412250837088,,0.01428741776611,49.24676413837597,0.0003027300676,Summary1.As1,LUXEMBOURG,2010,Sector
1. Energy,10490.89644805546,2.49801634112736,0.23180452357863,,,Summary1.As1,LUXEMBOURG,2011,Sector
