GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10186.135182595295,,,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
                                           Sectoral approach(2),10211.016435520178,1.14695098362386,0.11775103318183,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
1.  Energy industries,32.45546850159795,0.03735695016223,0.00498092668829,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,6229.342576208876,0.15686068933289,0.04059745844957,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
3.  Transport,2603.1360282769606,0.50012748857284,0.05217459194819,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
4.  Other sectors,1342.9583276498822,0.4523713757837,0.01994797499307,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
5.  Other,3.12403488286118,0.0002344797722,5.008110271e-05,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02623969523835,0.78292782985349,,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02623969523835,0.78292782985349,,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
A.  Mineral industry,592.9263556351742,,,,,Summary1.As1,LUXEMBOURG,1990,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,20.54367875467367,,,,,Summary1.As1,LUXEMBOURG,1990,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,6.5e-05,,Summary1.As1,LUXEMBOURG,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.03159313799065,,3.843027547e-05,Summary1.As1,LUXEMBOURG,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),10907.179017284445,,,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
                                           Sectoral approach(2),10906.911940576052,1.23219270162375,0.13650210217717,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
1.  Energy industries,33.9575922451024,0.03908592726268,0.00521145696836,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,6057.596145583693,0.15236435211719,0.04259290333781,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
3.  Transport,3204.918087922986,0.54146176184166,0.06699369940314,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
4.  Other sectors,1607.3131821428597,0.49904622316928,0.02165396136515,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
5.  Other,3.12693268141138,0.00023443723294,5.008110271e-05,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02723444924295,0.81221648235189,,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02723444924295,0.81221648235189,,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
A.  Mineral industry,563.6323025902283,,,,,Summary1.As1,LUXEMBOURG,1991,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,20.08857714328736,,,,,Summary1.As1,LUXEMBOURG,1991,Subsector,2.  Industrial processes and product use
