GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10491.948127298032,,,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
                                           Sectoral approach(2),10490.83324581483,0.60837617960943,0.23180452357863,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
1.  Energy industries,1007.0323761485439,0.07178088861891,0.0090192200151,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1282.087853763087,0.08579977764338,0.03723821992478,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
3.  Transport,6818.995755604694,0.11112941782765,0.17039788578398,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
4.  Other sectors,1382.5985087243885,0.33966389079062,0.01512883584748,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
5.  Other,0.11875157411699,2.20472887e-06,2.036200729e-05,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
B. Fugitive emissions from fuels,0.06320224062774,1.88964016151793,,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.06320224062774,1.88964016151793,,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
A.  Mineral industry,450.0313120768833,,,,,Summary1.As1,LUXEMBOURG,2011,Subsector,1. Energy
