GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,2421.883686398596,0.17945548687024,0.0303093110806,,Summary1.As1,MALTA,1990,Sector,,
2.  Industrial processes and product use,5.14299464754956,,0.00886767406106,4.66e-07,Summary1.As1,MALTA,1990,Sector,,
1. Energy,2266.1081094387787,0.18103895548797,0.02839513203737,,Summary1.As1,MALTA,1991,Sector,,
2.  Industrial processes and product use,5.36521954649408,,0.00887679429411,4.66e-07,Summary1.As1,MALTA,1991,Sector,,
1. Energy,2288.270407354689,0.17927136295661,0.03060159872397,,Summary1.As1,MALTA,1992,Sector,,
2.  Industrial processes and product use,4.95608683931856,,0.00888544591721,6.2586e-05,Summary1.As1,MALTA,1992,Sector,,
1. Energy,2880.224732946428,0.19955790720074,0.03750445327758,,Summary1.As1,MALTA,1993,Sector,,
2.  Industrial processes and product use,4.99281988159286,,0.00889417289467,6.2586e-05,Summary1.As1,MALTA,1993,Sector,,
1. Energy,2652.700856559887,0.20408903091859,0.03437162174026,,Summary1.As1,MALTA,1994,Sector,,
2.  Industrial processes and product use,5.27383222006781,,0.00890187787855,6.2781e-05,Summary1.As1,MALTA,1994,Sector,0.000858,
1. Energy,2446.529098953996,0.20767445504548,0.03022737949283,,Summary1.As1,MALTA,1995,Sector,,
2.  Industrial processes and product use,5.22684682171189,,0.0089065192365,6.2996e-05,Summary1.As1,MALTA,1995,Sector,0.001713426,
1. Energy,2528.5715807541337,0.21364157441172,0.0306655296058,,Summary1.As1,MALTA,1996,Sector,,
2.  Industrial processes and product use,5.00512697918553,,0.0089135860631,6.3476e-05,Summary1.As1,MALTA,1996,Sector,0.002566285722,
1. Energy,2550.662726199165,0.21698418125023,0.03124588197587,,Summary1.As1,MALTA,1997,Sector,,
2.  Industrial processes and product use,5.21605779042725,,0.00892011128019,6.3476e-05,Summary1.As1,MALTA,1997,Sector,0.00427458686483,
1. Energy,2519.9741912872505,0.20760323169182,0.03115866488349,,Summary1.As1,MALTA,1998,Sector,,
2.  Industrial processes and product use,4.61671502075535,,0.00892534134413,6.4266e-05,Summary1.As1,MALTA,1998,Sector,0.00683576310424,
1. Energy,2568.708435905349,0.20316560015878,0.0320556231426,,Summary1.As1,MALTA,1999,Sector,,
2.  Industrial processes and product use,3.81150402888401,,0.00969045899379,6.4266e-05,Summary1.As1,MALTA,1999,Sector,0.01024725581493,
1. Energy,2464.1312407530304,0.19318207238934,0.03137017036318,,Summary1.As1,MALTA,2000,Sector,,
2.  Industrial processes and product use,3.67686711302326,,0.01062171340614,6.4436e-05,Summary1.As1,MALTA,2000,Sector,4.63222913176748,
1. Energy,2732.3460770469724,0.19000943258579,0.03298041372935,,Summary1.As1,MALTA,2001,Sector,,
2.  Industrial processes and product use,3.86721587865003,,0.00842931006811,6.533616e-05,Summary1.As1,MALTA,2001,Sector,8.79596624698752,
1. Energy,2743.1027785787123,0.18567376998171,0.03317543234983,,Summary1.As1,MALTA,2002,Sector,,
2.  Industrial processes and product use,3.77859199677078,,0.00918556212563,6.5596677e-05,Summary1.As1,MALTA,2002,Sector,12.20358451908474,
1. Energy,2956.834855879272,0.19153711329198,0.03509829273559,,Summary1.As1,MALTA,2003,Sector,,
2.  Industrial processes and product use,3.65292725732256,,0.00862161637794,9.0419262e-05,Summary1.As1,MALTA,2003,Sector,13.5619285973507,
1. Energy,2845.2259473063336,0.18375882036522,0.03386592297282,,Summary1.As1,MALTA,2004,Sector,,
2.  Industrial processes and product use,3.51446641433601,,0.00859821223975,6.7710778e-05,Summary1.As1,MALTA,2004,Sector,20.54540266410763,
1. Energy,2652.6730794360387,0.17000718221297,0.03540314078995,,Summary1.As1,MALTA,2005,Sector,,
2.  Industrial processes and product use,3.66931276352232,,0.00824370133432,6.8621294e-05,Summary1.As1,MALTA,2005,Sector,35.18244795465304,
1. Energy,2662.9433282928085,0.16595829790668,0.03420089491195,,Summary1.As1,MALTA,2006,Sector,,
2.  Industrial processes and product use,4.22508305911518,,0.00749515426068,7.3063994e-05,Summary1.As1,MALTA,2006,Sector,72.5666172181664,
1. Energy,2727.741263799081,0.16803128999405,0.03589401140922,,Summary1.As1,MALTA,2007,Sector,,
2.  Industrial processes and product use,3.38163725673853,,0.00971437255049,7.3420614e-05,Summary1.As1,MALTA,2007,Sector,89.78704118389432,1.1125e-06
1. Energy,2686.4598124396407,0.16375999209205,0.03256939208914,,Summary1.As1,MALTA,2008,Sector,,
2.  Industrial processes and product use,3.61999642256221,,0.00774765837571,8.0713079e-05,Summary1.As1,MALTA,2008,Sector,105.43819181727262,1.1125e-06
1. Energy,2521.9042485969967,0.15319182024797,0.02999534427228,,Summary1.As1,MALTA,2009,Sector,,
2.  Industrial processes and product use,3.96157166295508,,0.0061365606847,6.9653079e-05,Summary1.As1,MALTA,2009,Sector,122.22743103311566,1.1125e-06
1. Energy,2598.654487922792,0.16556868748086,0.03229505262844,,Summary1.As1,MALTA,2010,Sector,,
2.  Industrial processes and product use,3.61794537138438,,0.00513442602532,7.8333079e-05,Summary1.As1,MALTA,2010,Sector,134.79714769524196,1.1125e-06
1. Energy,2579.1426835604098,0.15694326505006,0.030740311216,,Summary1.As1,MALTA,2011,Sector,,
2.  Industrial processes and product use,4.08400003495422,,0.00520724731009,0.000205503079,Summary1.As1,MALTA,2011,Sector,157.5756651155409,1.1125e-06
1. Energy,2711.1808080727865,0.16231559919008,0.03055475097625,,Summary1.As1,MALTA,2012,Sector,,
2.  Industrial processes and product use,5.24693339627632,,0.00713893430122,2.3803079e-05,Summary1.As1,MALTA,2012,Sector,189.64187152873615,1.1125e-06
1. Energy,2367.593225752028,0.14671778377329,0.0269541313705,,Summary1.As1,MALTA,2013,Sector,,
2.  Industrial processes and product use,11.19475002144919,,0.00485121790866,0.000121403079,Summary1.As1,MALTA,2013,Sector,200.8301603138568,1.1125e-06
1. Energy,2352.742658032665,0.1469923770173,0.02705504956701,,Summary1.As1,MALTA,2014,Sector,,
2.  Industrial processes and product use,11.02988488056406,,0.00295539488588,2.9643079e-05,Summary1.As1,MALTA,2014,Sector,211.74057073882105,1.1125e-06
1. Energy,1655.095435931448,0.12059866060263,0.0217608164175,,Summary1.As1,MALTA,2015,Sector,,
2.  Industrial processes and product use,9.6270173090187,,0.00221264801764,1.2293079e-05,Summary1.As1,MALTA,2015,Sector,219.9914327999731,1.1125e-06
1. Energy,1348.2752852664116,0.10434484456828,0.01931952666324,,Summary1.As1,MALTA,2016,Sector,,
2.  Industrial processes and product use,7.49893972533209,,0.00671591838765,6.043079e-06,Summary1.As1,MALTA,2016,Sector,234.2052456988522,1.1125e-06
1. Energy,1525.4771774545209,0.09726217985714,0.0193817053192,,Summary1.As1,MALTA,2017,Sector,,
2.  Industrial processes and product use,4.85361166415844,,0.00265619209538,4.3343079e-05,Summary1.As1,MALTA,2017,Sector,244.0053121636017,1.1125e-06
1. Energy,1540.7802065110145,0.08985065787841,0.01996986839774,,Summary1.As1,MALTA,2018,Sector,,
2.  Industrial processes and product use,5.39967509566984,,0.00308224454101,1.3093079e-05,Summary1.As1,MALTA,2018,Sector,231.37158994759025,1.1125e-06
1. Energy,1643.4840896344365,0.09791946887019,0.0223725495127,,Summary1.As1,MALTA,2019,Sector,,
2.  Industrial processes and product use,4.72587249405415,,0.00465170761753,1.4383079e-05,Summary1.As1,MALTA,2019,Sector,220.70794937009927,1.1125e-06
1. Energy,1592.102108117765,0.09052250549009,0.01872727375932,,Summary1.As1,MALTA,2020,Sector,,
