GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),2307.5104433333354,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),2421.883686398596,0.17945548687024,0.0303093110806,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
1.  Energy industries,1758.5150999999998,0.048297,0.0194094,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,52.6675873484455,0.00199928610662,0.00039120332465,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
3.  Transport,346.2184633968452,0.09652709357635,0.00818734424745,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
4.  Other sectors,263.68617388656304,0.03258967326684,0.00229927771676,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
5.  Other,0.79636176674228,4.243392043e-05,2.208579174e-05,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
A.  Mineral industry,1.43588205,,,,Summary1.As1,MALTA,1990,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.53830384754956,,,,Summary1.As1,MALTA,1990,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.00886767406106,4.66e-07,Summary1.As1,MALTA,1990,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2208.1369566666685,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),2266.1081094387787,0.18103895548797,0.02839513203737,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
1.  Energy industries,1599.0504600000002,0.0459492,0.01708734,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,54.6074358811108,0.00208193765859,0.00040782066084,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
3.  Transport,366.3264177823309,0.10300223549749,0.00870052574151,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
4.  Other sectors,245.4436224091128,0.02996955829709,0.00218056667057,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
5.  Other,0.68017336622413,3.60240348e-05,1.887896445e-05,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
A.  Mineral industry,1.501181055,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.52642099149408,,,,Summary1.As1,MALTA,1991,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.00887679429411,4.66e-07,Summary1.As1,MALTA,1991,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2170.061593333335,,,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
                                           Sectoral approach(2),2288.270407354689,0.17927136295661,0.03060159872397,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
1.  Energy industries,1536.2549800000002,0.0459496,0.01585242,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,63.4870935175828,0.00243466225464,0.00047833986857,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
3.  Transport,390.4324350536867,0.0942784183721,0.01149475148958,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
4.  Other sectors,297.2794545662071,0.03656730789881,0.00275343790948,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
5.  Other,0.81644421721218,4.137443106e-05,2.264945634e-05,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
A.  Mineral industry,1.27411007,,,,Summary1.As1,MALTA,1992,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.51441926931856,,,,Summary1.As1,MALTA,1992,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.00888544591721,6.2586e-05,Summary1.As1,MALTA,1992,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2803.831616666669,,,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
                                           Sectoral approach(2),2880.224732946428,0.19955790720074,0.03750445327758,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
1.  Energy industries,2101.82796,0.0615432,0.02205864,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,65.163079753376,0.0025034891903,0.00049239988201,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
3.  Transport,411.4812817119833,0.09839775278644,0.01216723391867,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
4.  Other sectors,300.8806096672142,0.03706693550564,0.00276200125871,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
5.  Other,0.87180181385466,4.652971836e-05,2.417821819e-05,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
