GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,2419.096268312779,4.99143575227446,0.2247685516092,4.66e-07,Summary1.As1,MALTA,1990,Total,,
Total national emissions and removals,2263.3055415880035,5.3152170909934,0.22527915869059,4.66e-07,Summary1.As1,MALTA,1991,Total,,
Total national emissions and removals,2288.2939222829755,5.60782857698791,0.2312732444804,6.2586e-05,Summary1.As1,MALTA,1992,Total,,
Total national emissions and removals,2880.447832187995,5.89043776900356,0.24185285538166,6.2586e-05,Summary1.As1,MALTA,1993,Total,,
Total national emissions and removals,2653.537426385677,6.10625346451001,0.24007708826053,6.2781e-05,Summary1.As1,MALTA,1994,Total,0.000858,
Total national emissions and removals,2447.8357596685137,6.27419359629923,0.23419576384446,6.2996e-05,Summary1.As1,MALTA,1995,Total,0.001713426,
Total national emissions and removals,2529.625708392646,6.61899407865017,0.23139641897028,6.3476e-05,Summary1.As1,MALTA,1996,Total,0.002566285722,
Total national emissions and removals,2551.7008738696245,6.90570211897733,0.23649353042161,6.3476e-05,Summary1.As1,MALTA,1997,Total,0.00427458686483,
Total national emissions and removals,2520.609387161912,7.111298217711,0.23542187207775,6.4266e-05,Summary1.As1,MALTA,1998,Total,0.00683576310424,
Total national emissions and removals,2567.758095112845,7.42365074045017,0.238172364009,6.4266e-05,Summary1.As1,MALTA,1999,Total,0.01024725581493,
Total national emissions and removals,2462.948250066233,7.60475581649787,0.23678146380774,6.4436e-05,Summary1.As1,MALTA,2000,Total,4.63222913176748,
Total national emissions and removals,2733.926480483022,7.76457183834451,0.23363212393108,6.533616e-05,Summary1.As1,MALTA,2001,Total,8.79596624698752,
Total national emissions and removals,2768.2977666570364,8.03042313792468,0.23095225550248,6.5596677e-05,Summary1.As1,MALTA,2002,Total,12.20358451908474,
Total national emissions and removals,2981.883199512432,8.28102608637258,0.22980434028774,9.0419262e-05,Summary1.As1,MALTA,2003,Total,13.5619285973507,
Total national emissions and removals,2848.5040676303515,8.69783105277377,0.23246694898817,6.7710778e-05,Summary1.As1,MALTA,2004,Total,20.54540266410763,
Total national emissions and removals,2655.9074351724767,8.76853241857619,0.22245211811158,6.8621294e-05,Summary1.As1,MALTA,2005,Total,35.18244795465304,
Total national emissions and removals,2665.5417487661007,9.0059423894746,0.22095777333318,7.3063994e-05,Summary1.As1,MALTA,2006,Total,72.5666172181664,
Total national emissions and removals,2729.7399504542186,9.19958453683725,0.22467206465241,7.3420614e-05,Summary1.As1,MALTA,2007,Total,89.78704118389432,1.1125e-06
Total national emissions and removals,2702.1977189506338,5.89262902780576,0.21648630277986,8.0713079e-05,Summary1.As1,MALTA,2008,Total,105.43819181727262,1.1125e-06
Total national emissions and removals,2537.543818464854,6.43003322524975,0.20847320180017,6.9653079e-05,Summary1.As1,MALTA,2009,Total,122.22743103311566,1.1125e-06
Total national emissions and removals,2613.806652747744,5.9311542284158,0.2151477801733,7.8333079e-05,Summary1.As1,MALTA,2010,Total,134.79714769524196,1.1125e-06
Total national emissions and removals,2581.764073051301,5.85685345603651,0.19217699798104,0.000205503079,Summary1.As1,MALTA,2011,Total,157.5756651155409,1.1125e-06
Total national emissions and removals,2715.0870040155296,6.01585665281294,0.19153665030451,2.3803079e-05,Summary1.As1,MALTA,2012,Total,189.64187152873615,1.1125e-06
Total national emissions and removals,2377.4795997579936,5.93446786056438,0.18951254803185,0.000121403079,Summary1.As1,MALTA,2013,Total,200.8301603138568,1.1125e-06
Total national emissions and removals,2360.084444440007,6.40536487218126,0.19306565849725,2.9643079e-05,Summary1.As1,MALTA,2014,Total,211.74057073882105,1.1125e-06
Total national emissions and removals,1661.328461452718,6.87737191276475,0.19311561782378,1.2293079e-05,Summary1.As1,MALTA,2015,Total,219.9914327999731,1.1125e-06
Total national emissions and removals,1352.3513373226083,7.29974019854454,0.19648489866155,6.043079e-06,Summary1.As1,MALTA,2016,Total,234.2052456988522,1.1125e-06
Total national emissions and removals,1531.751407243004,7.18293870051807,0.19451462414141,4.3343079e-05,Summary1.As1,MALTA,2017,Total,244.0053121636017,1.1125e-06
Total national emissions and removals,1546.9826196734832,7.47937867327303,0.18914444631526,1.3093079e-05,Summary1.As1,MALTA,2018,Total,231.37158994759025,1.1125e-06
Total national emissions and removals,1654.1101033844025,8.02947865907905,0.2100394531809,1.4383079e-05,Summary1.As1,MALTA,2019,Total,220.70794937009927,1.1125e-06
Total national emissions and removals,1604.8971733156543,8.30559468606959,0.21541357651688,1.7633079e-05,Summary1.As1,MALTA,2020,Total,225.1871250362185,1.1125e-06
Total national emissions and removals,1606.783642444453,8.63220898351809,0.21338407224703,1.7633079e-05,Summary1.As1,MALTA,2021,Total,228.800901781676,0.0095915125
