GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2208.1369566666685,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy
                                           Sectoral approach(2),2266.1081094387787,0.18103895548797,0.02839513203737,,Summary1.As1,MALTA,1991,Subsector,1. Energy
1.  Energy industries,1599.0504600000002,0.0459492,0.01708734,,Summary1.As1,MALTA,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,54.6074358811108,0.00208193765859,0.00040782066084,,Summary1.As1,MALTA,1991,Subsector,1. Energy
3.  Transport,366.32641778233085,0.10300223549749,0.00870052574151,,Summary1.As1,MALTA,1991,Subsector,1. Energy
4.  Other sectors,245.4436224091128,0.02996955829709,0.00218056667057,,Summary1.As1,MALTA,1991,Subsector,1. Energy
5.  Other,0.68017336622413,3.60240348e-05,1.887896445e-05,,Summary1.As1,MALTA,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy
A.  Mineral industry,1.501181055,,,,Summary1.As1,MALTA,1991,Subsector,1. Energy
