GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2177.484980000002,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
                                           Sectoral approach(2),2528.5715807541337,0.21364157441172,0.0306655296058,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
1.  Energy industries,1646.9765399999999,0.0640398,0.01280796,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,75.9605829658725,0.00294452185972,0.00058082239396,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
3.  Transport,465.1807040289687,0.10420791061161,0.01383034280098,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
4.  Other sectors,339.3335923168244,0.04238977210185,0.00341542959107,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
5.  Other,1.1201614424681,5.956983854e-05,3.097481979e-05,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
A.  Mineral industry,1.400338,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy
