GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),2595.9864333333358,,,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
                                           Sectoral approach(2),2598.6544879227918,0.16556868748086,0.03229505262844,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
1.  Energy industries,1861.9988999999998,0.072627,0.0145254,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,30.7538,0.00107,0.0002048,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
3.  Transport,573.4852379014586,0.0643298996557,0.01265032306004,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
4.  Other sectors,130.4072962604,0.02739392131152,0.00485953339277,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
5.  Other,2.00925376093323,0.00014786651364,5.499617563e-05,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
B. Fugitive emissions from fuels,,,,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,,,,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
A.  Mineral industry,0.18457584,,,,,,Summary1.As1,MALTA,2010,Subsector,1. Energy
