GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,97.90864906359664,0.08272786667498,0.00545999053393,,Summary1.As1,MONACCO,1990,Sector,,
2.  Industrial processes and product use,0.03933476166977,1.393311163e-05,8.160869641e-05,3.5995201e-06,Summary1.As1,MONACCO,1990,Sector,,
1. Energy,98.57943477553708,0.07635076839134,0.00650443182276,,Summary1.As1,MONACCO,1991,Sector,,
2.  Industrial processes and product use,0.04485533044799,1.591735587e-05,8.186733171e-05,3.60765553e-06,Summary1.As1,MONACCO,1991,Sector,0.03767685094829,
1. Energy,104.17595356244009,0.0702286133858,0.00699702042247,,Summary1.As1,MONACCO,1992,Sector,,
2.  Industrial processes and product use,0.05183398038205,1.823321205e-05,8.218996716e-05,3.84987705e-06,Summary1.As1,MONACCO,1992,Sector,0.07907383932256,
1. Energy,103.26951271756246,0.05810135246891,0.00745047208199,,Summary1.As1,MONACCO,1993,Sector,,
2.  Industrial processes and product use,0.04862461204902,1.694456679e-05,8.205682583e-05,3.90348709e-06,Summary1.As1,MONACCO,1993,Sector,0.30891842009791,
1. Energy,104.0767078046588,0.04811381429267,0.00771710778604,,Summary1.As1,MONACCO,1994,Sector,,
2.  Industrial processes and product use,0.05153862178176,1.80945367e-05,8.219055925e-05,3.91209388e-06,Summary1.As1,MONACCO,1994,Sector,0.3731735725067,
1. Energy,100.8557526771109,0.04171812802026,0.00762604141179,,Summary1.As1,MONACCO,1995,Sector,,
2.  Industrial processes and product use,0.05056819242287,1.751390741e-05,8.215165765e-05,3.91815791e-06,Summary1.As1,MONACCO,1995,Sector,0.42518024593717,
1. Energy,104.35186116135992,0.04173246472233,0.00790032431492,,Summary1.As1,MONACCO,1996,Sector,,
2.  Industrial processes and product use,0.05116549353985,1.737405909e-05,8.219017585e-05,3.9300086e-06,Summary1.As1,MONACCO,1996,Sector,0.58154778661486,
1. Energy,102.85061629332444,0.04088669977183,0.00830971646985,,Summary1.As1,MONACCO,1997,Sector,,
2.  Industrial processes and product use,0.04874266929852,1.635832876e-05,8.207887491e-05,3.93920796e-06,Summary1.As1,MONACCO,1997,Sector,0.73779668451782,
1. Energy,101.67199492868976,0.04039630222862,0.0080445586793,,Summary1.As1,MONACCO,1998,Sector,,
2.  Industrial processes and product use,0.04837071362515,1.601652274e-05,8.207064843e-05,3.9444012e-06,Summary1.As1,MONACCO,1998,Sector,1.05475285353583,
1. Energy,102.38474429864463,0.0405727794936,0.00800309727192,,Summary1.As1,MONACCO,1999,Sector,,
