GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),96.74385808576488,,,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
                                           Sectoral approach(2),97.90351696159664,0.01190811137498,0.00545999053393,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
1.  Energy industries,17.04882724563133,2.376422137e-05,0.00244621498851,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.57724479835963,0.00015760314432,0.00098701916252,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
3.  Transport,34.45142861020944,0.01120860364376,0.0016069793649,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
4.  Other sectors,42.82601630739624,0.00051814036553,0.000419777018,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.005132102,0.0708197553,,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.005132102,0.0708197553,,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.03933476166977,1.393311163e-05,1.82745668e-06,,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
G.  Other product manufacture and use ,,,7.978123973e-05,3.5995201e-06,Summary1.As1,MONACCO,1990,Subsector,1. Energy,,
A. Fuel combustion     Reference approach(2),97.2240165731072,,,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
                                           Sectoral approach(2),98.57510748353708,0.01347742539134,0.00650443182276,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
1.  Energy industries,16.31481608288987,4.198438346e-05,0.0032771136003,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.68442280067235,0.00015977583411,0.00098923462393,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
3.  Transport,39.2480243493584,0.01277886456976,0.00183310886209,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
4.  Other sectors,39.32784425061646,0.00049680060401,0.00040497473644,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.004327292,0.062873343,,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.004327292,0.062873343,,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04485533044799,1.591735587e-05,2.08609198e-06,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1991,Subsector,1. Energy,0.03767685094829,
A. Fuel combustion     Reference approach(2),102.64317406350274,,,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
                                           Sectoral approach(2),104.17243108044006,0.0153016826858,0.00699702042247,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
1.  Energy industries,17.98503495091635,4.272308008e-05,0.00352106116653,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.6284100160708,0.0001588423184,0.0009883110758,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
3.  Transport,44.82558076358824,0.01462085795269,0.00210031453925,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
4.  Other sectors,37.73340534986468,0.00047925933463,0.00038733364089,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.003522482,0.0549269307,,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.003522482,0.0549269307,,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.05183398038205,1.823321205e-05,2.40872743e-06,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,1992,Subsector,1. Energy,0.07907383932256,
A. Fuel combustion     Reference approach(2),101.90159901935236,,,,Summary1.As1,MONACCO,1993,Subsector,1. Energy,,
                                           Sectoral approach(2),103.26708677556248,0.01423982996891,0.00745047208199,,Summary1.As1,MONACCO,1993,Subsector,1. Energy,,
1.  Energy industries,19.88210987631327,5.708517488e-05,0.00409651334558,,Summary1.As1,MONACCO,1993,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.60655954559135,0.00015844040751,0.00098790701228,,Summary1.As1,MONACCO,1993,Subsector,1. Energy,,
3.  Transport,41.99101008348069,0.01354365035784,0.00198079921837,,Summary1.As1,MONACCO,1993,Subsector,1. Energy,,
