GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
Total national emissions and removals,97.82440898209478,0.08798703312564,0.00752141510205,3.5995201e-06,Summary1.As1,MONACCO,1990,Total,,
Total national emissions and removals,98.5004138383675,0.08161191908624,0.00852057591958,3.60765553e-06,Summary1.As1,MONACCO,1991,Total,0.03767685094829,
Total national emissions and removals,104.10166851154278,0.07549227222868,0.00901501597445,3.84987705e-06,Summary1.As1,MONACCO,1992,Total,0.07907383932256,
Total national emissions and removals,103.19138453138574,0.06336353037473,0.00946262674233,3.90348709e-06,Summary1.As1,MONACCO,1993,Total,0.30891842009791,
Total national emissions and removals,103.9985927705999,0.0533771421684,0.00969773781802,3.91209388e-06,Summary1.As1,MONACCO,1994,Total,0.3731735725067,
Total national emissions and removals,100.7765979789794,0.04853137538158,0.0094460700506,3.91815791e-06,Summary1.As1,MONACCO,1995,Total,0.42518024593717,
Total national emissions and removals,104.27603714171754,0.04881614666039,0.0098899673479,3.9300086e-06,Summary1.As1,MONACCO,1996,Total,0.58154778661486,
Total national emissions and removals,102.77503818784372,0.04343865678467,0.01024313325271,3.93920796e-06,Summary1.As1,MONACCO,1997,Total,0.73779668451782,
Total national emissions and removals,101.5995726395903,0.0454369052503,0.00992985959174,3.9444012e-06,Summary1.As1,MONACCO,1998,Total,1.05475285353583,
Total national emissions and removals,102.3159260018052,0.05564406281254,0.00992755952205,3.95245243e-06,Summary1.As1,MONACCO,1999,Total,1.29513794771932,
Total national emissions and removals,99.87089287042124,0.05858769143964,0.01065030658832,3.95761149e-06,Summary1.As1,MONACCO,2000,Total,1.58687989813171,
Total national emissions and removals,99.53253962186616,0.05184569438607,0.01117730313026,3.96274791e-06,Summary1.As1,MONACCO,2001,Total,2.33428264566797,0.04614558
Total national emissions and removals,99.27289402186466,0.05316809540548,0.01072869248963,3.9684454e-06,Summary1.As1,MONACCO,2002,Total,3.05683796688321,0.0723177
Total national emissions and removals,96.5638625873115,0.05124762846732,0.01027261792269,4.00018693e-06,Summary1.As1,MONACCO,2003,Total,2.96859309234351,0.03994692
Total national emissions and removals,91.43379127106648,0.06370576568642,0.00981175974561,3.77548109e-06,Summary1.As1,MONACCO,2004,Total,2.79340677985755,0.00484767
Total national emissions and removals,89.27487778356414,0.06961851121848,0.00940636288975,3.77576688e-06,Summary1.As1,MONACCO,2005,Total,3.67177299211127,0.07989384
Total national emissions and removals,83.55885373305712,0.07814474602045,0.01018838744442,3.79064294e-06,Summary1.As1,MONACCO,2006,Total,4.52576114991456,0.09001302
Total national emissions and removals,82.22615397598112,0.07416830086176,0.01312370530307,3.80021945e-06,Summary1.As1,MONACCO,2007,Total,4.8736942916683,0.0807945
Total national emissions and removals,81.85030443648157,0.07581864907269,0.01289487066329,3.80143092e-06,Summary1.As1,MONACCO,2008,Total,6.02198745343972,0.02002644
Total national emissions and removals,78.78808195257633,0.04070903087247,0.01377858495494,3.80541635e-06,Summary1.As1,MONACCO,2009,Total,5.93211274592579,0.1287414
Total national emissions and removals,76.30366986719885,0.05012815984679,0.01382978111711,3.80761749e-06,Summary1.As1,MONACCO,2010,Total,5.88135623950686,0.03003966
Total national emissions and removals,74.43824493905387,0.04631935930737,0.01336534971527,3.810385e-06,Summary1.As1,MONACCO,2011,Total,6.5163454110894,0.03003966
Total national emissions and removals,77.55421118393795,0.05202379471927,0.01328467997815,3.82282716e-06,Summary1.As1,MONACCO,2012,Total,6.1542047331265,
Total national emissions and removals,78.31770361521842,0.0507810635666,0.01371198769731,3.78857791e-06,Summary1.As1,MONACCO,2013,Total,7.26308847617979,0.030611844
Total national emissions and removals,73.47146979135498,0.05235257614913,0.01247542052214,3.82834241e-06,Summary1.As1,MONACCO,2014,Total,6.53590513435144,0.0095364
Total national emissions and removals,75.83910319150996,0.05421738430005,0.01236925495034,3.84067136e-06,Summary1.As1,MONACCO,2015,Total,7.28940689378718,
Total national emissions and removals,74.25021371589251,0.0533318418789,0.01150573547843,4.95976554e-06,Summary1.As1,MONACCO,2016,Total,7.23132557551563,0.01001322
Total national emissions and removals,72.67209161959396,0.05424209696404,0.00979597096652,4.96736e-06,Summary1.As1,MONACCO,2017,Total,6.2009739024228,0.009894015
Total national emissions and removals,74.36796685771635,0.05338486919447,0.01056844996121,5.44214291e-06,Summary1.As1,MONACCO,2018,Total,7.62579342220342,0.000357615
Total national emissions and removals,71.1548477856802,0.04309090974408,0.0098291382262,5.42266136e-06,Summary1.As1,MONACCO,2019,Total,7.7720225714799,0.000357615
Total national emissions and removals,60.45677738917386,0.02879659625372,0.00925454506968,5.42809519e-06,Summary1.As1,MONACCO,2020,Total,5.63628839312667,
Total national emissions and removals,64.34030151509339,0.02646254606924,0.00957334307375,5.45285191e-06,Summary1.As1,MONACCO,2021,Total,5.58085290571414,0.000596025
