GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),98.89176907783086,,,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
                                           Sectoral approach(2),99.93832919390084,0.0120347058121,0.00812101934186,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
1.  Energy industries,25.64774598161312,6.042147056e-05,0.00498182800196,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3.66435255095617,0.00015973559651,0.00098924693836,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
3.  Transport,37.26711863096542,0.01138431976039,0.00179019881489,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
4.  Other sectors,33.35911203036613,0.00043022898464,0.00035974558665,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,0.000690912,0.0265627386,,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.000690912,0.0265627386,,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,0.04692283607296,1.54690442e-05,2.22675682e-06,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,1.58687989813171,,Summary1.As1,MONACCO,2000,Subsector,1. Energy
