GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,156225.77533262552,113.8347993514897,1.17538568694767,,,,Summary1.As1,NETHERLANDS,1990,Sector
2.  Industrial processes and product use,6254.666180064222,12.84765743971391,24.47692267071552,4697.1944,2397.34415299622,0.009066,Summary1.As1,NETHERLANDS,1990,Sector
1. Energy,164540.335521581,117.11172013381892,1.24078435684419,,,,Summary1.As1,NETHERLANDS,1991,Sector
2.  Industrial processes and product use,6419.489373895657,12.85652945805133,24.48905064139375,3658.062,2376.4612209456527,0.005514,Summary1.As1,NETHERLANDS,1991,Sector
1. Energy,164398.1107739241,116.3444365586785,1.34299905249231,,,,Summary1.As1,NETHERLANDS,1992,Sector
2.  Industrial processes and product use,6375.405273847683,12.83101062153074,24.67867204342003,4711.904488,2163.335143087501,0.005879,Summary1.As1,NETHERLANDS,1992,Sector
1. Energy,164402.91193421083,118.7675190902495,1.50927170803875,,,,Summary1.As1,NETHERLANDS,1993,Sector
2.  Industrial processes and product use,6322.248938645464,12.69176407724239,26.26874149637346,5295.16282,2190.1243635506257,0.006151,Summary1.As1,NETHERLANDS,1993,Sector
1. Energy,164892.36333102317,119.52570102840448,1.60908661946528,,,,Summary1.As1,NETHERLANDS,1994,Sector
2.  Industrial processes and product use,6655.569348944286,12.73372612498548,25.70578392190204,6852.211113462158,2107.91476858322,0.007871,Summary1.As1,NETHERLANDS,1994,Sector
1. Energy,166496.20948665243,123.56233726487436,1.74323447795062,,,,Summary1.As1,NETHERLANDS,1995,Sector
2.  Industrial processes and product use,6603.969528387783,12.76515592278646,24.44849807604001,6342.805161116366,2054.1727188707027,0.011213,Summary1.As1,NETHERLANDS,1995,Sector
1. Energy,175975.99136010493,126.59652007876362,1.86372864415614,,,,Summary1.As1,NETHERLANDS,1996,Sector
2.  Industrial processes and product use,6207.031233891056,12.71227052800028,24.47451946496272,8078.705041719661,2284.448939916118,0.011424,Summary1.As1,NETHERLANDS,1996,Sector
1. Energy,168540.1385918622,99.5398499960586,1.84974833698184,,,,Summary1.As1,NETHERLANDS,1997,Sector
2.  Industrial processes and product use,6632.615267926258,12.71182081776616,24.22142884063724,8614.848800348555,2493.839163189047,0.012424,Summary1.As1,NETHERLANDS,1997,Sector
1. Energy,169442.7501544084,95.0518836287864,1.87608567736318,,,,Summary1.As1,NETHERLANDS,1998,Sector
2.  Industrial processes and product use,6688.991866618441,12.70802301251064,24.26252568701353,9756.27010732723,1964.734864195415,0.011207,Summary1.As1,NETHERLANDS,1998,Sector
1. Energy,164169.7032121364,86.7596213674885,1.82204352624137,,,,Summary1.As1,NETHERLANDS,1999,Sector
2.  Industrial processes and product use,6598.4492107597725,13.30295407214528,23.12291942761891,5079.486919652918,1599.02656901511,0.010534,Summary1.As1,NETHERLANDS,1999,Sector
1. Energy,165281.2368386221,82.6849459809533,1.87328720888939,,,,Summary1.As1,NETHERLANDS,2000,Sector
2.  Industrial processes and product use,6635.1454016714015,13.3045534144444,23.59657810354948,4029.0373272189695,1723.171118661835,0.009984,Summary1.As1,NETHERLANDS,2000,Sector
1. Energy,170771.1459185456,81.92778407757207,1.9075007857237,,,,Summary1.As1,NETHERLANDS,2001,Sector
2.  Industrial processes and product use,6290.598575437169,13.24851512025994,21.49109555172584,1665.8843141221962,1625.318781982158,0.010467,Summary1.As1,NETHERLANDS,2001,Sector
1. Energy,170253.92690586025,78.77159013945257,1.91617561743236,,,,Summary1.As1,NETHERLANDS,2002,Sector
2.  Industrial processes and product use,6124.050239789557,14.65219686387387,20.56260357747489,1424.718512724777,2362.468310978477,0.008056,Summary1.As1,NETHERLANDS,2002,Sector
1. Energy,173797.3398155564,78.46775594023522,1.89890413481734,,,,Summary1.As1,NETHERLANDS,2003,Sector
2.  Industrial processes and product use,6001.091259434133,14.72229548729372,20.75411763903452,1399.2944113043875,699.10652322853,0.00663,Summary1.As1,NETHERLANDS,2003,Sector
1. Energy,175226.47203850513,76.17145581255102,1.90849803868495,,,,Summary1.As1,NETHERLANDS,2004,Sector
2.  Industrial processes and product use,6464.762801781678,14.73193908568272,22.7169071483168,1460.3425309881072,347.972437085856,0.007376,Summary1.As1,NETHERLANDS,2004,Sector
1. Energy,171239.47195719084,80.32936753674312,1.92829318770001,,,,Summary1.As1,NETHERLANDS,2005,Sector
2.  Industrial processes and product use,6536.617141022407,14.60568505769071,22.83352244004639,1281.1508544264564,344.035143375237,0.006703,Summary1.As1,NETHERLANDS,2005,Sector
1. Energy,166610.8119773636,81.74099210810213,1.88235338930186,,,,Summary1.As1,NETHERLANDS,2006,Sector
2.  Industrial processes and product use,6287.244497795049,13.48163692755419,22.69567845802482,1479.8125646878111,333.653409218971,0.00523,Summary1.As1,NETHERLANDS,2006,Sector
1. Energy,166518.372319777,95.95066221897778,1.93221904095885,,,,Summary1.As1,NETHERLANDS,2007,Sector
2.  Industrial processes and product use,6134.362046410188,13.51406124856653,18.28597970293842,1577.9106948419185,404.551668798364,0.00467,Summary1.As1,NETHERLANDS,2007,Sector
1. Energy,169515.91187298635,112.24744305005298,2.01339710929066,,,,Summary1.As1,NETHERLANDS,2008,Sector
2.  Industrial processes and product use,6113.862675937544,13.1329632071944,6.09729154461386,1647.383445612553,310.219367364128,0.004689,Summary1.As1,NETHERLANDS,2008,Sector
1. Energy,164623.90186370056,108.72757777435916,2.04111998493729,,,,Summary1.As1,NETHERLANDS,2009,Sector
2.  Industrial processes and product use,5627.575086681657,12.79662590350317,6.35357808444439,1735.5044276153908,302.051882480067,0.004235,Summary1.As1,NETHERLANDS,2009,Sector
1. Energy,176082.26590431304,117.03507033083328,2.11444432021671,,,,Summary1.As1,NETHERLANDS,2010,Sector
2.  Industrial processes and product use,6184.655892536065,13.5641985662433,5.43173503911405,1977.8920485615697,299.907006169741,0.004598,Summary1.As1,NETHERLANDS,2010,Sector
1. Energy,162864.19888591723,110.22065292753668,2.10570561287544,,,,Summary1.As1,NETHERLANDS,2011,Sector
2.  Industrial processes and product use,6150.896316593882,13.35283122921143,5.44089928396058,1787.1461872237662,263.501478991187,0.003615,Summary1.As1,NETHERLANDS,2011,Sector
1. Energy,159548.18500481916,104.99062320373883,2.13775498409694,,,,Summary1.As1,NETHERLANDS,2012,Sector
2.  Industrial processes and product use,5791.52101865428,13.4482390058166,5.45502092356642,1738.4369099562432,183.251869780946,0.005943,Summary1.As1,NETHERLANDS,2012,Sector
1. Energy,158711.16427309284,101.73684231348022,2.10287706501975,,,,Summary1.As1,NETHERLANDS,2013,Sector
2.  Industrial processes and product use,6032.178443768861,13.37639006196475,5.47525034171029,1936.509716664264,141.754422072289,0.004743,Summary1.As1,NETHERLANDS,2013,Sector
1. Energy,151449.7528368167,89.99420348022504,2.02524755621738,,,,Summary1.As1,NETHERLANDS,2014,Sector
2.  Industrial processes and product use,5888.16326452561,13.61040674027705,5.69088738518369,1553.085402935067,92.63480040972512,0.004304,Summary1.As1,NETHERLANDS,2014,Sector
1. Energy,157958.69202644244,89.71337580221379,2.20572656129611,,,,Summary1.As1,NETHERLANDS,2015,Sector
2.  Industrial processes and product use,5708.899025317733,13.4601903947937,5.69068321916886,1730.704792846055,103.9982052008189,0.004898,Summary1.As1,NETHERLANDS,2015,Sector
1. Energy,159068.57774683158,86.2793653421962,2.16204128471279,,,,Summary1.As1,NETHERLANDS,2016,Sector
2.  Industrial processes and product use,5536.856467071539,13.463726938045,5.00600626714965,1551.5404591542,152.8175644636574,0.005244,Summary1.As1,NETHERLANDS,2016,Sector
1. Energy,156013.2788955747,86.49699088153575,2.14293726888408,,,,Summary1.As1,NETHERLANDS,2017,Sector
2.  Industrial processes and product use,6090.578127411372,13.76290224857815,5.28123775719531,1612.9261673276317,77.5287933480453,0.005142,Summary1.As1,NETHERLANDS,2017,Sector
1. Energy,151766.3374611189,85.18980938054759,2.07386986267754,,,,Summary1.As1,NETHERLANDS,2018,Sector
2.  Industrial processes and product use,6284.437256398393,13.42053133524922,4.84787958575461,1230.0621680884549,167.4909010715472,0.004724,Summary1.As1,NETHERLANDS,2018,Sector
1. Energy,146315.18513602315,89.0415242610755,2.06991884938248,,,,Summary1.As1,NETHERLANDS,2019,Sector
2.  Industrial processes and product use,6109.060154523514,14.02255743617496,4.84613858239652,1302.793669100582,118.1908644715612,0.005138,Summary1.As1,NETHERLANDS,2019,Sector
1. Energy,130866.67344610348,86.77381971801734,1.91023173679815,,,,Summary1.As1,NETHERLANDS,2020,Sector
2.  Industrial processes and product use,5736.627139458418,14.98911566230226,4.40539954060467,1056.575101492303,65.3432585179166,0.005464,Summary1.As1,NETHERLANDS,2020,Sector
1. Energy,134312.86636380132,90.59982114288538,2.06627526121817,,,,Summary1.As1,NETHERLANDS,2021,Sector
2.  Industrial processes and product use,5510.927000372026,14.69837580506775,3.67105339255867,1172.450322716317,79.4521532804117,0.005271,Summary1.As1,NETHERLANDS,2021,Sector
3.  Agriculture,184.66710288086003,586.8767295978201,32.24567367784377,,,,Summary1.As2,NETHERLANDS,1990,Sector
"4.  Land use, land-use change and forestry  (4)",5832.664186156694,10.946488114,0.3696808515881,,,,Summary1.As2,NETHERLANDS,1990,Sector
5.  Waste,,562.5397087706891,2.77208656526094,,,,Summary1.As2,NETHERLANDS,1990,Sector
3.  Agriculture,150.7988713436877,595.0517452787036,32.7819837098356,,,,Summary1.As2,NETHERLANDS,1991,Sector
