GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),152973.94124090308,,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
                                           Sectoral approach(2),155340.70643090692,36.10414389148971,1.17538568694767,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
1.  Energy industries,53146.86088998222,2.76321677070556,0.49722639049043,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,35362.23754867147,2.77245420220467,0.12939368467493,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
3.  Transport,27522.518875672573,7.74284414760966,0.36070581876872,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
4.  Other sectors,38995.04898503065,22.79444285596982,0.16944749991359,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
5.  Other,314.04013155,0.031185915,0.0186122931,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,885.0689017185999,77.73065546,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,774.6253637,77.29265546,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,1. Energy
B.  Chemical industry,4132.02091112993,10.778292,23.72069145644119,4697.1944,,,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,452.095572,,,,2373.8733,,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,187.1229804324455,0.0060776594494,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,23.4708529962199,,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.220575,2.06328778026451,0.75623121427433,,,0.009066,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),72.483,,,,,,Summary1.As1,NETHERLANDS,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),158006.57115127836,,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
                                           Sectoral approach(2),163721.8059979899,39.49088067381894,1.24078435684419,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
1.  Energy industries,53883.48123401788,3.09351955044059,0.44276302089576,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,37328.48841465748,2.92255994924314,0.13126658010605,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
3.  Transport,28052.63115802139,6.67500965462735,0.46647761823094,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
4.  Other sectors,44140.085873093165,26.76818321950786,0.18141986121144,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
5.  Other,317.1193182,0.0316083,0.0188572764,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,818.5295235911,77.62083946,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,708.0859855725,77.18283946,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,1. Energy
B.  Chemical industry,4227.619275799534,10.778438,23.72574423159364,3658.062,,,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,438.606376,,,,2349.46974,,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,180.0148890502143,0.0061257626045,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,26.9914809456529,,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.2595,2.07196569544683,0.76330640980011,,,0.005514,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),57.4047,,,,,,Summary1.As1,NETHERLANDS,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),156318.54926568636,,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
                                           Sectoral approach(2),163646.1114454605,38.8674480986785,1.34299905249231,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
1.  Energy industries,53856.66888031951,3.00865937014633,0.4363254734579,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,38724.01403482775,3.05185161631766,0.13235778254847,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
3.  Transport,29511.374305139067,6.30211022774774,0.5848056054961,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
4.  Other sectors,41247.29822517418,26.47464016446677,0.17147743098984,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
5.  Other,306.756,0.03018672,0.01803276,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,751.9993284636,77.47698846,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,641.555790445,77.03898846,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
B.  Chemical industry,4266.918909246901,10.778585,23.90837772402506,4711.904488,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,396.122111,,,,2132.29494,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,189.4881429817256,0.006174206115,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,31.0402030875009,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.30275,2.04625141541574,0.77029431939497,,,0.005879,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),63.783,,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),160670.8270823605,,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
                                           Sectoral approach(2),163717.4356160497,41.4450406302495,1.50927170803875,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
1.  Energy industries,56211.73083014714,3.30113435149667,0.4994741794647,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33400.395920627816,2.752477755585,0.12164862848753,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
3.  Transport,30346.85498841488,6.02649525686746,0.68993037395432,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
4.  Other sectors,43451.69787685988,29.33474654630037,0.1801857661322,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
5.  Other,306.756,0.03018672,0.01803276,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,685.4763181611,77.32247846,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,575.0327801425,76.88447846,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
B.  Chemical industry,4150.784278769847,10.696034,25.52946635775884,5295.16282,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
C.  Metal industry,393.412815,,,,2154.42813,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,222.66945198188705,0.0062191101742,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,35.6962335506259,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.307075,1.98951096706819,0.73927513861462,,,0.006151,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),59.436188,,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),160535.64483441837,,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
                                           Sectoral approach(2),164272.96718888226,42.19057556840447,1.60908661946528,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
1.  Energy industries,60180.18209885922,3.30812865200616,0.54089778700772,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33300.05013892493,2.83534424711979,0.11010904637001,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
3.  Transport,29720.17000135713,5.6092162027884,0.76890774419088,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
4.  Other sectors,40793.78483504098,30.41153731649012,0.17336507249667,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
5.  Other,278.7801147,0.02634915,0.0158069694,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,619.3961421409119,77.33512546,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
1.  Solid fuels,110.980416328412,0.4394,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,508.4157258125,76.89572546,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
B.  Chemical industry,4332.523537180627,10.696181,25.00442891964508,6784.462314,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
C.  Metal industry,380.83057,,,,2066.8641,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,193.7574865895075,0.0062608877793,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,41.0506685832199,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,67.74879946215805,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.324375,2.03128423720618,0.70135500225696,,,0.007871,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),34.426876,,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),164532.85115914725,,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
                                           Sectoral approach(2),165943.9913373908,46.36995380487437,1.74323447795062,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
1.  Energy industries,62464.9835267225,3.55086420742519,0.57508065950755,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,30021.20300171784,2.78306865954823,0.10553639350841,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
3.  Transport,30131.54829989965,5.47643879856287,0.86108900028995,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
4.  Other sectors,43022.60770805081,34.52742435897808,0.18245817251471,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
5.  Other,303.648801,0.03215778036,0.01907025213,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,552.218149261613,77.19238346,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
1.  Solid fuels,111.018764779113,0.4395,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
